# 编码	词频（wordfreq 英文 Zipf × 1000）
airline	4040
airliner	3070
airliners	2710
airlines	4190
airmail	2500
airmailed	1040
airmailing	0
airmails	0
airplane	3920
airplanes	3510
airport	4840
airports	3930
airs	3510
airstrip	2810
airstrips	2040
airtight	2950
airy	3200
aisle	3720
aisles	3150
ajar	2570
akin	3700
alarm	4280
alarmed	3480
alarming	3530
alarmingly	2660
alarmist	2560
alarmists	2060
alarms	3570
alas	3670
albeit	3910
albino	3050
albinos	2090
album	5020
albums	4190
alcohol	4610
alcoholic	3910
alcoholics	3180
alcoholism	3450
alcohols	2800
alcove	2620
alcoves	2190
ale	3680
alert	4330
alerted	3320
alerting	2980
alerts	3560
ales	2860
algae	3540
algebra	3770
algebraic	3190
algebras	2740
algorithm	4019
algorithms	3810
alias	3460
aliased	1730
aliases	2840
aliasing	2460
alibi	3100
alibied	0
alibiing	0
alibis	2270
alien	4290
alienate	3030
alienated	3290
alienates	2250
alienating	3000
alienation	3160
aliens	4030
alight	3000
alighted	2190
alighting	2090
alights	1650
align	3630
aligned	3800
aligning	3020
alignment	3780
alignments	2770
aligns	2880
alike	4130
alimony	3090
alive	4760
alkali	2940
alkalies	1580
alkaline	3250
all	6520
allah	3890
allay	2690
allayed	2210
allaying	1810
allays	1520
allegation	3500
allegations	4080
allege	3180
alleged	4370
allegedly	4059
alleges	3320
allegiance	3690
allegiances	2650
alleging	3470
allegorical	2860
allegories	2350
allegory	3070
allergic	3780
allergies	3630
allergy	3600
alleviate	3520
alleviated	2680
alleviates	2300
alleviating	2770
alley	3870
alleys	3060
alliance	4400
alliances	3570
allied	4070
allies	4270
alligator	3320
alligators	2880
allocate	3310
allocated	3830
allocates	2610
allocating	2960
allocation	3740
allocations	3020
allot	2790
allotment	3130
allotments	2780
allots	1670
allotted	3280
allotting	1860
allow	5010
allowable	2970
allowance	3850
allowances	3360
allowed	5030
allowing	4620
allows	4670
alloy	3610
alloyed	2000
alloying	2029
alloys	3200
allude	2700
alluded	3110
alludes	2890
alluding	2990
allure	3150
allured	1540
allures	1590
alluring	3020
allusion	2940
allusions	2900
ally	4100
allying	2360
almanac	3060
almanacs	2060
almighty	3720
almond	3530
almonds	3280
almost	5390
alms	2890
aloft	3080
alone	5160
along	5380
alongside	4450
aloof	2990
aloud	3510
alpha	4250
alphabet	3700
alphabetic	2480
alphabetical	3220
alphabetically	3030
alphabets	2630
alphanumeric	2460
already	5550
also	6190
altar	3800
altars	2890
alter	4050
alterable	1470
alteration	3330
alterations	3540
altered	4019
altering	3590
alternate	4110
alternated	2670
alternately	3220
alternates	2890
alternating	3500
alternation	2530
alternative	4710
alternatively	3810
alternatives	4040
alternator	2830
alters	3110
although	5300
altitude	3920
altitudes	3160
alto	3470
altogether	4070
altos	2540
altruism	2940
altruistic	2950
aluminium	3730
aluminum	4010
always	5760
am	5780
amalgamate	2230
amalgamated	2950
amalgamates	1420
amalgamating	2050
amalgamation	3080
amalgamations	2040
amass	2770
amassed	3240
amasses	1730
amassing	2810
amateur	4220
amateurish	2590
amateurs	3400
amaze	3190
amazed	3910
amazement	3000
amazes	3080
amazing	5100
amazingly	3640
ambassador	4350
ambassadors	3550
amber	3970
ambiance	2680
ambiances	1070
ambidextrous	2380
ambience	2940
ambiences	1080
ambient	3620
ambiguities	2580
ambiguity	3370
ambiguous	3570
ambiguously	2330
ambition	3910
ambitions	3640
ambitious	3950
ambitiously	2029
ambivalence	2800
ambivalent	3010
amble	2300
ambled	2080
ambles	1660
ambling	2130
ambulance	4059
ambulances	3070
ambush	3550
ambushed	3210
ambushes	2540
ambushing	2290
amen	3930
amenable	2890
amend	3550
amended	3780
amending	3000
amendment	4380
amendments	3790
amends	3320
amenities	3530
amenity	2750
american	5490
americanism	2560
americanisms	1670
americans	4830
amethyst	3010
amethysts	1840
amiable	2840
amiably	2020
amicable	2970
amicably	2720
amid	3950
amidst	3560
amiss	2930
ammonia	3360
ammunition	3910
amnesia	3340
amnestied	1590
amnesties	1840
amnesty	3630
amnestying	0
amoeba	2640
amoebas	1870
amok	2770
among	5310
amongst	4310
amoral	2650
amorous	2760
amorphous	2950
amount	5130
amounted	3530
amounting	3110
amounts	4410
amp	3800
ampere	2210
amperes	1980
ampersand	2150
ampersands	1220
amphetamine	2930
amphetamines	2820
amphibian	2720
amphibians	2940
amphibious	3060
amphitheater	2800
amphitheaters	1580
amphitheatre	2840
amphitheatres	1630
ample	3710
ampler	0
amplest	0
amplification	3120
amplifications	1580
amplified	3340
amplifier	3450
amplifiers	3130
amplifies	2610
amplify	3160
amplifying	2730
amplitude	3280
amply	2610
amps	3150
amputate	2410
amputated	2930
amputates	1190
amputating	1960
amputation	3020
amputations	2510
amulet	2990
amulets	2600
amuse	3120
amused	3530
amusement	3740
amusements	2600
amuses	2580
amusing	3760
amusingly	2460
an	6530
anachronism	2530
anachronisms	2100
anaemia	2510
anaemic	2230
anaesthesia	2710
anaesthetic	2930
anaesthetics	2130
anagram	2670
anal	3940
analgesic	2680
analgesics	2380
analog	3730
analogies	2930
analogous	3360
analogue	3280
analogy	3710
analyse	3470
analysed	3480
analyser	2190
analyses	3790
analysing	3220
analysis	4910
analyst	4030
analysts	3840
analytic	3310
analytical	3730
analyze	3840
analyzed	3900
analyzer	3060
analyzes	3190
analyzing	3710
anarchic	2550
anarchism	3020
anarchist	3360
anarchists	3170
anarchy	3520
anathema	2790
anatomical	3210
anatomies	1670
anatomy	3940
ancestor	3490
ancestors	3980
ancestral	3430
ancestries	1740
ancestry	3500
anchor	4019
anchorage	3420
anchorages	2000
anchored	3460
anchoring	2970
anchors	3430
anchovies	2720
anchovy	2580
ancient	4680
ancienter	0
ancientest	0
ancients	3120
and	7410
android	4420
androids	2900
anecdote	3200
anecdotes	3360
anemia	3170
anemic	2760
anesthesia	3390
anesthetic	3060
anesthetics	2440
anew	3200
angel	4450
angelic	3130
angels	4260
anger	4420
angered	3290
angering	2500
angers	2910
angle	4380
angled	3270
angler	2840
anglers	2970
angles	3900
angling	3010
angrier	2750
angriest	2240
angrily	3340
angry	4660
angst	3260
anguish	3370
anguished	2580
anguishes	1040
anguishing	1360
angular	3510
animal	4810
animals	4840
animate	3140
animated	4070
animates	2320
animating	2770
animation	4180
animations	3360
animosities	2090
animosity	3170
ankle	3970
ankles	3500
annals	3370
annex	3500
annexation	3420
annexations	1950
annexe	2510
annexed	3500
annexes	2440
annexing	2610
annihilate	2880
annihilated	2970
annihilates	2090
annihilating	2390
annihilation	3220
anniversaries	2910
anniversary	4530
annotate	2290
annotation	2890
annotations	2990
announce	4260
announced	4960
announcement	4310
announcements	3700
announcer	3580
announcers	3180
announces	3940
announcing	3870
annoy	3460
annoyance	3330
annoyances	2490
annoyed	3950
annoying	4400
annoyingly	2690
annoys	3320
annual	4940
annually	4160
annuals	2640
annuities	3030
annuity	3350
annul	2490
annulled	2950
annulling	1800
annulment	2850
annulments	1710
annuls	1700
anoint	2480
anointed	3100
anointing	2760
anoints	1690
anomalies	3280
anomalous	2940
anomaly	3470
anon	3330
anonymity	3390
anonymous	4170
anonymously	3410
anoraks	1620
another	5740
answer	5170
answerable	2690
answered	4320
answering	4070
answers	4600
ant	3860
antagonise	1990
antagonised	1610
antagonises	1040
antagonising	1700
antagonism	2840
antagonisms	1960
antagonist	3320
antagonistic	3020
antagonists	3070
antagonize	2580
antagonized	2220
antagonizes	1900
antagonizing	2390
anteater	2280
anteaters	2040
antelope	3080
antelopes	2300
antenna	3770
antennae	3010
antennas	3270
anthem	3910
anthems	2950
anthill	2009
anthills	1510
anthologies	2770
anthology	3480
anthrax	3150
anthropological	3090
anthropologist	3160
anthropologists	3020
anthropology	3650
antibiotic	3500
antibiotics	3740
antibodies	3560
antibody	3460
anticipate	3730
anticipated	4080
anticipates	2990
anticipating	3390
anticipation	3740
anticipations	2130
anticlimax	2040
anticlimaxes	0
antidote	3250
antidotes	2210
antifreeze	2560
antipathies	1290
antipathy	2700
antiquated	3060
antique	3860
antiqued	1790
antiques	3480
antiquing	1840
antiquities	3260
antiquity	3430
antiseptic	2810
antiseptics	1960
antisocial	3130
antitheses	1520
antithesis	2960
antler	2610
antlers	2950
antonym	1950
antonyms	2029
ants	3720
anus	3250
anuses	1770
anvil	3040
anvils	2090
anxieties	3130
anxiety	4450
anxious	4090
anxiously	3090
any	6070
anybody	4560
anyhow	3480
anyone	5380
anything	5550
anyway	4910
anywhere	4710
aorta	2920
aortas	1290
apart	4780
apartheid	3610
apartment	4650
apartments	4010
apathetic	2840
apathy	3260
ape	3480
aped	1710
aperture	3470
apertures	2520
apes	3450
apex	3710
apexes	1620
aphorism	2490
aphorisms	2400
apiece	3240
aping	2090
aplomb	2360
apocryphal	2660
apologetic	2990
apologetically	2180
apologies	3850
apologise	3660
apologised	3060
apologises	2670
apologising	2760
apologize	4160
apologized	3630
apologizes	3160
apologizing	3370
apology	4050
apostle	3460
apostles	3470
apostrophe	2760
apostrophes	2260
appal	1630
appall	1510
appalled	3240
appalling	3460
appallingly	2310
appalls	1520
appals	1380
apparatus	3780
apparatuses	2360
apparel	3720
appareled	0
appareling	0
apparelled	0
apparelling	0
apparels	1790
apparent	4320
apparently	4800
apparition	2860
apparitions	2580
appeal	4670
appealed	3830
appealing	3950
appeals	4220
appear	4850
appearance	4690
appearances	4090
appeared	4830
appearing	4150
appears	4840
appease	3200
appeased	2450
appeasement	2790
appeasements	0
appeases	1670
appeasing	2510
append	2640
appendage	2760
appendages	2800
appended	2840
appendices	2630
appendicitis	2760
appending	2120
appendix	3510
appendixes	1800
appends	1740
appetiser	1610
appetisers	1390
appetising	2029
appetite	3870
appetites	2870
appetizer	2860
appetizers	2780
appetizing	2590
applaud	3460
applauded	3210
applauding	2910
applauds	2740
applause	3830
apple	4760
apples	3960
appliance	3350
appliances	3710
applicability	2910
applicable	4130
applicant	3640
applicants	3940
application	4860
applications	4640
applicator	2590
applicators	2280
applied	4670
applies	4230
apply	4810
applying	4240
appoint	3700
appointed	4590
appointee	2880
appointees	3000
appointing	3330
appointment	4490
appointments	3950
appoints	3170
apposite	2050
appraisal	3430
appraisals	2800
appraise	2540
appraised	2780
appraises	1580
appraising	2230
appreciable	2780
appreciate	4740
appreciated	4160
appreciates	3380
appreciating	3230
appreciation	4120
appreciations	1980
appreciative	3240
apprehend	3020
apprehended	3310
apprehending	2420
apprehends	1790
apprehension	3090
apprehensions	2350
apprehensive	3030
apprentice	3700
apprenticed	2610
apprentices	3150
apprenticeship	3470
apprenticeships	2890
apprenticing	1780
approach	4930
approachable	2910
approached	4160
approaches	4250
approaching	4170
appropriate	4670
appropriated	3140
appropriately	3740
appropriates	2160
appropriating	2790
appropriation	3390
appropriations	3360
approval	4500
approvals	3130
approve	4080
approved	4640
approves	3420
approving	3340
approximate	3640
approximated	2680
approximately	4640
approximates	2380
approximating	2440
approximation	3320
approximations	2710
apricot	2980
apricots	2740
april	5190
aprils	1610
apron	3360
aprons	2730
apt	3690
apter	1790
aptest	0
aptitude	3200
aptitudes	2130
aptly	3120
aquamarine	2510
aquamarines	0
aquarium	3560
aquariums	2760
aquatic	3620
aquatics	2570
aqueduct	2930
aqueducts	2420
arable	2960
arbiter	2980
arbiters	2370
arbitrarily	3220
arbitrary	3850
arbitrate	2360
arbitrated	1900
