# 青简领域词库：饮食，由 qingjian-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
西湖蜜皇彩花	xi hu mi huang cai hua	4
西湖醋	xi hu cu	1
西湖龙井	xi hu long jing	31
西班牙土豆煎蛋	xi ban ya tu dou jian dan	3
西班牙海鲜烩饭	xi ban ya hai xian hui fan	5
西班牙海鲜饭	xi ban ya hai xian fan	21
西瓜冻	xi gua dong	3
西瓜奶酪	xi gua nai lao	3
西瓜汁饮料	xi gua zhi yin liao	6
西瓜盅	xi gua zhong	9
西瓜酱罐头	xi gua jiang guan tou	5
西瓜鸡	xi gua ji	9
西米银耳羹	xi mi yin er geng	2
西红柿煎蛋汤	xi hong shi jian dan tang	3
西红柿牛肉汤	xi hong shi niu rou tang	1
西红柿肉片汤	xi hong shi rou pian tang	1
西红柿起司沙拉	xi hong shi qi si sha la	2
西芹百合	xi qin bai he	2
西芹虾仁	xi qin xia ren	7
西芹鸡肫	xi qin ji zhun	3
西藏酥油茶	xi zang su you cha	5
西西里面包	xi xi li mian bao	2
西部牛仔烧烤城	xi bu niu zai shao kao cheng	6
西餐厨师	xi can chu shi	4
视黄醇	shi huang chun	15
解热清滞汤	jie re qing zhi tang	2
解百纳	jie bai na	2
解酒方	jie jiu fang	9
詹王火腿汁	zhan wang huo tui zhi	4
詹王猪骨汁	zhan wang zhu gu zhi	3
詹王瑶柱汁	zhan wang yao zhu zhi	4
詹王鸡粉	zhan wang ji fen	7
试量狗肉	shi liang gou rou	6
诗礼银杏	shi li yin xing	8
话李	hua li	13
话梅手剥笋	hua mei shou bo sun	2
诱惑红	you huo hong	10
诱惑红铝色淀	you huo hong lv se dian	2
诺丽	nuo li	16
调味油	tiao wei you	2
调味酱	tiao wei jiang	17
调和油	tiao he you	13
谈炎记水饺	tan yan ji shui jiao	6
谢凉粉	xie liang fen	7
谢村黄酒	xie cun huang jiu	10
谭豆花	tan dou hua	10
谭鱼头	tan yu tou	2
谷氨酰胺酶	gu an xian an mei	8
谷氨酸钠	gu an suan na	1
谷雨茶	gu yu cha	8
豆乳饮料	dou ru yin liao	7
豆付干	dou fu gan	6
豆末糖	dou mo tang	7
豆汁粥	dou zhi zhou	5
豆汤饭	dou tang fan	6
豆沙凉糕	dou sha liang gao	5
豆沙卷	dou sha juan	2
豆沙奶卷	dou sha nai juan	4
豆沙方糕	dou sha fang gao	4
豆沙月饼	dou sha yue bing	13
豆沙松糕	dou sha song gao	3
豆沙糕	dou sha gao	9
豆沙苹果	dou sha ping guo	4
豆沙锅饼	dou sha guo bing	1
豆浆挂面	dou jiang gua mian	4
豆渣猪头	dou zha zhu tou	4
豆焖饭	dou men fan	8
豆瓣卿鱼	dou ban qing yu	2
豆瓣海参	dou ban hai shen	5
豆瓣肘子	dou ban zhou zi	4
豆瓣鱼条	dou ban yu tiao	2
豆瓣鲜鱼	dou ban xian yu	5
豆瓣鲜鱿	dou ban xian you	3
豆瓣鲫鱼	dou ban ji yu	1
豆皮卷圈	dou pi juan quan	3
豆糕粿	dou gao guo	1
豆腐丸子	dou fu wan zi	8
豆腐圆子	dou fu yuan zi	2
豆腐大菜糕	dou fu da cai gao	4
豆腐帘子	dou fu lian zi	7
豆腐排骨	dou fu pai gu	4
豆腐排骨豆芽汤	dou fu pai gu dou ya tang	2
豆腐老鼠	dou fu lao shu	5
豆腐芝士蛋糕	dou fu zhi shi dan gao	6
豆腐蛎	dou fu li	3
豆腐蟹肉忌廉汤	dou fu xie rou ji lian tang	2
豆腐面	dou fu mian	12
豆腐鲫鱼	dou fu ji yu	3
豆花火锅	dou hua huo guo	7
豆花米线	dou hua mi xian	13
豆花粉	dou hua fen	3
豆花面	dou hua mian	15
豆花鱼	dou hua yu	6
豆芽咸菜	dou ya xian cai	4
豆芽汤	dou ya tang	8
豆芽罐头	dou ya guan tou	3
豆苗炒虾片	dou miao chao xia pian	3
豆苗蘑菇汤	dou miao mo gu tang	3
豆苗虾仁	dou miao xia ren	3
豆茸酿枇杷	dou rong niang pi pa	4
豆蓉糯米饭	dou rong nuo mi fan	6
豆角干煲鲩鱼尾	dou jiao gan bao huan yu wei	4
豆角炒肉片	dou jiao chao rou pian	4
豆豉剁辣椒	dou chi duo la jiao	2
豆豉姜	dou chi jiang	7
豆豉烧中段	dou chi shao zhong duan	2
豆豉鱼	dou chi yu	4
豆酥糖	dou su tang	2
豆面汤圆	dou mian tang yuan	3
豆面球	dou mian qiu	2
豆面糕	dou mian gao	10
豆面酥糖	dou mian su tang	2
豆面饽饽	dou mian bo bo	7
豆香斋牛肉香圈	dou xiang zhai niu rou xiang quan	2
豆香麻糍	dou xiang ma ci	2
豆黄糕	dou huang gao	4
豆鼓肉	dou gu rou	3
豆鼓鱼	dou gu yu	6
豆鼓鲇鱼	dou gu nian yu	6
豇豆烧肉	jiang dou shao rou	5
豇豆糕	jiang dou gao	5
豉椒墨鱼球	chi jiao mo yu qiu	3
豉椒炒牛肉	chi jiao chao niu rou	3
豉椒蒸腊肉	chi jiao zheng la rou	2
豉汁凉瓜炆蟹	chi zhi liang gua wen xie	3
豉汁泰椒浸海螺	chi zhi tai jiao jin hai luo	4
豉汁蒸凤爪	chi zhi zheng feng zhua	2
豉汁蒸排骨	chi zhi zheng pai gu	2
豉汁蟠龙鳝	chi zhi pan long shan	3
豉汁鱼云	chi zhi yu yun	3
豌豆炸酱面	wan dou zha jiang mian	2
豌豆粉	wan dou fen	3
豌豆糕	wan dou gao	3
豌豆面	wan dou mian	7
豌豆黄儿	wan dou huang er	9
象形拼盘	xiang xing pin pan	5
象生雪梨	xiang sheng xue li	3
象眼鸽蛋	xiang yan ge dan	3
豫尔	yu er	6
豫章酥鸭	yu zhang su ya	4
豹骨酒	bao gu jiu	5
贝丝扒菜胆	bei si ba cai dan	2
贝德利	bei de li	10
贡品麻花	gong pin ma hua	3
贡菜	gong cai	15
贴饽饽熬小鱼	tie bo bo ao xiao yu	8
贴饽饽熬鱼	tie bo bo ao yu	6
贵妃松花饼	gui fei song hua bing	3
贵妃饼	gui fei bing	6
贵妃鸡	gui fei ji	12
贵妃鸡火锅	gui fei ji huo guo	6
贵妃鸡翅	gui fei ji chi	7
贻贝	yi bei	49
贾三	jia san	12
贾三灌汤包	jia san guan tang bao	7
贾三灌汤包子	jia san guan tang bao zi	1
贾家灌汤包	jia jia guan tang bao	6
赊店老酒	she dian lao jiu	5
赖桃酥	lai tao su	4
赖氨酸盐酸盐	lai an suan yan suan yan	8
赖汤圆	lai tang yuan	4
赛螃蟹	sai pang xie	14
赛鲍鱼	sai bao yu	6
赣南小炒鱼	gan nan xiao chao yu	9
赣州三鱼	gan zhou san yu	3
赣州麻通	gan zhou ma tong	5
赤小豆粟米须生鱼汤	chi xiao dou su mi xu sheng yu tang	3
赤藓糖醇	chi xian tang chun	3
赤藓红	chi xian hong	1
赤藓红铝色淀	chi xian hong lv se dian	3
赤藻糖醇	chi zao tang chun	3
赤鳞鱼	chi lin yu	11
走油肉	zou you rou	3
起司蛋糕	qi si dan gao	33
起士林	qi shi lin	16
超山梅子	chao shan mei zi	4
超益	chao yi	4
超级至尊比萨	chao ji zhi zun bi sa	5
越橘红	yue ju hong	7
越蔓橘	yue man ju	2
路南乳扇	lu nan ru shan	3
路南乳饼	lu nan ru bing	6
路易歌德	lu yi ge de	3
跳水田鸡	tiao shui tian ji	2
踏绿波	ta lv bo	3
踵鱼翅	zhong yu chi	5
车仔面	che zai mian	45
车前子茶	che qian zi cha	2
车前草茶	che qian cao cha	5
车厘哥夫	che li ge fu	8
车轮饼	che lun bing	1
转面	zhuan mian	13
软儿梨	ruan er li	9
软哨面	ruan shao mian	4
软炸子鸡	ruan zha zi ji	3
软炸石鸡	ruan zha shi ji	3
软炸菜花	ruan zha cai hua	2
软炸虾糕	ruan zha xia gao	2
软炸里脊	ruan zha li ji	4
软炸鲜贝	ruan zha xian bei	5
软炸鸡	ruan zha ji	2
软烧豆腐	ruan shao dou fu	4
软煎虾仁	ruan jian xia ren	3
软脂糕	ruan zhi gao	3
软蛋糕	ruan dan gao	1
软蟳粥	ruan xun zhou	3
软饼干	ruan bing gan	1
轻乳酪蛋糕	qing ru lao dan gao	8
轻糖杏脯	qing tang xing fu	4
轻质碳酸钙	qing zhi tan suan gai	12
轻身减肥茶	qing shen jian fei cha	5
辛烯基琥珀酸铝淀粉	xin xi ji hu po suan lv dian fen	2
辛癸酸甘油酯	xin gui suan gan you zhi	7
辛酸乙酯	xin suan yi zhi	6
辛醛	xin quan	5
辣味炸鸡翅	la wei zha ji chi	2
辣味特级板烧鸡腿堡	la wei te ji ban shao ji tui bao	2
辣味红酒烤羊排	la wei hong jiu kao yang pai	4
辣味肉皮冻	la wei rou pi dong	4
辣味过江鸡	la wei guo jiang ji	2
辣子炒薰肉	la zi chao xun rou	7
辣子牛肉	la zi niu rou	1
辣子肥肠	la zi fei chang	1
辣子脆肠	la zi cui chang	5
辣子蒜羊血	la zi suan yang xue	2
辣子面	la zi mian	5
辣子鱼块	la zi yu kuai	4
辣子鸡丁	la zi ji ding	11
辣椒仔	la jiao zai	5
辣椒叶鸡蛋汤	la jiao ye ji dan tang	2
辣椒干	la jiao gan	11
辣椒橙	la jiao cheng	4
辣椒油树脂	la jiao you shu zhi	6
辣椒炒肚片	la jiao chao du pian	2
辣椒粉	la jiao fen	33
辣椒红	la jiao hong	10
辣椒蟹	la jiao xie	7
辣椒骨	la jiao gu	8
辣椒鱼	la jiao yu	3
辣汁茄丝	la zhi qie si	4
辣汁酱香肘	la zhi jiang xiang zhou	2
辣炒鱿鱼丝	la chao you yu si	4
辣白菜卷	la bai cai juan	4
辣菜饼	la cai bing	5
辣豆瓣鱼	la dou ban yu	4
辣鱼蛋	la yu dan	5
辽牛	liao niu	3
辽阳塔糖	liao yang ta tang	4
达仁堂	da ren tang	2
过手米线	guo shou mi xian	5
过桥抄手	guo qiao chao shou	2
过桥牛百叶	guo qiao niu bai ye	3
过氧化苯甲酰	guo yang hua ben jia xian	6
过氧化钙	guo yang hua gai	9
过油肉	guo you rou	25
迎宾楼	ying bin lou	8
迎宾楼菜馆	ying bin lou cai guan	4
还童茶	huan tong cha	6
进京乳腐	jin jing ru fu	7
进士糕和状元饼	jin shi gao he zhuang yuan bing	2
连城地瓜干	lian cheng di gua gan	8
连城番薯干	lian cheng fan shu gan	4
连理双味鱼	lian li shuang wei yu	4
连锅汤	lian guo tang	4
连雾	lian wu	6
迟菜心滚肉片汤	chi cai xin gun rou pian tang	3
迪凯堡	di kai bao	4
迷宗大包	mi zong da bao	6
迷迭香叶	mi die xiang ye	8
迷迭香提取物	mi die xiang ti qu wu	8
迷迭香粉	mi die xiang fen	5
通三益秋梨膏	tong san yi qiu li gao	3
通海豆末糖	tong hai dou mo tang	4
通草排骨汤	tong cao pai gu tang	3
通草炖猪脚	tong cao dun zhu jiao	3
通草鲫鱼汤	tong cao ji yu tang	5
速溶茶	su rong cha	12
造洋饭书	zao yang fan shu	5
遂川狗牯脑	sui chuan gou gu nao	6
道口烧鸡	dao kou shao ji	13
道口烧鸡罐头	dao kou shao ji guan tou	5
道酒	dao jiu	2
遵义毛峰	zun yi mao feng	8
遵义豆花面	zun yi dou hua mian	7
遵义鸡蛋糕	zun yi ji dan gao	7
邢台道口烧鸡	xing tai dao kou shao ji	6
邢黄牛腐干	xing huang niu fu gan	4
那不勒斯咖啡	na bu le si ka fei	4
那不勒斯风味咖啡	na bu le si feng wei ka fei	7
邮亭鲫鱼	you ting ji yu	4
邻氨基苯甲酸甲酯	lin an ji ben jia suan jia zhi	6
邻苯基苯酚	lin ben ji ben fen	8
郁滋客来	yu zi ke lai	4
郑州烤鸭	zheng zhou kao ya	6
郫县豆瓣	pi xian dou ban	38
郭八火烧	guo ba huo shao	6
郭杜林月饼	guo du lin yue bing	7
郭汤圆	guo tang yuan	6
都一处	du yi chu	7
都匀毛尖	du yun mao jian	1
都督烧卖	du du shao mai	8
都督烧麦	du du shao mai	4
鄣公山茶	zhang gong shan cha	4
鄱阳湖狮子头	po yang hu shi zi tou	3
酒心巧克力	jiu xin qiao ke li	28
酒石酸	jiu shi suan	34
酒石酸氢胆碱	jiu shi suan qing dan jian	6
酒石酸氢钾	jiu shi suan qing jia	1
酒糟汤圆	jiu zao tang yuan	19
酒肠	jiu chang	8
酒酿圆子	jiu niang yuan zi	45
酒酿斑鸠	jiu niang ban jiu	2
酒酿棉子圆	jiu niang mian zi yuan	6
酒酿饼	jiu niang bing	3
酒醉河田鸡	jiu zui he tian ji	7
酒醋汁	jiu cu zhi	4
酒香椒盐肘子	jiu xiang jiao yan zhou zi	1
酥卷佛手	su juan fo shou	3
酥合	su he	2
酥合子	su he zi	6
酥小鲫鱼	su xiao ji yu	4
酥心脆糖	su xin cui tang	3
酥性饼干	su xing bing gan	1
酥油太花盏	su you tai hua zhan	4
酥油糌粑	su you zan ba	9
酥油饼	su you bing	11
酥火烧	su huo shao	9
酥炸嫩鸡	su zha nen ji	3
酥炸排骨	su zha pai gu	5
酥炸春花肉	su zha chun hua rou	2
酥炸牛肉卷	su zha niu rou juan	5
酥炸禾花雀	su zha he hua que	4
酥炸茄盒	su zha qie he	2
酥炸鱿鱼	su zha you yu	5
酥炸鸭子	su zha ya zi	4
酥理玛	su li ma	7
酥皮奶油蛤蜊汤	su pi nai you ge li tang	4
酥皮月饼	su pi yue bing	8
酥皮芋蓉盅	su pi yu rong zhong	2
酥皮莲蓉包	su pi lian rong bao	6
酥皮鸡饺	su pi ji jiao	5
酥皮麻饼	su pi ma bing	4
酥皮龙虾	su pi long xia	6
酥盐鸡块	su yan ji kuai	4
酥盒子	su he zi	4
酥羊肉	su yang rou	7
酥肉汤	su rou tang	3
酥蜜鲜果夹	su mi xian guo jia	2
酥角	su jiao	8
酥锅	su guo	14
酥锅盔	su guo kui	6
酥香凤翅	su xiang feng chi	2
酥鲫鱼	su ji yu	8
酪蛋白磷酸肽	lao dan bai lin suan tai	11
酪蛋白钙肽	lao dan bai gai tai	8
酱板鸭	jiang ban ya	41
酱核桃	jiang he tao	4
酱桃仁	jiang tao ren	4
酱椒鱼头	jiang jiao yu tou	9
酱汁排骨	jiang zhi pai gu	6
酱汁瓦块鱼	jiang zhi wa kuai yu	6
酱油嫩鸡	jiang you nen ji	3
酱泼肉	jiang po rou	6
酱炒萝卜糕	jiang chao luo bo gao	6
酱烧冬瓜条	jiang shao dong gua tiao	3
酱烧茄	jiang shao qie	7
酱烧茄子	jiang shao qie zi	7
酱烧茭白	jiang shao jiao bai	4
酱焖鹌鹑	jiang men an chun	4
酱爆牛肉	jiang bao niu rou	6
酱爆肉	jiang bao rou	7
酱爆肉酥饼	jiang bao rou su bing	3
酱爆螺片	jiang bao luo pian	3
酱爆青蟹	jiang bao qing xie	4
酱玉瓜	jiang yu gua	7
酱瓜丝儿	jiang gua si er	5
酱羊肉	jiang yang rou	10
酱肉丝	jiang rou si	6
酱肉包	jiang rou bao	13
酱腌紫茄	jiang yan zi qie	2
酱菜四品	jiang cai si pin	5
酱萝卜头	jiang luo bo tou	5
酱蜜汁烤鸭脯	jiang mi zhi kao ya fu	3
酱螺蛳	jiang luo si	5
酱豆腐肉	jiang dou fu rou	6
酱酥桃仁	jiang su tao ren	5
酱香萝卜皮	jiang xiang luo bo pi	2
酱鸡	jiang ji	11
酱黄瓜	jiang huang gua	4
酱黑菜	jiang hei cai	5
酵粿	jiao guo	6
酶制剂	mei zhi ji	14
酷梨	ku li	5
酷蛋白酸钠	ku dan bai suan na	3
酸包菜炒粉皮	suan bao cai chao fen pi	3
酸奶子	suan nai zi	11
酸奶戚风	suan nai qi feng	3
酸奶果冻	suan nai guo dong	10
酸奶芝士蛋糕	suan nai zhi shi dan gao	3
酸奶饼	suan nai bing	7
酸奶黄瓜	suan nai huang gua	2
酸度调节剂	suan du tiao jie ji	2
酸性红	suan xing hong	3
酸木瓜	suan mu gua	12
酸枣仁枸杞茶	suan zao ren gou qi cha	2
酸枣色	suan zao se	3
酸枣露	suan zao lu	5
酸橙	suan cheng	6
酸汤水饺	suan tang shui jiao	29
酸汤米线	suan tang mi xian	1
酸汤饵丝	suan tang er si	1
酸汤龙骨面	suan tang long gu mian	3
酸牛乳	suan niu ru	10
酸白菜	suan bai cai	8
酸笋焖鱼	suan sun men yu	3
酸笋煮鸡	suan sun zhu ji	8
酸腌菜炒藕	suan yan cai chao ou	3
酸莓	suan mei	41
酸菜小豆汤	suan cai xiao dou tang	2
酸菜梅鱼	suan cai mei yu	3
酸菜火锅	suan cai huo guo	6
酸菜炒米	suan cai chao mi	2
酸菜煮鱼	suan cai zhu yu	4
酸菜牛	suan cai niu	9
酸菜猪肉炖粉条	suan cai zhu rou dun fen tiao	7
酸菜粉丝汤	suan cai fen si tang	7
酸菜饵块粑	suan cai er kuai ba	2
酸菜鱿鱼	suan cai you yu	5
酸菜黑圪条	suan cai hei ge tiao	5
酸萝卜老鸭汤	suan luo bo lao ya tang	6
酸蚂蚁蛋	suan ma yi dan	5
酸豆	suan dou	10
酸豆角炒肉末	suan dou jiao chao rou mo	1
酸豆角肉沫	suan dou jiao rou mo	5
酸辣三丝	suan la san si	3
酸辣冷鱼	suan la leng yu	3
酸辣凤爪	suan la feng zhua	7
酸辣大白菜	suan la da bai cai	5
酸辣岩水豆花	suan la yan shui dou hua	3
酸辣海参锅巴	suan la hai shen guo ba	2
酸辣牛肉	suan la niu rou	13
酸辣狗肉	suan la gou rou	6
酸辣猪肚	suan la zhu du	2
酸辣白菜	suan la bai cai	6
酸辣羹	suan la geng	5
酸辣肘子	suan la zhou zi	4
酸辣肚丝汤	suan la du si tang	2
酸辣肥肠	suan la fei chang	2
酸辣臊子蹄筋	suan la sao zi ti jin	2
酸辣萝卜干	suan la luo bo gan	3
酸辣蕨根粉	suan la jue gen fen	6
酸辣藕丁	suan la ou ding	3
酸辣豆花	suan la dou hua	9
酸辣蹄筋	suan la ti jin	6
酸辣面	suan la mian	20
酸辣饺面	suan la jiao mian	4
酸辣鱼	suan la yu	11
酸辣鱿鱼丝	suan la you yu si	4
酸辣鸡丁	suan la ji ding	5
酸辣鸡杂	suan la ji za	6
酸鱼	suan yu	5
酸黄菜	suan huang cai	6
酿倭瓜	niang wo gua	4
酿冬瓜	niang dong gua	6
酿冬瓜圈	niang dong gua quan	4
酿山药	niang shan yao	5
酿枇杷	niang pi pa	6
酿海参	niang hai shen	5
酿白兰瓜	niang bai lan gua	5
酿皮	niang pi	44
酿皮子	niang pi zi	19
酿藕	niang ou	6
酿豆腐	niang dou fu	35
酿银瓜	niang yin gua	2
酿雪梨	niang xue li	6
酿青椒	niang qing jiao	2
醉排骨	zui pai gu	2
醉活虾	zui huo xia	5
醉蚌肉	zui bang rou	6
醉蟹	zui xie	37
醉蟹清炖鸡	zui xie qing dun ji	3
醉鸡	zui ji	1
醉鸡翅	zui ji chi	5
醉鹅掌	zui e zhang	2
醋拌莲藕	cu ban lian ou	3
醋椒桂鱼	cu jiao gui yu	4
醋椒活鱼	cu jiao huo yu	3
醋椒鱼	cu jiao yu	8
醋溜白菜	cu liu bai cai	19
醋溜藕片	cu liu ou pian	4
醋溜鱼	cu liu yu	6
醋溜黄瓜	cu liu huang gua	6
醋烟肉片儿	cu yan rou pian er	5
醋熘鳜鱼	cu liu gui yu	6
醋粟	cu su	8
醋辣白菜梗	cu la bai cai geng	3
醒胃腌椰菜花	xing wei yan ye cai hua	2
醒脑安神冬瓜汤	xing nao an shen dong gua tang	2
醪糟小汤圆	lao zao xiao tang yuan	6
醪糟罐头	lao zao guan tou	4
醪糟蛋	lao zao dan	9
醪糟鸡蛋	lao zao ji dan	5
醪糟麻花	lao zao ma hua	5
采芝斋糖果	cai zhi zhai tang guo	4
里叶白莲	li ye bai lian	5
里水金丝虾	li shui jin si xia	2
里水霸王鸭	li shui ba wang ya	2
重庆口水鸡	chong qing kou shui ji	4
重庆毛血旺	chong qing mao xue wang	6
重庆水煮鱼	chong qing shui zhu yu	2
重庆火锅鱼	chong qing huo guo yu	1
重庆老火锅	chong qing lao huo guo	29
重庆辣子鸡	chong qing la zi ji	1
重油炒面	zhong you chao mian	3
重酥烧饼	zhong su shao bing	4
重阳栗糕	chong yang li gao	5
重阳糕	chong yang gao	6
重阳花糕	chong yang hua gao	8
野味火锅	ye wei huo guo	9
野太阳	ye tai yang	24
野山椒河蚌炖猪脚	ye shan jiao he bang dun zhu jiao	2
野山椒牛肉丝	ye shan jiao niu rou si	4
野无花果	ye wu hua guo	4
野猪肉	ye zhu rou	31
野生大鱼坊	ye sheng da yu fang	2
野生菌汤	ye sheng jun tang	1
野生酸枣汁	ye sheng suan zao zhi	6
野菜窝头	ye cai wo tou	6
野鸭桃仁丁	ye ya tao ren ding	5
野鸭脯	ye ya fu	3
野鸭菜饭	ye ya cai fan	5
金万利香橙酒	jin wan li xiang cheng jiu	3
金丝海蟹	jin si hai xie	4
金丝烧麦	jin si shao mai	5
金丝玉兔	jin si yu tu	2
金丝琥珀蜜枣	jin si hu po mi zao	7
金丝蜜枣	jin si mi zao	1
金丝酥雀	jin si su que	6
金丝饼	jin si bing	2
金刚脐	jin gang qi	6
金包银	jin bao yin	2
金华五仁月饼	jin hua wu ren yue bing	2
金华兔头煲	jin hua tu tou bao	7
金华汤包	jin hua tang bao	7
金华火腿	jin hua huo tui	40
金华玉树鸡	jin hua yu shu ji	5
金华豆豉	jin hua dou chi	3
金华酥饼	jin hua su bing	4
金华馒头	jin hua man tou	3
金奖惠明茶	jin jiang hui ming cha	7
金威啤酒	jin wei pi jiu	5
金山时雨茶	jin shan shi yu cha	3
金巴利	jin ba li	27
金德啤酒	jin de pi jiu	4
金星啤酒	jin xing pi jiu	1
金杏	jin xing	4
金枪鱼三文治	jin qiang yu san wen zhi	3
金枪鱼沙拉	jin qiang yu sha la	8
金枪鱼面包	jin qiang yu mian bao	1
金柑桔饼	jin gan ju bing	3
金柑饼	jin gan bing	4
金桔花	jin ju hua	6
金樱子杜仲煲猪尾	jin ying zi du zhong bao zhu wei	3
金樱子棕	jin ying zi zong	4
金汉斯烤肉	jin han si kao rou	7
金溪藕丝糖	jin xi ou si tang	3
金澳	jin ao	1
金牌叉烧酥	jin pai cha shao su	1
金牌手撕鸭	jin pai shou si ya	3
金牌猪手王	jin pai zhu shou wang	3
金牌蒜香骨	jin pai suan xiang gu	6
金牛牌奶油蛋卷	jin niu pai nai you dan juan	3
金牛鸭子	jin niu ya zi	3
金狮绣球	jin shi xiu qiu	3
金玉满堂	jin yu man tang	44
金瓜芋泥	jin gua yu ni	7
金瓜酥	jin gua su	2
金盏松茸	jin zhan song rong	2
金糕	jin gao	11
金糕卷	jin gao juan	4
金线吊葫芦	jin xian diao hu lu	8
金线油塔	jin xian you ta	1
金耳	jin er	26
金腿烧圆鱼	jin tui shao yuan yu	3
金腿脊梅炖腰酥	jin tui ji mei dun yao su	3
金腿鲫鱼	jin tui ji yu	3
金色咖啡茶	jin se ka fei cha	3
金菇掐菜	jin gu qia cai	5
金菊	jin ju	13
金蟾拜月	jin chan bai yue	7
金蟾玉鲍	jin chan yu bao	5
金酒	jin jiu	44
金针菇培根	jin zhen gu pei gen	3
金针菇罐头	jin zhen gu guan tou	8
金针菇肉丝	jin zhen gu rou si	2
金针菇肉丝汤	jin zhen gu rou si tang	3
金针豆腐	jin zhen dou fu	4
金钩包子	jin gou bao zi	2
金钩挂玉牌	jin gou gua yu pai	5
金钩翡翠	jin gou fei cui	4
金钱口蘑汤	jin qian kou mo tang	4
金钱吐丝	jin qian tu si	3
金钱干贝	jin qian gan bei	3
金钱洋芋饼	jin qian yang yu bing	5
金钱海参	jin qian hai shen	6
金钱牛排	jin qian niu pai	3
金钱肉	jin qian rou	9
金钱饼	jin qian bing	8
金钱香菇	jin qian xiang gu	4
金钱鱼肚	jin qian yu du	5
金钱鸡卷	jin qian ji juan	2
金钱鸡塔	jin qian ji ta	5
金银枣	jin yin zao	5
金银蹄	jin yin ti	8
金银馒头	jin yin man tou	2
金银鸽肉	jin yin ge rou	3
金锋鲁肉饭	jin feng lu rou fan	2
金锣火腿肠	jin luo huo tui chang	7
金镶玉板	jin xiang yu ban	2
金雀舌	jin que she	5
金鱼戏莲	jin yu xi lian	7
金鱼角	jin yu jiao	3
金鱼饺	jin yu jiao	7
金鱼鸭掌	jin yu ya zhang	7
金黄蜜枣	jin huang mi zao	7
鑫鼎	xin ding	11
钟水饺	zhong shui jiao	31
钱江鲈鱼	qian jiang lu yu	3
钱钱饭	qian qian fan	4
钵仔禾虫	bo zai he chong	7
钵钵鸡	bo bo ji	11
铁扒仔鸡	tie pa zi ji	3
铁板日本豆腐	tie ban ri ben dou fu	3
铁板泥鳅	tie ban ni qiu	3
铁板牛肉	tie ban niu rou	6
铁板猪杂	tie ban zhu za	5
铁板田鸡	tie ban tian ji	6
铁板肥肠	tie ban fei chang	4
铁板腰花	tie ban yao hua	2
铁板茄子	tie ban qie zi	1
铁板鱿鱼	tie ban you yu	34
铁板鱿鱼须	tie ban you yu xu	1
铁板鳝鱼	tie ban shan yu	5
铁板鸡杂	tie ban ji za	4
铁板黑椒牛柳	tie ban hei jiao niu liu	6
铁狮子头	tie shi zi tou	1
铁素四色球	tie su si se qiu	3
铁锅蛋	tie guo dan	1
铜井巷素面	tong jing xiang su mian	4
铜仁社饭	tong ren she fan	5
铜仁绿豆粉	tong ren lv dou fen	6
铭雄明	ming xiong ming	4
银丝仔乌汤	yin si zi wu tang	2
银丝圆	yin si yuan	5
银丝酥	yin si su	5
银丝面	yin si mian	5
银包金	yin bao jin	9
银杏芋泥	yin xing yu ni	4
银杏蒸鸭	yin xing zheng ya	5
银杏蚬鸭煲	yin xing xian ya bao	3
银杞明目汤	yin qi ming mu tang	3
银牙韭菜花	yin ya jiu cai hua	2
银耳保健饮料	yin er bao jian yin liao	2
银耳大枣汤	yin er da zao tang	5
银耳果羹	yin er guo geng	3
银耳汽锅鸡	yin er qi guo ji	4
银耳雪梨柚子蜜	yin er xue li you zi mi	3
银耳香菇鸡肉汤	yin er xiang gu ji rou tang	3
银花薄荷饮	yin hua bo he yin	5
银芽韭菜花	yin ya jiu cai hua	3
银芽鸡丝	yin ya ji si	6
银鱼干	yin yu gan	1
银鱼柳	yin yu liu	7
银鱼肉丝	yin yu rou si	2
银鱼藕丝	yin yu ou si	3
银鳕鱼	yin xue yu	14
铺层馍馍	pu ceng mo mo	2
铺盖面	pu gai mian	19
锅塌菠菜	guo ta bo cai	6
锅塌蒲菜	guo ta pu cai	4
锅塌豆腐	guo ta dou fu	8
锅塌鸡片	guo ta ji pian	2
锅塌黄鱼	guo ta huang yu	4
锅巴三鲜	guo ba san xian	5
锅巴油粉	guo ba you fen	7
锅巴肉片	guo ba rou pian	1
锅巴菜	guo ba cai	37
锅散丹	guo san dan	3
锅榻腰盒	guo ta yao he	3
锅渣	guo zha	2
锅烧海参	guo shao hai shen	7
锅烧猪蹄儿	guo shao zhu ti er	6
锅烧白菜	guo shao bai cai	6
锅烧肘子	guo shao zhou zi	7
锅烧鲤鱼	guo shao li yu	7
锅烧鳗	guo shao man	6
锅烧鸡	guo shao ji	7
锅烧鸭	guo shao ya	7
锅煽豆腐	guo shan dou fu	3
锅熠银鱼	guo yi yin yu	3
锅盔辣子	guo kui la zi	1
锅盔馍	guo kui mo	8
锅盖面	guo gai mian	27
锅贴石斑夹	guo tie shi ban jia	3
锅贴饺	guo tie jiao	14
锅贴鱼	guo tie yu	6
锅贴鱼片	guo tie yu pian	5
锅贴鸡片	guo tie ji pian	3
锅贴鸭方	guo tie ya fang	2
锅边	guo bian	45
锅边糊	guo bian hu	10
锅酥牛肉	guo su niu rou	2
锅魁夹卤肉	guo kui jia lu rou	4
