# 青简领域词库：饮食，由 qingjian-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
什锦麦胚饼	shi jin mai pei bing	4
什锦麻花	shi jin ma hua	5
什香菜	shi xiang cai	5
仁寿芝麻糕	ren shou zhi ma gao	4
仁用杏	ren yong xing	11
今朝缘	jin zhao yuan	4
今生缘	jin sheng yuan	5
介休贯馅糖	jie xiu guan xian tang	6
仔凉粉	zi liang fen	1
仔姜牛肉	zi jiang niu rou	4
仙人掌果	xian ren zhang guo	9
仙人掌茶	xian ren zhang cha	9
仙城束沙	xian cheng shu sha	2
仙度氏咖啡	xian du shi ka fei	3
仙源食品	xian yuan shi pin	5
仙灵脾	xian ling pi	12
仙鹤望金桥	xian he wang jin qiao	2
仙鹤鲍鱼	xian he bao yu	5
代县麻片	dai xian ma pian	4
代县黄酒	dai xian huang jiu	6
代黄杏	dai huang xing	3
仪征雀脯菜	yi zheng que fu cai	3
仲丁胺	zhong ding an	7
仲夏野莓	zhong xia ye mei	3
仲夏野莓冰淇淋	zhong xia ye mei bing qi lin	2
仲景羊肉汤	zhong jing yang rou tang	4
仿膳	fang shan	12
仿膳饭庄	fang shan fan zhuang	2
仿膳饽饽	fang shan bo bo	4
伊力特	yi li te	10
伊府面	yi fu mian	1
伊斯兰烧饼	yi si lan shao bing	6
伊牛	yi niu	10
伍仁酥	wu ren su	1
伍佑糖麻花	wu you tang ma hua	4
伏岭玫瑰酥	fu ling mei gui su	6
优酸乳	you suan ru	1
会友发包子	hui you fa bao zi	5
伤心凉粉	shang xin liang fen	22
伦教糕	lun jiao gao	5
伯丁罕	bo ding han	5
伯爵茶	bo jue cha	15
低亚硫酸钠	di ya liu suan na	7
低筋面粉	di jin mian fen	25
低糖蜜饯	di tang mi jian	2
低聚果糖	di ju guo tang	12
低脂芝士蛋糕	di zhi zhi shi dan gao	3
低醇啤酒	di chun pi jiu	2
何首乌山鸡	he shou wu shan ji	3
何首乌粉	he shou wu fen	9
余姚瀑布茶	yu yao pu bu cha	5
佛公饼	fo gong bing	5
佛山柱侯酱	fo shan zhu hou jiang	2
佛山盲公饼	fo shan mang gong bing	7
佛手三丝	fo shou san si	3
佛手包	fo shou bao	5
佛手广肚	fo shou guang du	2
佛手排骨	fo shou pai gu	5
佛手海参	fo shou hai shen	5
佛手酥	fo shou su	7
佛手金卷	fo shou jin juan	6
佛豆柠檬枇	fo dou ning meng pi	4
佤族鼠食	wa zu shu shi	3
侉炖羊肉	kua dun yang rou	2
侗乡腌鱼	dong xiang yan yu	6
依幼鱼丸	yi you yu wan	4
便宜坊	bian yi fang	11
俄式咖啡	e shi ka fei	7
俄罗斯菜	e luo si cai	3
保健茶	bao jian cha	1
保定府三件宝	bao ding fu san jian bao	5
保德油枣	bao de you zao	1
保德碗托	bao de wan tuo	3
信远斋酸梅汤	xin yuan zhai suan mei tang	5
信阳板鸭	xin yang ban ya	4
信阳毛尖	xin yang mao jian	3
信阳毛尖茶	xin yang mao jian cha	1
修水双井茶	xiu shui shuang jing cha	3
倍半碳酸钠	bei ban tan suan na	6
倒巴	dao ba	1
倭井潭硬糕	wo jing tan ying gao	2
偏酒石酸	pian jiu shi suan	5
健力	jian li	41
健康乐	jian kang le	12
健美茶	jian mei cha	8
偶氮玉红	ou dan yu hong	1
偶氮甲酰胺	ou dan jia xian an	6
元宝酥	yuan bao su	1
光村沙虫	guang cun sha chong	5
光饼	guang bing	43
克东腐乳	ke dong fu ru	7
克瓦斯	ke wa si	4
兔头煲	tu tou bao	9
兔耳草醛	tu er cao quan	3
兔肉炖鸡脚	tu rou dun ji jiao	4
兔肝鸡蛋汤	tu gan ji dan tang	2
兔脯	tu fu	8
党参麦冬瘦肉汤	dang shen mai dong shou rou tang	3
党参黄芪炖鸡汤	dang shen huang qi dun ji tang	3
兢山泉	jing shan quan	4
全家富	quan jia fu	8
全羊汤锅	quan yang tang guo	6
全麦芽啤酒	quan mai ya pi jiu	6
八仙瑶池聚会	ba xian yao chi ju hui	4
八仙粉	ba xian fen	7
八仙茶	ba xian cha	2
八仙过海闹罗汉	ba xian guo hai nao luo han	8
八代鱼	ba dai yu	5
八公山豆腐	ba gong shan dou fu	10
八公山雪月银球	ba gong shan xue yue yin qiu	3
八卦鱼肚	ba gua yu du	4
八块鸡	ba kuai ji	6
八宝兔丁	ba bao tu ding	5
八宝壶	ba bao hu	7
八宝桂鱼	ba bao gui yu	3
八宝梨罐	ba bao li guan	4
八宝榛子酱	ba bao zhen zi jiang	5
八宝油糕	ba bao you gao	5
八宝炒年糕	ba bao chao nian gao	3
八宝甜粽	ba bao tian zong	2
八宝甲鱼	ba bao jia yu	6
八宝百合	ba bao bai he	4
八宝糯米鸡	ba bao nuo mi ji	3
八宝肉辣子	ba bao rou la zi	3
八宝膳粥	ba bao shan zhou	3
八宝茶汤	ba bao cha tang	5
八宝菠菜	ba bao bo cai	6
八宝葫芦鸡	ba bao hu lu ji	5
八宝蛋炸食	ba bao dan zha shi	3
八宝蜜食	ba bao mi shi	3
八宝野鸭	ba bao ye ya	6
八宝银耳羹	ba bao yin er geng	3
八宝青蟹饭	ba bao qing xie fan	2
八宝鸡	ba bao ji	2
八宝鸭	ba bao ya	2
八宝鸭羹	ba bao ya geng	2
八宝黑米粥	ba bao hei mi zhou	4
八批果子	ba pi guo zi	6
八步红瓜子	ba bu hong gua zi	6
八王寺汽水	ba wang si qi shui	16
八珍月饼	ba zhen yue bing	3
八珍糕	ba zhen gao	10
八珍羹	ba zhen geng	5
八生火锅	ba sheng huo guo	5
八角茴香油	ba jiao hui xiang you	9
公爵樱桃	gong jue ying tao	3
六偏磷酸钠	liu pian lin suan na	11
