# 青简领域词库：诗词名句，由 qingjian-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
自我心存道	zi wo xin cun dao	2
自挂东南枝	zi gua dong nan zhi	1
自既灌而往者	zi ji guan er wang zhe	2
自明无月夜	zi ming wu yue ye	2
自是不归归便得	zi shi bu gui gui bian de	2
自是人生长恨水长东	zi shi ren sheng chang hen shui chang dong	4
自是白衣卿相	zi shi bai yi qing xiang	3
自是者不彰	zi shi zhe bu zhang	3
自是花中第一流	zi shi hua zhong di yi liu	1
自有云霄万里高	zi you yun xiao wan li gao	3
自有同志者在	zi you tong zhi zhe zai	3
自有夜珠来	zi you ye zhu lai	2
自有岁寒心	zi you sui han xin	2
自有生民以来	zi you sheng min yi lai	2
自此草书长进	zi ci cao shu zhang jin	3
自清凉无汗	zi qing liang wu han	2
自漉疏巾邀醉客	zi lu shu jin yao zui ke	2
自爱名山入剡中	zi ai ming shan ru shan zhong	2
自爱铿然曳杖声	zi ai keng ran ye zhang sheng	2
自生民以来	zi sheng min yi lai	2
自矜者不长	zi jin zhe bu chang	3
自种黄桑三百尺	zi zhong huang sang san bai chi	3
自称臣是酒中仙	zi cheng chen shi jiu zhong xian	13
自移一榻西窗下	zi yi yi ta xi chuang xia	2
自笑平生为口忙	zi xiao ping sheng wei kou mang	3
自经丧乱少睡眠	zi jing sang luan shao shui mian	3
自经放逐来憔悴	zi jing fang zhu lai qiao cui	3
自缘身在最高层	zi yuan shen zai zui gao ceng	6
自胡马窥江去后	zi hu ma kui jiang qu hou	1
自能成羽翼	zi neng cheng yu yi	2
自行束修以上	zi xing shu xiu yi shang	3
自见者不明	zi jian zhe bu ming	3
自见而已矣	zi jian er yi yi	3
自课越佣能种瓜	zi ke yue yong neng zhong gua	2
自贵而相贱	zi gui er xiang jian	3
自静其心延寿命	zi jing qi xin yan shou ming	2
自非亭午夜分	zi fei ting wu ye fen	2
至于斟酌损益	zhi yu zhen zhuo sun yi	3
至于负者歌于途	zhi yu fu zhe ge yu tu	2
至人之用心若镜	zhi ren zhi yong xin ruo jing	2
至今九年而不复	zhi jin jiu nian er bu fu	3
至今人道江家宅	zhi jin ren dao jiang jia zhai	3
至今劳圣主	zhi jin lao sheng zhu	2
至今已觉不新鲜	zhi jin yi jue bu xin xian	5
至今思项羽	zhi jin si xiang yu	1
至今欲食林甫肉	zhi jin yu shi lin fu rou	2
至今沧江上	zhi jin cang jiang shang	2
至大不可围	zhi da bu ke wei	2
至子桑之门	zhi zi sang zhi men	2
至若春和景明	zhi ruo chun he jing ming	4
致君丹槛折	zhi jun dan jian zhe	2
致君尧舜上	zhi jun yao shun shang	5
致君尧舜知无术	zhi jun yao shun zhi wu shu	3
舍南有竹堪书字	she nan you zhu kan shu zi	2
舍南舍北皆春水	she nan she bei jie chun shui	4
舍我其谁也	she wo qi shui ye	4
舍鱼而取熊掌者也	she yu er qu xiong zhang zhe ye	1
舒而脱脱兮	shu er tuo tuo xi	3
舜不告而娶	shun bu gao er qu	1
舜之为臣也	shun zhi wei chen ye	2
舜亦以命禹	shun yi yi ming yu	3
舜发于畎亩之中	shun fa yu quan mu zhi zhong	2
舜流共工于幽州	shun liu gong gong yu you zhou	2
舜禹之有天下也	shun yu zhi you tian xia ye	2
舞低杨柳楼心月	wu di yang liu lou xin yue	4
舞困榆钱自落	wu kun yu qian zi luo	2
舞破中原始下来	wu po zhong yuan shi xia lai	2
舞马既登床	wu ma ji deng chuang	2
舟楫恐失坠	zhou ji kong shi zhui	2
舟楫控吴人	zhou ji kong wu ren	2
舟船如野渡	zhou chuan ru ye du	2
舟行明镜中	zhou xing ming jing zhong	2
舟车半天下	zhou che ban tian xia	2
舟雪洒寒灯	zhou xue sa han deng	2
船下广陵去	chuan xia guang ling qu	2
船回雾起堤	chuan hui wu qi di	3
船容与而不进兮	chuan rong yu er bu jin xi	3
船经一柱观	chuan jing yi zhu guan	2
艅艎何泛泛	yu huang he fan fan	1
艟艨巨舰直东指	chong meng ju jian zhi dong zhi	2
良久问他不开口	liang jiu wen ta bu kai kou	2
良人执戟明光里	liang ren zhi ji ming guang li	2
良人罢远征	liang ren ba yuan zheng	3
良宵盛会喜空前	liang xiao sheng hui xi kong qian	2
良庖岁更刀	liang pao sui geng dao	3
良游常蹉跎	liang you chang cuo tuo	2
良璞含章久	liang pu han zhang jiu	2
良药苦口利于病	liang yao ku kou li yu bing	30
良辰与美景	liang chen yu mei jing	3
良辰美景奈何天	liang chen mei jing nai he tian	23
艰哉何巍巍	jian zai he wei wei	4
艰难不敢料前期	jian nan bu gan liao qian qi	2
艰难困苦平常事	jian nan kun ku ping chang shi	3
艰难愧深情	jian nan kui shen qing	3
艰难苦恨繁霜鬓	jian nan ku hen fan shuang bin	2
色与春庭暮	se yu chun ting mu	2
色厉而内荏	se li er nei ren	3
色取仁而行违	se qu ren er xing wei	3
色静深松里	se jing shen song li	1
艳色天下重	yan se tian xia zhong	2
节文斯二者是也	jie wen si er zhe shi ye	3
节物风光不相待	jie wu feng guang bu xiang dai	2
节用而爱人	jie yong er ai ren	4
芙蓉向脸两边开	fu rong xiang lian liang bian kai	5
芙蓉国里尽朝晖	fu rong guo li jin zhao hui	7
芙蓉塘外有轻雷	fu rong tang wai you qing lei	3
芙蓉如面柳如眉	fu rong ru mian liu ru mei	8
芙蓉帐暖度春宵	fu rong zhang nuan du chun xiao	11
芙蓉楼送辛渐	fu rong lou song xin jian	5
芙蓉泣露香兰笑	fu rong qi lu xiang lan xiao	1
芙蓉老秋霜	fu rong lao qiu shuang	2
芙蓉芍药皆嫫母	fu rong shao yao jie mo mu	3
芜然蕙草暮	wu ran hui cao mu	2
芦花深泽静垂纶	lu hua shen ze jing chui lun	2
芦苇晚风起	lu wei wan feng qi	3
芭蕉不展丁香结	ba jiao bu zhan ding xiang jie	3
芭蕉叶大栀子肥	ba jiao ye da zhi zi fei	2
花上露犹泫	hua shang lu you xuan	2
花不知人瘦	hua bu zhi ren shou	2
花中此物似西施	hua zhong ci wu si xi shi	3
花之君子者也	hua zhi jun zi zhe ye	2
花之富贵者也	hua zhi fu gui zhe ye	1
花之隐逸者也	hua zhi yin yi zhe ye	2
花动一山春色	hua dong yi shan chun se	2
花发江边二月晴	hua fa jiang bian er yue qing	3
花外漏声迢递	hua wai lou sheng tiao di	2
花屿读书床	hua yu du shu chuang	2
花市灯如昼	hua shi deng ru zhou	2
花应羞上老人头	hua ying xiu shang lao ren tou	2
花开又花落	hua kai you hua luo	3
花开堪折直须折	hua kai kan zhe zhi xu zhe	24
花开时节动京城	hua kai shi jie dong jing cheng	1
花开残菊傍疏篱	hua kai can ju bang shu li	2
花开花落二十日	hua kai hua luo er shi ri	6
花开花落几番晴	hua kai hua luo ji fan qing	3
花影妖饶各占春	hua ying yao rao ge zhan chun	2
花径不曾缘客扫	hua jing bu ceng yuan ke sao	6
花径暗香流	hua jing an xiang liu	2
花心愁欲断	hua xin chou yu duan	2
花房小如许	hua fang xiao ru xu	2
花暖青牛卧	hua nuan qing niu wo	2
花月正春风	hua yue zheng chun feng	2
花有清香月有阴	hua you qing xiang yue you yin	3
花木成畦手自栽	hua mu cheng qi shou zi zai	2
花气袭人知骤暖	hua qi xi ren zhi zhou nuan	2
花泾二月桃花发	hua jing er yue tao hua fa	2
花浓春寺静	hua nong chun si jing	2
花满自然秋	hua man zi ran qiu	3
花竹有和气	hua zhu you he qi	3
花自飘零水自流	hua zi piao ling shui zi liu	11
花舞大唐春	hua wu da tang chun	2
花落水流红	hua luo shui liu hong	2
花落花开年复年	hua luo hua kai nian fu nian	3
花蔓宜阳春	hua man yi yang chun	4
花褪残红青杏小	hua tui can hong qing xing xiao	2
花迎剑佩星初落	hua ying jian pei xing chu luo	2
花近高楼伤客心	hua jin gao lou shang ke xin	3
花重锦官城	hua zhong jin guan cheng	4
花钿委地无人收	hua dian wei di wu ren shou	3
花雪随风不厌看	hua xue sui feng bu yan kan	2
花面丫头十三四	hua mian ya tou shi san si	2
花面交相映	hua mian jiao xiang ying	2
花须连夜发	hua xu lian ye fa	3
花鬘斗薮龙蛇动	hua man dou sou long she dong	1
芳声腾海隅	fang sheng teng hai yu	2
芳影如生随处在	fang ying ru sheng sui chu zai	2
芳林新叶催陈叶	fang lin xin ye cui chen ye	5
芳洲拾翠暮忘归	fang zhou shi cui mu wang gui	3
芳草何年恨即休	fang cao he nian hen ji xiu	2
芳草萋萋鹦鹉洲	fang cao qi qi ying wu zhou	1
芳菲歇去何须恨	fang fei xie qu he xu hen	3
芳菲菲兮袭予	fang fei fei xi xi yu	2
芳菲菲其弥章	fang fei fei qi mi zhang	2
芷葺兮荷屋	zhi qi xi he wu	2
苍然两片石	cang ran liang pian shi	2
苍然满关中	cang ran man guan zhong	2
苍然玉一堆	cang ran yu yi dui	2
苍苍横翠微	cang cang heng cui wei	6
苍苍竹林寺	cang cang zhu lin si	2
苍茫不晓神灵意	cang mang bu xiao shen ling yi	2
苍茫云海间	cang mang yun hai jian	3
苍茫云雾浮	cang mang yun wu fu	3
苍茫值晚春	cang mang zhi wan chun	2
苍茫宫观平	cang mang gong guan ping	2
苍龙日暮还行雨	cang long ri mu hai xing yu	4
苏晋长斋绣佛前	su jin chang zhai xiu fo qian	2
苏武在匈奴	su wu zai xiong nu	2
苏维埃政府主席毛泽东	su wei ai zheng fu zhu xi mao ze dong	4
苒苒物华休	ran ran wu hua xiu	2
苔深不能扫	tai shen bu neng sao	4
苔痕上阶绿	tai hen shang jie lv	5
苕溪渔隐丛话	tiao xi yu yin cong hua	2
苗而不秀者有矣夫	miao er bu xiu zhe you yi fu	2
苟余心之端直兮	gou yu xin zhi duan zhi xi	3
苟余情其信姱以练要兮	gou yu qing qi xin kua yi lian yao xi	2
苟余情其信芳	gou yu qing qi xin fang	2
苟全性命于乱世	gou quan xing ming yu luan shi	1
苟得用此下土	gou de yong ci xia tu	2
苟志于仁矣	gou zhi yu ren yi	3
苟无济代心	gou wu ji dai xin	2
苟有用我者	gou you yong wo zhe	2
苟正其身矣	gou zheng qi shen yi	4
苟能制侵陵	gou neng zhi qin ling	2
苟非吾之所有	gou fei wu zhi suo you	4
若个书生万户侯	ruo ge shu sheng wan hu hou	4
若个是真梅	ruo ge shi zhen mei	3
若为化得身千亿	ruo wei hua de shen qian yi	4
若乃夫没人	ruo nai fu mei ren	2
若九牛亡一毛	ruo jiu niu wang yi mao	2
若似剡中容易到	ruo si shan zhong rong yi dao	2
若似月轮终皎洁	ruo si yue lun zhong jiao jie	2
若信庄周尚非我	ruo xin zhuang zhou shang fei wo	2
若入前为寿	ruo ru qian wei shou	2
若共吴王斗百草	ruo gong wu wang dou bai cao	2
若其义则不可须臾舍也	ruo qi yi ze bu ke xu yu she ye	2
若到江南赶上春	ruo dao jiang nan gan shang chun	4
若到越溪逢越女	ruo dao yue xi feng yue nv	2
若夫日出而林霏开	ruo fu ri chu er lin fei kai	2
若夫霪雨霏霏	ruo fu yin yu fei fei	2
若属皆且为所虏	ruo shu jie qie wei suo lu	2
若待上林花似锦	ruo dai shang lin hua si jin	1
若无清风吹	ruo wu qing feng chui	1
若无知足心	ruo wu zhi zu xin	2
若无罪而就死地	ruo wu zui er jiu si di	2
若无闲事挂心头	ruo wu xian shi gua xin tou	11
若是真金不镀金	ruo shi zhen jin bu du jin	4
若有人兮山之阿	ruo you ren xi shan zhi e	2
若有人知春去处	ruo you ren zhi chun qu chu	2
若有作奸犯科	ruo you zuo jian fan ke	2
若死生为徒	ruo si sheng wei tu	2
若火之始然	ruo huo zhi shi ran	2
若白驹之过隙	ruo bai ju zhi guo xi	4
若耶溪上踏莓苔	ruo ye xi shang ta mei tai	2
若耶溪归兴	ruo ye xi gui xing	2
若臧武仲之知	ruo zang wu zhong zhi zhi	1
若葵藿之倾叶	ruo kui huo zhi qing ye	2
若言声在指头上	ruo yan sheng zai zhi tou shang	3
若言琴上有琴声	ruo yan qin shang you qin sheng	3
若负平生志	ruo fu ping sheng zhi	3
若轻云之蔽月	ruo qing yun zhi bi yue	2
若降天地之施	ruo jiang tian di zhi shi	2
若非月下即花前	ruo fei yue xia ji hua qian	2
若非群玉山头见	ruo fei qun yu shan tou jian	1
苦乏大药资	ku fa da yao zi	2
苦恨年年压金线	ku hen nian nian ya jin xian	1
苦道来不易	ku dao lai bu yi	2
英俊沉下僚	ying jun chen xia liao	4
英姿飒爽来酣战	ying zi sa shuang lai han zhan	2
英姿飒爽犹酣战	ying zi sa shuang you han zhan	3
茂陵刘郎秋风客	mao ling liu lang qiu feng ke	2
范增数目项王	fan zeng shuo mu xiang wang	2
范增说项羽曰	fan zeng shui xiang yu yue	2
茅堂石笋西	mao tang shi sun xi	2
茅屋四五间	mao wu si wu jian	3
茅屋沧洲一酒旗	mao wu cang zhou yi jiu qi	2
茅檐烟里语双双	mao yan yan li yu shuang shuang	2
茅檐相对坐终日	mao yan xiang dui zuo zhong ri	2
茅檐长扫静无苔	mao yan chang sao jing wu tai	2
茅茨疏易湿	mao ci shu yi shi	1
茗生此中石	ming sheng ci zhong shi	2
茫如坠烟雾	mang ru zhui yan wu	2
茫茫九派流中国	mang mang jiu pai liu zhong guo	5
茫茫天地间	mang mang tian di jian	1
茫茫走胡兵	mang mang zou hu bing	2
茱萸自有芳	zhu yu zi you fang	2
茶中故旧是蒙山	cha zhong gu jiu shi meng shan	4
茶烟轻扬落花风	cha yan qing yang luo hua feng	3
茶笋尽禅味	cha sun jin chan wei	2
荃者所以在鱼	quan zhe suo yi zai yu	2
荆棘上参天	jing ji shang can tian	2
荆棘暗长原	jing ji an chang yuan	2
荆轲刺秦王	jing ke ci qin wang	24
荆钗任意撩新鬓	jing chai ren yi liao xin bin	2
荆门九派通	jing men jiu pai tong	4
草合离宫转夕晖	cao he li gong zhuan xi hui	2
草头珠颗冷	cao tou zhu ke leng	2
草尚之风必偃	cao shang zhi feng bi yan	3
草屋八九间	cao wu ba jiu jian	4
草木摇落露为霜	cao mu yao luo lu wei shuang	5
草木有本心	cao mu you ben xin	4
草木黄落兮雁南归	cao mu huang luo xi yan nan gui	4
草枯鹰眼疾	cao ku ying yan ji	2
草树云山如锦绣	cao shu yun shan ru jin xiu	4
草根吟不稳	cao gen yin bu wen	2
草盛豆苗稀	cao sheng dou miao xi	5
草绿裙腰一道斜	cao lv qun yao yi dao xie	2
草色入帘青	cao se ru lian qing	4
草色新雨中	cao se xin yu zhong	2
草色烟光残照里	cao se yan guang can zhao li	2
草色遥看近却无	cao se yao kan jin que wu	7
草色青青柳色黄	cao se qing qing liu se huang	2
草芽菜甲一时生	cao ya cai jia yi shi sheng	3
草草杯盘供笑语	cao cao bei pan gong xiao yu	2
草萤有耀终非火	cao ying you yao zhong fei huo	4
草裹乌纱巾	cao guo wu sha jin	2
草诏陆贽倾诸公	cao zhao lu zhi qing zhu gong	2
草长莺飞二月天	cao zhang ying fei er yue tian	6
荏苒冬春谢	ren ran dong chun xie	2
荒城鲁殿馀	huang cheng lu dian yu	2
荒烟依旧平楚	huang yan yi jiu ping chu	2
荔子已丹吾发白	li zi yi dan wu fa bai	2
荔枝新熟鸡冠色	li zhi xin shu ji guan se	3
荞麦花开白雪香	qiao mai hua kai bai xue xiang	2
荡子天涯归棹远	dang zi tian ya gui zhao yuan	1
荡子行不归	dang zi xing bu gui	2
荡摇浮世生万象	dang yao fu shi sheng wan xiang	3
荡涤谁氏子	dang di shui shi zi	3
荡漾游子情	dang yang you zi qing	2
荡胸生层云	dang xiong sheng ceng yun	1
荣光休气纷五彩	rong guang xiu qi fen wu cai	2
荣华相晃耀	rong hua xiang huang yao	2
荣名以为宝	rong ming yi wei bao	2
荣枯一枕春来梦	rong ku yi zhen chun lai meng	2
荣枯咫尺异	rong ku zhi chi yi	3
荦确何人似退之	luo que he ren si tui zhi	2
荪桡兮兰旌	sun rao xi lan jing	1
荫此百尺条	yin ci bai chi tiao	3
药方只贩古时丹	yao fang zhi fan gu shi dan	3
荷动知鱼散	he dong zhi yu san	3
荷叶生时春恨生	he ye sheng shi chun hen sheng	1
荷叶罗裙一色裁	he ye luo qun yi se cai	5
荷尽已无擎雨盖	he jin yi wu qing yu gai	5
荷花半成子	he hua ban cheng zi	1
荷花开后西湖好	he hua kai hou xi hu hao	2
荷花羞玉颜	he hua xiu yu yan	3
荷衣兮蕙带	he yi xi hui dai	3
荷露虽团岂是珠	he lu sui tuan qi shi zhu	4
荷风送香气	he feng song xiang qi	1
莓苔见履痕	mei tai jian lv hen	3
莫上最高层	mo shang zui gao ceng	2
莫不有文武之道焉	mo bu you wen wu zhi dao yan	2
莫为无人欺一物	mo wei wu ren qi yi wu	2
莫为霜台愁岁暮	mo wei shuang tai chou sui mu	3
莫之能御也	mo zhi neng yu ye	3
莫厌伤多酒入唇	mo yan shang duo jiu ru chun	3
莫厌家鸡更问人	mo yan jia ji geng wen ren	2
莫叹韶华容易逝	mo tan shao hua rong yi shi	3
莫向光阴惰寸功	mo xiang guang yin duo cun gong	4
莫听穿林打叶声	mo ting chuan lin da ye sheng	8
莫大乎尊亲	mo da hu zun qin	4
莫好修之害也	mo hao xiu zhi hai ye	2
莫嫌荦确坡头路	mo xian luo que po tou lu	2
莫嫌酒薄红粉陋	mo xian jiu bo hong fen lou	2
莫将画扇出帷来	mo jiang hua shan chu wei lai	2
莫待无花空折枝	mo dai wu hua kong zhe zhi	32
莫待晓风吹	mo dai xiao feng chui	2
莫愁前路无知己	mo chou qian lu wu zhi ji	42
莫愁留滞太史公	mo chou liu zhi tai shi gong	2
莫把聪明付蠹虫	mo ba cong ming fu du chong	3
莫教枝上啼	mo jiao zhi shang ti	2
莫教踏碎琼瑶	mo jiao ta sui qiong yao	3
莫教长袖倚阑干	mo jiao chang xiu yi lan gan	2
莫笑农家腊酒浑	mo xiao nong jia la jiu hun	6
莫笑田家老瓦盆	mo xiao tian jia lao wa pen	2
莫羡三春桃与李	mo xian san chun tao yu li	3
莫自使眼枯	mo zi shi yan ku	3
莫见长安行乐处	mo jian chang an xing le chu	2
莫言名与利	mo yan ming yu li	3
莫许杯深琥珀浓	mo xu bei shen hu po nong	2
莫负东篱菊蕊黄	mo fu dong li ju rui huang	2
莫辞更坐弹一曲	mo ci geng zuo tan yi qu	2
莫逐狂风起浪心	mo zhu kuang feng qi lang xin	2
莫道不消魂	mo dao bu xiao hun	1
莫道不销魂	mo dao bu xiao hun	4
莫道君行早	mo dao jun xing zao	8
莫道昆明池水浅	mo dao kun ming chi shui qian	3
莫道桑榆晚	mo dao sang yu wan	1
莫道谗言如浪深	mo dao chan yan ru lang shen	3
莫遣佳期更后期	mo qian jia qi geng hou qi	2
莫遣旁人惊去	mo qian pang ren jing qu	3
莫问奴归处	mo wen nu gui chu	2
莫须惊白鹭	mo xu jing bai lu	3
莲动下渔舟	lian dong xia yu zhou	3
莲叶何田田	lian ye he tian tian	2
莲子已成荷叶老	lian zi yi cheng he ye lao	3
莲池旧是无波水	lian chi jiu shi wu bo shui	2
莲花始信两飞峰	lian hua shi xin liang fei feng	2
获笑汶上翁	huo xiao wen shang weng	2
莺儿燕子俱黄土	ying er yan zi ju huang tu	2
莺嫌枝嫩不胜吟	ying xian zhi nen bu sheng yin	2
莺语和人诗	ying yu he ren shi	2
莽莽万重山	mang mang wan chong shan	3
菊残犹有傲霜枝	ju can you you ao shuang zhi	5
菊花何太苦	ju hua he tai ku	3
菊花须插满头归	ju hua xu cha man tou gui	2
菊蕊独盈枝	ju rui du ying zhi	1
菖蒲花发五云高	chang pu hua fa wu yun gao	2
菖蒲酒美清尊共	chang pu jiu mei qing zun gong	4
菜传纤手送青丝	cai chuan xian shou song qing si	2
菡萏发荷花	han dan fa he hua	3
菡萏生泥玩亦难	han dan sheng ni wan yi nan	2
菡萏金芙蓉	han dan jin fu rong	2
菡萏香销翠叶残	han dan xiang xiao cui ye can	4
菰白媚秋菜	gu bai mei qiu cai	2
菰米新炊滑上匙	gu mi xin chui hua shang chi	2
菰蒲冒清浅	gu pu mao qing qian	2
菱透浮萍绿锦池	ling tou fu ping lv jin chi	1
萁在釜下燃	qi zai fu xia ran	3
萋萋满别情	qi qi man bie qing	4
萎蒿满地芦芽短	wei hao man di lu ya duan	1
萧条异代不同时	xiao tiao yi dai bu tong shi	3
萧条徐泗空	xiao tiao xu si kong	2
萧瑟秋风今又是	xiao se qiu feng jin you shi	6
萧疏鬓已斑	xiao shu bin yi ban	3
萧萧木叶石城秋	xiao xiao mu ye shi cheng qiu	3
萧萧枫树林	xiao xiao feng shu lin	2
萧萧梁栋秋	xiao xiao liang dong qiu	2
萧萧梧叶送寒声	xiao xiao wu ye song han sheng	5
萧萧班马鸣	xiao xiao ban ma ming	1
萧萧送雁群	xiao xiao song yan qun	3
萧萧闻雁飞	xiao xiao wen yan fei	2
萧萧黄叶闭疏窗	xiao xiao huang ye bi shu chuang	3
萧飒凉风与衰鬓	xiao sa liang feng yu shuai bin	2
萱草生堂阶	xuan cao sheng tang jie	3
萱草解忘忧	xuan cao jie wang you	3
落其实者思其树	luo qi shi zhe si qi shu	5
落叶他乡树	luo ye ta xiang shu	2
落叶添薪仰古槐	luo ye tian xin yang gu huai	2
落叶满空山	luo ye man kong shan	5
落叶秋风早	luo ye qiu feng zao	4
落叶聚还散	luo ye ju huan san	1
落向人间取次生	luo xiang ren jian qu ci sheng	2
落地为兄弟	luo di wei xiong di	1
落帆江口月黄昏	luo fan jiang kou yue huang hun	2
落日好鸟归	luo ri hao niao gui	2
落日对春华	luo ri dui chun hua	2
落日平台上	luo ri ping tai shang	2
落日心犹壮	luo ri xin you zhuang	3
落日忆山中	luo ri yi shan zhong	2
落日故人情	luo ri gu ren qing	2
落日欲没岘山西	luo ri yu mo xian shan xi	3
落日照大旗	luo ri zhao da qi	1
落日绣帘卷	luo ri xiu lian juan	2
落景闻寒杵	luo jing wen han chu	3
落月摇情满江树	luo yue yao qing man jiang shu	1
落月满屋梁	luo yue man wu liang	2
落木千山天远大	luo mu qian shan tian yuan da	3
落梅愁绝醉中听	luo mei chou jue zui zhong ting	2
落红不是无情物	luo hong bu shi wu qing wu	19
落花人独立	luo hua ren du li	5
落花时节又逢君	luo hua shi jie you feng jun	8
落花时节读华章	luo hua shi jie du hua zhang	3
落花犹似坠楼人	luo hua you si zhui lou ren	1
落花踏尽游何处	luo hua ta jin you he chu	2
落花逐流水	luo hua zhu liu shui	3
落花风雨更伤春	luo hua feng yu geng shang chun	5
落蕊犹收蜜露香	luo rui you shou mi lu xiang	2
落霞与孤鹜齐飞	luo xia yu gu wu qi fei	13
落魄江湖载酒行	luo po jiang hu zai jiu xing	3
著我扁舟一叶	zhuo wo pian zhou yi ye	3
葡萄美酒夜光杯	pu tao mei jiu ye guang bei	22
葳蕤自生光	wei rui zi sheng guang	1
葵藿倾太阳	kui huo qing tai yang	3
蒌蒿满地芦芽短	lou hao man di lu ya duan	6
蒙羞被好兮	meng xiu bei hao xi	3
蒲苇一时纫	pu wei yi shi ren	2
蒲苇纫如丝	pu wei ren ru si	3
蓝桥春雪君归日	lan qiao chun xue jun gui ri	2
蓝桥驿见元九诗	lan qiao yi jian yuan jiu shi	2
蓝水远从千涧落	lan shui yuan cong qian jian luo	3
蓝田丘壑漫寒藤	lan tian qiu he man han teng	2
蓝田日暖玉生烟	lan tian ri nuan yu sheng yan	4
蓝田醉倒玉山颓	lan tian zui dao yu shan tui	2
蓬头稚子学垂纶	peng tou zhi zi xue chui lun	3
蓬山此去无多路	peng shan ci qu wu duo lu	3
蓬而指之曰	peng er zhi zhi yue	2
蓬舟吹取三山去	peng zhou chui qu san shan qu	2
蓬莱定不远	peng lai ding bu yuan	3
蓬莱宫中日月长	peng lai gong zhong ri yue chang	3
蓬莱文章建安骨	peng lai wen zhang jian an gu	1
蓬门今始为君开	peng men jin shi wei jun kai	13
蓬门未识绮罗香	peng men wei shi qi luo xiang	2
蔡洲新草绿	cai zhou xin cao lv	2
蔷薇几度花	qiang wei ji du hua	2
蔷薇带刺攀应懒	qiang wei dai ci pan ying lan	2
蕃草席铺枫叶岸	fan cao xi pu feng ye an	2
蕊黄无限当山额	rui huang wu xian dang shan e	2
蕙草留芳根	hui cao liu fang gen	2
蕨芽珍嫩压春蔬	jue ya zhen nen ya chun shu	2
薄俸可资家	bo feng ke zi jia	2
薄宦梗犹泛	bo huan geng you fan	2
薄暮空潭曲	bo mu kong tan qu	3
薄汗轻衣透	bo han qing yi tou	3
薄雾浓云愁永昼	bo wu nong yun chou yong zhou	42
薜萝若在眼	bi luo ruo zai yan	2
薰风初入弦	xun feng chu ru xian	3
藏书万卷可教子	cang shu wan juan ke jiao zi	2
藏人带树远含清	cang ren dai shu yuan han qing	2
藏小大有宜	cang xiao da you yi	2
藐姑射之山	miao gu she zhi shan	4
藤床纸帐朝眠起	teng chuang zhi zhang chao mian qi	2
虎兕出于柙	hu si chu yu xia	5
虎可搏兮牛可触	hu ke bo xi niu ke chu	2
虎头金粟影	hu tou jin su ying	2
虎有爪兮牛有角	hu you zhua xi niu you jiao	2
虎视何雄哉	hu shi he xiong zai	4
虎豹号我西	hu bao hao wo xi	2
虎距龙盘今胜昔	hu ju long pan jin sheng xi	2
虎踞龙盘今胜昔	hu ju long pan jin sheng xi	6
虎踞龙蟠何处是	hu ju long pan he chu shi	2
虚减宫厨为细腰	xu jian gong chu wei xi yao	2
虚室有余闲	xu shi you yu xian	3
虚步蹑太清	xu bu nie tai qing	2
虚负东阳酒担来	xu fu dong yang jiu dan lai	2
虞人逐而谇之	yu ren zhu er sui zhi	2
虞兮虞兮奈若何	yu xi yu xi nai ruo he	3
虞舜不逢尧	yu shun bu feng yao	3
虫声新透绿窗纱	chong sheng xin tou lv chuang sha	2
虹收青嶂雨	hong shou qing zhang yu	2
虹残水照断桥梁	hong can shui zhao duan qiao liang	4
虹裳霞帔步摇冠	hong chang xia pei bu yao guan	3
虽一毫而莫取	sui yi hao er mo qu	3
虽一龙发机	sui yi long fa ji	2
虽世殊事异	sui shi shu shi yi	3
虽九死其犹未悔	sui jiu si qi you wei hui	2
虽体解吾犹未变兮	sui ti jie wu you wei bian xi	1
虽僻远其何伤	sui pi yuan qi he shang	3
虽千万人吾往矣	sui qian wan ren wu wang yi	11
虽善亦多事	sui shan yi duo shi	2
虽在缧绁之中	sui zai lei xie zhi zhong	2
虽天地之大	sui tian di zhi da	3
虽州里行乎哉	sui zhou li xing hu zai	3
虽执鞭之士	sui zhi bian zhi shi	4
虽投定远笔	sui tou ding yuan bi	2
虽断犹牵连	sui duan you qian lian	2
虽无丝竹管弦之盛	sui wu si zhu guan xian zhi sheng	3
虽无粮而乃足	sui wu liang er nai zu	2
虽有义台路寝	sui you yi tai lu qin	2
虽有千里之能	sui you qian li zhi neng	3
虽有数斗玉	sui you shu dou yu	2
虽未量岁功	sui wei liang sui gong	2
虽然在城市	sui ran zai cheng shi	8
虽疏食菜羹	sui shu shi cai geng	3
虽疏食菜羹瓜祭	sui shu shi cai geng gua ji	2
虽盗跖与伯夷	sui dao zhi yu bo yi	2
虽趣舍万殊	sui qu she wan shu	2
虽过失犹弗治	sui guo shi you fu zhi	2
虽鸡狗不得宁焉	sui ji gou bu de ning yan	2
蚂蚁缘槐夸大国	ma yi yuan huai kua da guo	5
蚍蜉撼大树	pi fu han da shu	8
蚍蜉撼树谈何易	pi fu han shu tan he yi	5
蚓无爪牙之利	yin wu zhao ya zhi li	3
蚕丛及鱼凫	can cong ji yu fu	2
蚕眠桑叶稀	can mian sang ye xi	3
蛟何为兮水裔	jiao he wei xi shui yi	2
蛟龙得雨鬐鬣动	jiao long de yu qi lie dong	2
蛮衣斑斓布	man yi ban lan bu	2
蛾儿雪柳黄金缕	e er xue liu huang jin lv	4
