# 青简领域词库：医学，由 qingjian-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
丙泊酚	bing bo fen	2
丙泊酚注射液	bing bo fen zhu she ye	5
丙烯酰胺	bing xi xian an	5
丙硫异烟胺	bing liu yi yan an	2
丙硫氧嘧啶	bing liu yang mi ding	4
丙硫氧嘧啶片	bing liu yang mi ding pian	4
丙磺舒	bing huang shu	1
丙种球蛋白	bing zhong qiu dan bai	2
丙类传染病	bing lei chuan ran bing	1
丙肝抗体	bing gan kang ti	9
丙胺卡因	bing an ka yin	1
丙谷胺	bing gu an	3
丙酮酸激酶缺乏症	bing tong suan ji mei que fa zheng	3
丙酯	bing zhi	28
丙酸倍氯米松	bing suan bei lv mi song	2
丙酸倍氯米松鼻喷雾剂	bing suan bei lv mi song bi pen wu ji	3
丙酸氟替卡松	bing suan fu ti ka song	3
丙酸氟替卡松气雾剂	bing suan fu ti ka song qi wu ji	2
丙酸氯倍他索	bing suan lv bei ta suo	3
丙酸氯倍他索乳膏	bing suan lv bei ta suo ru gao	3
丙酸睾丸素	bing suan gao wan su	2
丙酸血症	bing suan xue zheng	2
丛林斑疹伤寒	cong lin ban zhen shang han	5
丛集性头痛	cong ji xing tou tong	3
东方田鼠	dong fang tian shu	6
东方疖	dong fang jie	3
东方福尔灵	dong fang fu er ling	2
东茛菪碱	dong gen dang jian	3
东莨菪碱	dong lang dang jian	3
东风桔	dong feng ju	2
丝氨酸	si an suan	45
丝氨酸蛋白酶	si an suan dan bai mei	20
丝状疣	si zhuang you	2
丝瓜络	si gua luo	2
丝竹空	si zhu kong	1
丝竹空穴	si zhu kong xue	4
丝腺	si xian	3
丝萸养血益肾颗粒	si yu yang xue yi shen ke li	2
丝虫	si chong	14
丝虫病	si chong bing	14
丝裂原	si lie yuan	4
丝裂霉素	si lie mei su	8
丢了棒	diu le bang	1
两对半	liang dui ban	8
两性畸形	liang xing ji xing	7
两课	liang ke	8
两面针	liang mian zhen	15
严用和	yan yong he	1
严迪	yan di	4
个人识别	ge ren shi bie	12
个体发育	ge ti fa yu	6
个虫	ge chong	6
中冲	zhong chong	10
中冲穴	zhong chong xue	5
中医五官科学	zhong yi wu guan ke xue	3
中医伤科学	zhong yi shang ke xue	2
中医儿科学	zhong yi er ke xue	1
中医内科学	zhong yi nei ke xue	11
中医各家学说	zhong yi ge jia xue shuo	1
中医基础理论	zhong yi ji chu li lun	1
中医外科学	zhong yi wai ke xue	2
中医妇科学	zhong yi fu ke xue	6
中医学基础	zhong yi xue ji chu	4
中医心理学	zhong yi xin li xue	4
中医护理学	zhong yi hu li xue	1
中医护理技术	zhong yi hu li ji shu	5
中医杂志	zhong yi za zhi	5
中医正骨学	zhong yi zheng gu xue	2
中医男科学	zhong yi nan ke xue	4
中医眼科学	zhong yi yan ke xue	2
中医科	zhong yi ke	24
中医美容学	zhong yi mei rong xue	2
中医耳鼻咽喉科学	zhong yi er bi yan hou ke xue	1
中医药学	zhong yi yao xue	5
中医药学概论	zhong yi yao xue gai lun	2
中医药膳学	zhong yi yao shan xue	3
中医诊断	zhong yi zhen duan	8
中医诊断学	zhong yi zhen duan xue	3
中医针灸疗法	zhong yi zhen jiu liao fa	6
中医预防医学	zhong yi yu fang yi xue	2
中医骨伤科学	zhong yi gu shang ke xue	3
中华口腔医学杂志	zhong hua kou qiang yi xue za zhi	3
中华按蚊	zhong hua an wen	6
中华跌打丸	zhong hua die da wan	4
中华跌打酒	zhong hua die da jiu	2
中厚皮片	zhong hou pi pian	3
中和抗体	zhong he kang ti	8
中和汤	zhong he tang	3
中和试验	zhong he shi yan	5
中央成分	zhong yang cheng fen	2
中封	zhong feng	7
中封穴	zhong feng xue	3
中心卫生院	zhong xin wei sheng yuan	5
中心法则	zhong xin fa ze	4
中心静脉压	zhong xin jing mai ya	5
中心静脉导管	zhong xin jing mai dao guan	2
中性皮肤	zhong xing pi fu	6
中性粒细胞	zhong xing li xi bao	13
中性粒细胞减少	zhong xing li xi bao jian shao	6
中恶	zhong e	6
中斜角肌	zhong xie jiao ji	2
中暑痉挛	zhong shu jing luan	3
中暑衰竭	zhong shu shuai jie	4
中极穴	zhong ji xue	4
中枢兴奋药	zhong shu xing fen yao	6
中枢性眩晕	zhong shu xing xuan yun	3
中枢神经系统感染	zhong shu shen jing xi tong gan ran	1
中柱	zhong zhu	39
中毒性休克	zhong du xing xiu ke	4
中毒性休克综合征	zhong du xing xiu ke zong he zheng	4
中毒性巨结肠	zhong du xing ju jie chang	2
中毒性弱视	zhong du xing ruo shi	4
中毒性心肌炎	zhong du xing xin ji yan	1
