# 青简领域词库：医学，由 qingjian-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
象皮病	xiang pi bing	1
象皮肿	xiang pi zhong	5
豹纹状眼底	bao wen zhuang yan di	3
贝克痣	bei ke zhi	2
贝叶斯定理	bei ye si ding li	9
贝尼地平	bei ni di ping	2
贝时璋	bei shi zhang	19
贝母枇杷糖浆	bei mu pi pa tang jiang	3
贝母花	bei mu hua	3
贝羚胶囊	bei ling jiao nang	2
贝苗	bei miao	6
贝诺酯	bei nuo zhi	1
贝诺酯片	bei nuo zhi pian	2
贝那普利	bei na pu li	4
贝齿	bei chi	5
贞芪扶正胶囊	zhen qi fu zheng jiao nang	3
负荷超声心动图	fu he chao sheng xin dong tu	2
败酱草	bai jiang cao	6
质壁分离	zhi bi fen li	1
质子泵	zhi zi beng	5
质控	zhi kong	13
质膜	zhi mo	35
质谱仪	zhi pu yi	43
质谱法	zhi pu fa	37
质量性状	zhi liang xing zhuang	2
贪食	tan shi	32
贫血性心脏病	pin xue xing xin zang bing	5
贫血痣	pin xue zhi	2
贮积症	zhu ji zheng	5
贯通伤	guan tong shang	2
贯黄感冒颗粒	guan huang gan mao ke li	2
贴剂	tie ji	8
贴敷疗法	tie fu liao fa	7
贵要静脉	gui yao jing mai	3
费城染色体	fei cheng ran se ti	7
贾伯乐提督街	jia bo le ti du jie	13
资生丸	zi sheng wan	3
赖氨匹林	lai an pi lin	3
赖氨匹林肠溶胶囊	lai an pi lin chang rong jiao nang	2
赖氨葡锌片	lai an pu xin pian	3
赖氨酸	lai an suan	32
赖氨酸磷酸氢钙颗粒	lai an suan lin suan qing gai ke li	3
赖诺普利	lai nuo pu li	4
赖诺普利片	lai nuo pu li pian	2
赘生物	zhui sheng wu	13
赛庚啶	sai geng ding	6
赛胃安胶囊	sai wei an jiao nang	2
赤小豆	chi xiao dou	1
赤松德赞	chi song de zan	23
赤白肉际	chi bai rou ji	2
赤石脂	chi shi zhi	5
赤芍	chi shao	8
赤芍药	chi shao yao	4
赤芝	chi zhi	3
赤魟	chi hong	3
走马牙疳	zou ma ya gan	2
赵学敏	zhao xue min	3
赵继宗	zhao ji zong	6
起病	qi bing	11
超临界流体	chao lin jie liu ti	17
超分子	chao fen zi	32
超声内镜	chao sheng nei jing	7
超声医学	chao sheng yi xue	2
超声吸脂	chao sheng xi zhi	2
超声心动图	chao sheng xin dong tu	3
超声成像	chao sheng cheng xiang	1
超声波洁牙机	chao sheng bo jie ya ji	4
超声波疗法	chao sheng bo liao fa	1
超声疗法	chao sheng liao fa	3
超声诊断学	chao sheng zhen duan xue	4
超声造影	chao sheng zao ying	4
超声雾化	chao sheng wu hua	6
超声雾化器	chao sheng wu hua qi	2
超常期	chao chang qi	3
超微型浮游生物	chao wei xing fu you sheng wu	2
超微结构	chao wei jie gou	9
超急性排斥反应	chao ji xing pai chi fan ying	6
超抗原	chao kang yuan	3
超敏反应	chao min fan ying	10
超数排卵	chao shu pai luan	4
超极化	chao ji hua	10
超氧化物岐化酶	chao yang hua wu qi hua mei	4
超氧化物歧化酶	chao yang hua wu qi hua mei	2
超滑导丝	chao hua dao si	2
超滤	chao lv	8
超滤器	chao lv qi	2
超短波疗法	chao duan bo liao fa	2
超种	chao zhong	3
超稳定性	chao wen ding xing	5
超薄切片机	chao bo qie pian ji	1
超螺旋	chao luo xuan	9
超速离心机	chao su li xin ji	3
越鞠丸	yue ju wan	3
越鞠保和丸	yue ju bao he wan	2
趋化因子	qu hua yin zi	32
趋化性	qu hua xing	5
趋异	qu yi	3
足三里	zu san li	1
足临泣	zu lin qi	3
足五里穴	zu wu li xue	2
足光散	zu guang san	2
足光粉	zu guang fen	4
足关节	zu guan jie	1
足内翻	zu nei fan	3
足厥阴肝经	zu jue yin gan jing	6
足太阳膀胱经	zu tai yang pang guang jing	1
足太阴脾经	zu tai yin pi jing	6
足少阳胆经	zu shao yang dan jing	6
足少阴肾经	zu shao yin shen jing	7
足癣	zu xuan	8
足窍阴	zu qiao yin	3
足细胞	zu xi bao	5
足背动脉	zu bei dong mai	6
足舟骨	zu zhou gu	3
足菌肿	zu jun zhong	2
足跟痛	zu gen tong	2
足阳明胃经	zu yang ming wei jing	2
足骨	zu gu	5
趾疣	zhi you	2
趾骨骨折	zhi gu gu zhe	1
跌倒发作	die dao fa zuo	3
跌打万花油	die da wan hua you	5
跌打损伤	die da sun shang	16
跌打损伤丸	die da sun shang wan	2
跌打止痛液	die da zhi tong ye	2
跌打活血散	die da huo xue san	4
跌打生骨颗粒	die da sheng gu ke li	2
跌打红药片	die da hong yao pian	3
跌打药酒	die da yao jiu	4
跌打风湿药酒	die da feng shi yao jiu	2
跖屈	zhi qu	1
跖疣	zhi you	5
跖筋膜炎	zhi jin mo yan	4
跖趾	zhi zhi	1
跖趾关节	zhi zhi guan jie	1
跖趾关节脱位	zhi zhi guan jie tuo wei	3
跖骨痛	zhi gu tong	4
跖骨骨折	zhi gu gu zhe	4
跗跖	fu zhi	37
距骨	ju gu	46
距骨骨折	ju gu gu zhe	5
跟腱断裂	gen jian duan lie	10
跟腱炎	gen jian yan	2
跟骨	gen gu	26
跟骨骨刺	gen gu gu ci	6
跟骨骨折	gen gu gu zhe	1
跳痛	tiao tong	6
踝关节	huai guan jie	23
踝关节扭伤	huai guan jie niu shang	3
踝关节脱位	huai guan jie tuo wei	5
踝关节融合术	huai guan jie rong he shu	2
踝关节骨折	huai guan jie gu zhe	3
踝足矫形器	huai zu jiao xing qi	3
踝骨骨折	huai gu gu zhe	8
蹦蹦跳	beng beng tiao	7
蹼趾	pu zhi	1
躁狂	zao kuang	9
躁狂抑郁性精神病	zao kuang yi yu xing jing shen bing	2
躁狂症	zao kuang zheng	9
身体依赖性	shen ti yi lai xing	5
身体意象	shen ti yi xiang	13
身柱	shen zhu	4
身柱穴	shen zhu xue	3
身痛逐瘀汤	shen tong zhu yu tang	3
躯体化障碍	qu ti hua zhang ai	1
躯体变形障碍	qu ti bian xing zhang ai	4
躯体形式障碍	qu ti xing shi zhang ai	1
躯体效应	qu ti xiao ying	4
躯干肌	qu gan ji	3
躯干骨	qu gan gu	2
转位	zhuan wei	49
转化体	zhuan hua ti	6
转化基因	zhuan hua ji yin	3
转化生长因子	zhuan hua sheng zhang yin zi	2
转化糖	zhuan hua tang	4
转化糖注射液	zhuan hua tang zhu she ye	3
转化糖电解质注射液	zhuan hua tang dian jie zhi zhu she ye	2
转化酶	zhuan hua mei	10
转基因动物	zhuan ji yin dong wu	5
转基因植物	zhuan ji yin zhi wu	1
转座因子	zhuan zuo yin zi	2
转座子	zhuan zuo zi	7
转换区	zhuan huan qu	2
转换性障碍	zhuan huan xing zhang ai	5
转换率	zhuan huan lv	12
转染	zhuan ran	33
转移因子	zhuan yi yin zi	1
转移因子口服液	zhuan yi yin zi kou fu ye	3
转移因子口服溶液	zhuan yi yin zi kou fu rong ye	3
转移性腺癌	zhuan yi xing xian ai	1
转肽酶	zhuan tai mei	2
转谷氨酰胺酶	zhuan gu an xian an mei	1
转铁蛋白	zhuan tie dan bai	12
轮回选择	lun hui xuan ze	4
轮状病毒	lun zhuang bing du	7
轮状病毒抗原	lun zhuang bing du kang yuan	3
轮状病毒疫苗	lun zhuang bing du yi miao	2
软下疳	ruan xia gan	6
软产道异常	ruan chan dao yi chang	3
软材	ruan cai	1
软甲	ruan jia	7
软纤维瘤	ruan xian wei liu	3
软组织损伤	ruan zu zhi sun shang	8
软组织肉瘤	ruan zu zhi rou liu	4
软胶囊	ruan jiao nang	3
软胶囊剂	ruan jiao nang ji	5
软脑膜	ruan nao mo	17
软腐病	ruan fu bing	2
软膏剂	ruan gao ji	2
软骨发育不全	ruan gu fa yu bu quan	2
软骨炎	ruan gu yan	10
软骨瘤	ruan gu liu	6
软骨细胞	ruan gu xi bao	15
软骨肉瘤	ruan gu rou liu	1
软骨膜	ruan gu mo	7
轴位	zhou wei	6
轴突运输	zhou tu yun shu	1
轻度精神发育迟滞	qing du jing shen fa yu chi zhi	7
轻粉	qing fen	6
轻躁狂	qing zao kuang	1
载体效应	zai ti xiao ying	4
载玻片	zai bo pian	11
载脂蛋白	zai zhi dan bai	19
辅助生殖技术	fu zhu sheng zhi ji shu	7
辅肌动蛋白	fu ji dong dan bai	3
辐射性白内障	fu she xing bai nei zhang	2
辐射损伤	fu she sun shang	1
输卵管伞	shu luan guan san	5
输卵管卵巢脓肿	shu luan guan luan chao nong zhong	3
输卵管发育异常	shu luan guan fa yu yi chang	2
输卵管吻合术	shu luan guan wen he shu	5
输卵管囊肿	shu luan guan nang zhong	3
输卵管妊娠	shu luan guan ren shen	6
输卵管恶性肿瘤	shu luan guan e xing zhong liu	1
输卵管炎	shu luan guan yan	12
输卵管积水	shu luan guan ji shui	6
输卵管积脓	shu luan guan ji nong	3
输卵管粘连	shu luan guan zhan lian	7
输卵管结扎术	shu luan guan jie zha shu	6
输卵管结核	shu luan guan jie he	4
输卵管通水	shu luan guan tong shui	4
输卵管通液术	shu luan guan tong ye shu	4
输导组织	shu dao zu zhi	4
输尿管乙状结肠吻合术	shu niao guan yi zhuang jie chang wen he shu	2
输尿管切开取石术	shu niao guan qie kai qu shi shu	3
输尿管扩张	shu niao guan kuo zhang	5
输尿管损伤	shu niao guan sun shang	5
输尿管炎	shu niao guan yan	2
输尿管狭窄	shu niao guan xia zhai	1
输尿管畸形	shu niao guan ji xing	4
输尿管肿瘤	shu niao guan zhong liu	2
输尿管镜碎石术	shu niao guan jing sui shi shu	3
输液反应	shu ye fan ying	7
输液泵	shu ye beng	2
输精管吻合术	shu jing guan wen he shu	4
输精管复通术	shu jing guan fu tong shu	4
输精管炎	shu jing guan yan	4
输精管结扎术	shu jing guan jie zha shu	6
输精管缺如	shu jing guan que ru	1
输精管造影	shu jing guan zao ying	3
输血反应	shu xue fan ying	6
输血器	shu xue qi	6
辛伐他汀	xin fa ta ting	2
辛伐他汀片	xin fa ta ting pian	5
辛伐他汀胶囊	xin fa ta ting jiao nang	3
辛凉解表	xin liang jie biao	2
辛夷花	xin yi hua	2
辛夷鼻炎丸	xin yi bi yan wan	3
辛弗林	xin fu lin	4
辛温解表	xin wen jie biao	4
辛芳鼻炎胶囊	xin fang bi yan jiao nang	3
辣椒素	la jiao su	13
辨证论治	bian zheng lun zhi	8
边材	bian cai	7
边缘区	bian yuan qu	8
边缘型人格障碍	bian yuan xing ren ge zhang ai	3
边缘系统	bian yuan xi tong	9
边缘运动	bian yuan yun dong	4
辽宁成大	liao ning cheng da	7
达克宁	da ke ning	7
达卡巴嗪	da ka ba qin	3
达原饮	da yuan yin	3
达喜	da xi	17
达宁	da ning	38
达峰时间	da feng shi jian	1
达立通颗粒	da li tong ke li	3
达菲林	da fei lin	4
达那唑	da na zuo	7
达那唑胶囊	da na zuo jiao nang	2
过岗龙	guo gang long	5
过度疲劳	guo du pi lao	11
过敏体质	guo min ti zhi	2
过敏史	guo min shi	4
过敏性休克	guo min xing xiu ke	33
过敏性咳嗽	guo min xing ke sou	7
过敏性哮喘	guo min xing xiao chuan	1
过敏性疾病	guo min xing ji bing	6
过敏性皮疹	guo min xing pi zhen	7
过敏性紫癜	guo min xing zi dian	8
过敏性结肠炎	guo min xing jie chang yan	1
过敏性结膜炎	guo min xing jie mo yan	16
过敏性肺炎	guo min xing fei yan	4
过敏性腹泻	guo min xing fu xie	3
过敏性血管炎	guo min xing xue guan yan	1
过敏毒素	guo min du su	3
过敏科	guo min ke	5
过期产儿	guo qi chan er	2
过期妊娠	guo qi ren shen	2
过氧乙酸	guo yang yi suan	7
过氧乙酸溶液	guo yang yi suan rong ye	5
过氧化物酶	guo yang hua wu mei	27
过氧化苯酰	guo yang hua ben xian	3
过氧苯甲酰	guo yang ben jia xian	4
过渡带	guo du dai	24
过渡相	guo du xiang	1
过硼酸钠	guo peng suan na	1
过继免疫	guo ji mian yi	3
过继转移	guo ji zhuan yi	2
过饱和	guo bao he	34
迈之灵	mai zhi ling	4
迈之灵片	mai zhi ling pian	3
迎香	ying xiang	4
迎香穴	ying xiang xue	1
运动中枢	yun dong zhong shu	6
运动区	yun dong qu	10
运动单位	yun dong dan wei	3
运动处方	yun dong chu fang	7
运动失调	yun dong shi tiao	9
运动强度	yun dong qiang du	10
运动性失语	yun dong xing shi yu	1
运动生理学	yun dong sheng li xue	3
运动疗法	yun dong liao fa	4
运动知觉	yun dong zhi jue	1
运动神经元	yun dong shen jing yuan	17
运动神经元病	yun dong shen jing yuan bing	1
运动系统	yun dong xi tong	16
运动终板	yun dong zhong ban	2
运动觉	yun dong jue	3
运动记忆	yun dong ji yi	1
运动障碍	yun dong zhang ai	32
运铁蛋白	yun tie dan bai	14
近中	jin zhong	9
近交	jin jiao	41
近交系数	jin jiao xi shu	4
近亲系数	jin qin xi shu	4
近亲结婚	jin qin jie hun	12
近侧	jin ce	9
返魂草	fan hun cao	6
返魂草颗粒	fan hun cao ke li	2
还原固精丸	huan yuan gu jing wan	3
还原型谷胱甘肽	huan yuan xing gu guang gan tai	3
进动	jin dong	35
进化遗传学	jin hua yi chuan xue	2
进行性多灶性白质脑病	jin xing xing duo zao xing bai zhi nao bing	3
进行性指掌角皮症	jin xing xing zhi zhang jiao pi zheng	2
进行性核上性麻痹	jin xing xing he shang xing ma bi	1
进行性脂肪营养不良	jin xing xing zhi fang ying yang bu liang	2
进行性骨化性肌炎	jin xing xing gu hua xing ji yan	3
进食障碍	jin shi zhang ai	20
远中	yuan zhong	9
远程会诊	yuan cheng hui zhen	4
远程医学	yuan cheng yi xue	1
远缘杂种	yuan yuan za zhong	1
连合纤维	lian he xian wei	2
连接体	lian jie ti	1
连接蛋白	lian jie dan bai	4
连接酶	lian jie mei	14
连枷胸	lian jia xiong	2
连环蛋白	lian huan dan bai	2
连续切片	lian xu qie pian	3
连续变量	lian xu bian liang	4
连续培养	lian xu pei yang	2
连翘提取物	lian qiao ti qu wu	3
连翘败毒丸	lian qiao bai du wan	4
连翘败毒片	lian qiao bai du pian	2
连花清瘟胶囊	lian hua qing wen jiao nang	40
连锁不平衡	lian suo bu ping heng	1
连锁分析	lian suo fen xi	4
连锁图	lian suo tu	3
连锁基因	lian suo ji yin	1
连锁相	lian suo xiang	3
连锁群	lian suo qun	9
连锁遗传	lian suo yi chuan	4
迟发性运动障碍	chi fa xing yun dong zhang ai	7
述情障碍	shu qing zhang ai	19
迷走神经	mi zou shen jing	25
迷路炎	mi lu yan	1
追风药酒	zhui feng yao jiu	4
追风透骨丸	zhui feng tou gu wan	4
追风透骨片	zhui feng tou gu pian	3
退变性关节炎	tui bian xing guan jie yan	2
退嗽露	tui sou lu	2
退热贴	tui re tie	8
退行期	tui xing qi	2
退障眼膏	tui zhang yan gao	2
适合度	shi he du	7
适宜刺激	shi yi ci ji	2
适应证	shi ying zheng	9
适应障碍	shi ying zhang ai	16
逆传心包	ni chuan xin bao	3
逆行射精	ni xing she jing	2
逆行性牙髓炎	ni xing xing ya sui yan	2
逆行肾盂造影	ni xing shen yu zao ying	3
选择压力	xuan ze ya li	6
选择反应时	xuan ze fan ying shi	6
选择基因	xuan ze ji yin	2
选择强度	xuan ze qiang du	1
选择性培养基	xuan ze xing pei yang ji	2
选择性注意	xuan ze xing zhu yi	5
选择性缄默症	xuan ze xing jian mo zheng	16
选择指数	xuan ze zhi shu	6
选择染色	xuan ze ran se	2
选择毒性	xuan ze du xing	4
选择系数	xuan ze xi shu	2
选择蛋白	xuan ze dan bai	3
逍遥丸	xiao yao wan	7
逍遥丸浓缩丸	xiao yao wan nong suo wan	2
逍遥散	xiao yao san	6
透壁性心肌梗死	tou bi xing xin ji geng si	4
透明层	tou ming ceng	6
透明质酸	tou ming zhi suan	16
透明质酸酶	tou ming zhi suan mei	2
透明质酸钠凝胶	tou ming zhi suan na ning jiao	3
透明软骨	tou ming ruan gu	26
透析器	tou xi qi	9
透析液	tou xi ye	1
透皮贴剂	tou pi tie ji	5
透过性	tou guo xing	7
透骨草	tou gu cao	6
透骨香	tou gu xiang	4
递质	di zhi	3
通便消痤片	tong bian xiao cuo pian	3
通便灵	tong bian ling	4
通便灵胶囊	tong bian ling jiao nang	7
通天口服液	tong tian kou fu ye	6
通天穴	tong tian xue	3
通宣理肺丸	tong xuan li fei wan	6
通宣理肺片	tong xuan li fei pian	2
通心络胶囊	tong xin luo jiao nang	6
通痹胶囊	tong bi jiao nang	4
通窍救心油	tong qiao jiu xin you	2
通窍活血汤	tong qiao huo xue tang	2
通窍益心丸	tong qiao yi xin wan	2
通窍耳聋丸	tong qiao er long wan	3
通窍鼻炎片	tong qiao bi yan pian	3
通络下乳	tong luo xia ru	4
通络生骨胶囊	tong luo sheng gu jiao nang	2
通络祛痛膏	tong luo qu tong gao	4
通脉养心丸	tong mai yang xin wan	4
通脉胶囊	tong mai jiao nang	3
通脉降糖胶囊	tong mai jiang tang jiao nang	3
通脉降脂片	tong mai jiang zhi pian	2
通脉颗粒	tong mai ke li	3
通舒口爽胶囊	tong shu kou shuang jiao nang	5
通草	tong cao	11
通谷	tong gu	3
通透性	tong tou xing	34
通里	tong li	7
速克感冒片	su ke gan mao pian	3
速尿	su niao	7
速尿片	su niao pian	3
速感宁胶囊	su gan ning jiao nang	3
速效心痛滴丸	su xiao xin tong di wan	2
速效感冒胶囊	su xiao gan mao jiao nang	6
速效救心丸	su xiao jiu xin wan	1
速效止泻胶囊	su xiao zhi xie jiao nang	4
速溶阿胶颗粒	su rong e jiao ke li	3
造口	zao kou	42
造口术	zao kou shu	10
造影剂	zao ying ji	16
造影导管	zao ying dao guan	4
造影术	zao ying shu	1
造血器官	zao xue qi guan	9
造血干细胞	zao xue gan xi bao	38
造血祖细胞	zao xue zu xi bao	2
造血系统	zao xue xi tong	3
造釉细胞瘤	zao you xi bao liu	2
逻辑记忆	luo ji ji yi	4
逼尿肌	bi niao ji	4
遗传与优生	yi chuan yu you sheng	4
遗传印记	yi chuan yin ji	2
遗传咨询	yi chuan zi xun	6
遗传图	yi chuan tu	1
遗传密码	yi chuan mi ma	15
遗传异质性	yi chuan yi zhi xing	4
遗传性共济失调	yi chuan xing gong ji shi tiao	6
遗传性小脑性共济失调	yi chuan xing xiao nao xing gong ji shi tiao	3
遗传性疾病	yi chuan xing ji bing	30
遗传性痉挛性截瘫	yi chuan xing jing luan xing jie tan	4
遗传性肾炎	yi chuan xing shen yan	4
遗传性血管性水肿	yi chuan xing xue guan xing shui zhong	1
遗传标记	yi chuan biao ji	17
遗传流行病学	yi chuan liu xing bing xue	1
遗传漂变	yi chuan piao bian	9
遗传物质	yi chuan wu zhi	28
遗传疾病	yi chuan ji bing	47
遗传背景	yi chuan bei jing	10
遗传药理学	yi chuan yao li xue	1
遗传距离	yi chuan ju li	1
遗尿停胶囊	yi niao ting jiao nang	2
遗尿病	yi niao bing	2
遗忘症	yi wang zheng	1
遗忘综合征	yi wang zong he zheng	4
遥测心电图	yao ce xin dian tu	2
避孕器	bi yun qi	17
邓小平理论概论	deng xiao ping li lun gai lun	3
邓铁涛	deng tie tao	6
邝安堃	kuang an kun	2
那他霉素	na ta mei su	3
那可丁	na ke ding	8
那如三味丸	na ru san wei wan	3
那敏伪麻胶囊	na min wei ma jiao nang	4
那格列奈	na ge lie nai	4
那格列奈片	na ge lie nai pian	2
那氟沙星	na fu sha xing	5
邪正	xie zheng	9
邪气盛则实	xie qi sheng ze shi	3
邬维庸	wu wei yong	3
邹国英	zou guo ying	2
邻氨基苯甲酸	lin an ji ben jia suan	2
郁李仁	yu li ren	5
郁滞	yu zhi	2
郁病	yu bing	4
郁积性皮炎	yu ji xing pi yan	3
郁证	yu zheng	4
郁金	yu jin	35
郁金银屑片	yu jin yin xie pian	5
郄穴	qie xue	3
郄门	qie men	3
郑夏恩	zheng xia en	1
郑怀贤	zheng huai xian	1
郑曼青	zheng man qing	5
郑维健	zheng wei jian	3
部分冠	bu fen guan	1
都梁滴丸	du liang di wan	2
都梁软胶囊	du liang ruan jiao nang	3
都气丸	du qi wan	3
酊剂	ding ji	12
配伍禁忌	pei wu jin ji	1
配子体	pei zi ti	14
酒友	jiu you	20
酒渣鼻	jiu zha bi	1
酒石	jiu shi	7
酒石酸吉他霉素	jiu shi suan ji ta mei su	3
酒石酸唑吡坦片	jiu shi suan zuo bi tan pian	3
酒石酸托特罗定	jiu shi suan tuo te luo ding	2
酒石酸溴莫尼定滴眼液	jiu shi suan xiu mo ni ding di yan ye	2
酒石酸美托洛尔	jiu shi suan mei tuo luo er	2
酒石酸美托洛尔片	jiu shi suan mei tuo luo er pian	2
酒石酸锑钾	jiu shi suan ti jia	16
酒石酸长春瑞滨	jiu shi suan chang chun rui bin	1
酒窝成形术	jiu wo cheng xing shu	4
酒精中毒	jiu jing zhong du	29
酒精中毒性脑病	jiu jing zhong du xing nao bing	5
酒精性肝损坏	jiu jing xing gan sun huai	3
酒精性肝炎	jiu jing xing gan yan	4
酒精性肝硬化	jiu jing xing gan ying hua	1
酒精性脂肪肝	jiu jing xing zhi fang gan	5
酒精擦浴	jiu jing ca yu	7
酚中毒	fen zhong du	1
酚咖麻敏胶囊	fen ka ma min jiao nang	5
酚妥拉明	fen tuo la ming	4
酚氨咖敏片	fen an ka min pian	2
酚磺乙胺注射液	fen huang yi an zhu she ye	3
酚苄明	fen bian ming	3
酚酞	fen tai	4
酚酞片	fen tai pian	5
酚醛树脂	fen quan shu zhi	16
酚麻美敏片	fen ma mei min pian	5
酞丁安乳膏	tai ding an ru gao	3
酪氨酸血症	lao an suan xue zheng	1
酪氨酸酶	lao an suan mei	3
酪胺	lao an	20
酪蛋白	lao dan bai	14
酪酸梭菌	lao suan suo jun	2
酪酸梭菌活菌胶囊	lao suan suo jun huo jun jiao nang	3
酪醇	lao chun	6
酮康他索乳膏	tong kang ta suo ru gao	2
酮康唑	tong kang zuo	5
酮康唑乳膏	tong kang zuo ru gao	3
酮康唑洗剂	tong kang zuo xi ji	4
酮康唑片	tong kang zuo pian	2
酮康唑胶囊	tong kang zuo jiao nang	2
酮替芬	tong ti fen	4
酮洛芬	tong luo fen	4
酮洛芬搽剂	tong luo fen cha ji	2
酮症	tong zheng	40
酮酸	tong suan	42
酯酶	zhi mei	23
酰胺键	xian an jian	4
酵解	jiao jie	23
酶切	mei qie	3
酶原	mei yuan	11
酶联免疫吸附测定	mei lian mian yi xi fu ce ding	2
酶联免疫吸附试验	mei lian mian yi xi fu shi yan	1
酸中毒	suan zhong du	29
酸性磷酸酶	suan xing lin suan mei	4
酸性蛋白酶	suan xing dan bai mei	2
酸枣仁汤	suan zao ren tang	6
酸碱度	suan jian du	16
酸败	suan bai	4
醋氮酰胺	cu dan xian an	2
醋氯芬酸	cu lv fen suan	2
醋氯芬酸肠溶片	cu lv fen suan chang rong pian	2
醋甲唑胺	cu jia zuo an	3
醋甲唑胺片	cu jia zuo an pian	2
醋硝香豆素	cu xiao xiang dou su	2
醋碘苯酸钠	cu dian ben suan na	3
醋酸亮丙瑞林	cu suan liang bing rui lin	3
醋酸倍他米松搽剂	cu suan bei ta mi song cha ji	2
醋酸可的松	cu suan ke di song	2
醋酸可的松滴眼液	cu suan ke di song di yan ye	2
醋酸地塞米松	cu suan di sai mi song	5
醋酸地塞米松软膏	cu suan di sai mi song ruan gao	2
醋酸曲安奈德	cu suan qu an nai de	3
醋酸曲安奈德注射液	cu suan qu an nai de zhu she ye	2
醋酸曲普瑞林	cu suan qu pu rui lin	1
醋酸氟轻松	cu suan fu qing song	2
醋酸氟轻松乳膏	cu suan fu qing song ru gao	2
醋酸氢化可的松	cu suan qing hua ke di song	4
醋酸氯地孕酮	cu suan lv di yun tong	2
醋酸泼尼松	cu suan po ni song	6
醋酸泼尼松片	cu suan po ni song pian	4
醋酸泼尼松龙	cu suan po ni song long	1
醋酸甲羟孕酮	cu suan jia qiang yun tong	5
醋酸甲羟孕酮片	cu suan jia qiang yun tong pian	2
醋酸白试验	cu suan bai shi yan	2
醋酸纤维素	cu suan xian wei su	5
醋酸钙颗粒	cu suan gai ke li	2
醋酸铅	cu suan qian	2
醑剂	xu ji	1
醒脑再造胶囊	xing nao zai zao jiao nang	3
醒脑安神胶囊	xing nao an shen jiao nang	2
醒脑静	xing nao jing	1
醒脑静注射液	xing nao jing zhu she ye	6
醒脾开胃颗粒	xing pi kai wei ke li	6
醛固酮	quan gu tong	45
醛缩酶	quan suo mei	2
醽醁	ling lu	2
采血针	cai xue zhen	1
釉质发育不全	you zhi fa yu bu quan	2
释放因子	shi fang yin zi	1
释放度	shi fang du	5
里急后重	li ji hou zhong	7
重吸收	zhong xi shou	11
重唇	zhong chun	8
重复尿道	chong fu niao dao	2
重复感染	chong fu gan ran	8
重复肾	chong fu shen	6
重大传染病疫情	zhong da chuan ran bing yi qing	10
重度精神发育迟滞	zhong du jing shen fa yu chi zhi	6
重感灵片	zhong gan ling pian	3
重接	chong jie	7
重楼	chong lou	16
重氮化	chong dan hua	22
重瓣胃	zhong ban wei	1
重症联合免疫缺陷	zhong zheng lian he mian yi que xian	4
重症肌无力	zhong zheng ji wu li	9
重睑	chong jian	7
重睑成形术	chong jian cheng xing shu	4
重睑术	chong jian shu	7
重组人生长激素	chong zu ren sheng zhang ji su	1
重组人胰岛素	chong zu ren yi dao su	6
重组体	chong zu ti	4
重组修复	chong zu xiu fu	1
重组值	chong zu zhi	2
重组子	chong zu zi	1
重组率	chong zu lv	3
重组质粒	chong zu zhi li	4
重结晶	chong jie jing	29
重铬酸盐	zhong ge suan yan	4
重链	zhong lian	35
野兔热	ye tu re	6
野决明	ye jue ming	25
野口英世	ye kou ying shi	3
野战外科学	ye zhan wai ke xue	1
野木瓜片	ye mu gua pian	3
野生型	ye sheng xing	35
野生型基因	ye sheng xing ji yin	3
野百合碱	ye bai he jian	2
野菊花栓	ye ju hua shuan	2
野豌豆	ye wan dou	44
野颠茄	ye dian qie	3
野马追	ye ma zhui	4
量反应	liang fan ying	3
金世力德	jin shi li de	2
金丝桃苷	jin si tao gan	3
金乌骨通胶囊	jin wu gu tong jiao nang	4
金佛止痛丸	jin fo zhi tong wan	4
金刚乙胺	jin gang yi an	2
金刚烷胺	jin gang wan an	5
金刚胶囊	jin gang jiao nang	3
金刚藤胶囊	jin gang teng jiao nang	3
金刚藤软胶囊	jin gang teng ruan jiao nang	2
金刺参九正合剂	jin ci can jiu zheng he ji	3
金匮肾气丸	jin kui shen qi wan	6
金匮要略	jin kui yao lve	12
金喉健喷雾剂	jin hou jian pen wu ji	3
金嗓子喉宝	jin sang zi hou bao	7
金嗓子喉片	jin sang zi hou pian	5
金嗓散结丸	jin sang san jie wan	2
金复康口服液	jin fu kang kou fu ye	2
金奥康	jin ao kang	3
金属支架	jin shu zhi jia	9
金属烟热	jin shu yan re	3
金属络合剂	jin shu luo he ji	1
金属酶	jin shu mei	1
金属陶瓷	jin shu tao ci	2
金振口服液	jin zhen kou fu ye	3
金日牌西洋参含片	jin ri pai xi yang shen han pian	2
金明渊	jin ming yuan	2
金果榄	jin guo lan	2
金栀洁龈含漱液	jin zhi jie yin han shu ye	2
金梅清暑颗粒	jin mei qing shu ke li	3
金樱	jin ying	4
金樱子	jin ying zi	2
金樱根	jin ying gen	5
金樱首乌汁	jin ying shou wu zhi	5
金橘叶	jin ju ye	2
金水宝片	jin shui bao pian	4
金水宝胶囊	jin shui bao jiao nang	5
金泽冠心胶囊	jin ze guan xin jiao nang	3
金津	jin jin	38
金牛眼药	jin niu yan yao	2
金盏银盘	jin zhan yin pan	2
金石斛	jin shi hu	20
金线莲	jin xian lian	6
金缨子	jin ying zi	3
金羚感冒片	jin ling gan mao pian	3
金胃泰胶囊	jin wei tai jiao nang	2
金芪降糖胶囊	jin qi jiang tang jiao nang	3
