# 青简领域词库：IT 与计算机，由 qingjian-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
任务终止	ren wu zhong zhi	2
任务计划	ren wu ji hua	36
任务调度	ren wu diao du	10
任务调度程序	ren wu diao du cheng xu	7
任务迁移	ren wu qian yi	9
任务队列	ren wu dui lie	2
任务集	ren wu ji	2
任意多边形	ren yi duo bian xing	1
仿函数	fang han shu	12
仿射变换	fang she bian huan	6
仿微信	fang wei xin	11
仿新浪微博	fang xin lang wei bo	8
仿真器	fang zhen qi	23
仿真程序	fang zhen cheng xu	2
仿真终端	fang zhen zhong duan	7
企业信息化	qi ye xin xi hua	1
企业信息安全	qi ye xin xi an quan	7
企业地图开发	qi ye di tu kai fa	5
企业培训	qi ye pei xun	14
企业安全	qi ye an quan	7
企业客户	qi ye ke hu	19
企业对企业	qi ye dui qi ye	3
企业应用	qi ye ying yong	14
企业开发	qi ye kai fa	12
企业服务	qi ye fu wu	17
企业架构	qi ye jia gou	4
企业模型	qi ye mo xing	6
企业流程管理	qi ye liu cheng guan li	1
企业级	qi ye ji	43
企业级应用	qi ye ji ying yong	1
企业级框架	qi ye ji kuang jia	6
企业网	qi ye wang	2
企业证书	qi ye zheng shu	10
企业账号	qi ye zhang hao	10
企业资源规划	qi ye zi yuan gui hua	10
企业邮箱	qi ye you xiang	8
企业项目	qi ye xiang mu	4
休眠方式	xiu mian fang shi	7
休眠状态	xiu mian zhuang tai	48
休眠队列	xiu mian dui lie	6
休闲游戏	xiu xian you xi	37
众包	zhong bao	35
优云软件	you yun ruan jian	6
优先数	you xian shu	9
优先权队列	you xian quan dui lie	8
优先级中断	you xian ji zhong duan	8
优先级反转	you xian ji fan zhuan	2
优先级控制	you xian ji kong zhi	9
优先级表	you xian ji biao	8
优先级调度	you xian ji diao du	2
优先级调整	you xian ji tiao zheng	8
优先级选择	you xian ji xuan ze	1
优先级队列	you xian ji dui lie	1
优先队列	you xian dui lie	25
优化大师	you hua da shi	10
优化技巧	you hua ji qiao	11
优化操作	you hua cao zuo	1
优化理论	you hua li lun	2
优化算法	you hua suan fa	21
优秀程序员	you xiu cheng xu yuan	11
会场安排问题	hui chang an pai wen ti	8
会声会影	hui sheng hui ying	42
会议系统	hui yi xi tong	8
会议连接	hui yi lian jie	5
