# 青简领域词库：IT 与计算机，由 qingjian-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
超级计算	chao ji ji suan	31
超级链接	chao ji lian jie	12
超线程	chao xian cheng	6
超线程技术	chao xian cheng ji shu	1
超链接	chao lian jie	18
超长指令字	chao chang zhi ling zi	1
超长文本	chao chang wen ben	6
趋势科技	qu shi ke ji	6
趣味数学	qu wei shu xue	4
趣味程序	qu wei cheng xu	5
趣味编程	qu wei bian cheng	6
跑酷游戏	pao ku you xi	13
跑马灯效果	pao ma deng xiao guo	3
距离向量	ju li xiang liang	1
距离度量	ju li du liang	7
距离计算	ju li ji suan	31
跟踪球	gen zong qiu	7
跟踪算法	gen zong suan fa	2
跟踪误差	gen zong wu cha	6
跟踪路由	gen zong lu you	1
跨列合并	kua lie he bing	6
跨域	kua yu	42
跨域访问	kua yu fang wen	12
跨域请求	kua yu qing qiu	12
跨域问题	kua yu wen ti	11
跨平台开发	kua ping tai kai fa	6
跨接	kua jie	3
跨浏览器	kua liu lan qi	5
跨线程	kua xian cheng	11
跨行合并	kua hang he bing	6
跨语言	kua yu yan	20
跨语言调用	kua yu yan diao yong	8
跨进程	kua jin cheng	13
跨进程通信	kua jin cheng tong xin	11
路径分析	lu jing fen xi	2
路径压缩	lu jing ya suo	12
路径名	lu jing ming	3
路径命令	lu jing ming ling	8
路径和	lu jing he	26
路径搜索	lu jing sou suo	3
路径条件	lu jing tiao jian	6
路径表达式	lu jing biao da shi	9
路径规划	lu jing gui hua	2
路径记录	lu jing ji lu	9
路由交换	lu you jiao huan	2
路由协议	lu you xie yi	9
路由器开发	lu you qi kai fa	5
路由器配置	lu you qi pei zhi	3
路由表	lu you biao	22
路由选择	lu you xuan ze	2
路由选择协议	lu you xuan ze xie yi	10
路由选择算法	lu you xuan ze suan fa	9
路由配置	lu you pei zhi	11
跳出循环	tiao chu xun huan	1
跳台阶	tiao tai jie	2
跳跃表	tiao yue biao	10
跳转页面	tiao zhuan ye mian	2
身份认证	shen fen ren zheng	45
身份证校验	shen fen zheng jiao yan	8
身份证识别	shen fen zheng shi bie	2
身份证验证	shen fen zheng yan zheng	5
车牌识别	che pai shi bie	5
车联网	che lian wang	18
车辆违章查询	che liang wei zhang cha xun	6
轨迹曲线	gui ji qu xian	1
轨迹模型	gui ji mo xing	1
轨迹颜色	gui ji yan se	5
转义	zhuan yi	24
转义字符	zhuan yi zi fu	4
转义序列	zhuan yi xu lie	22
转义符	zhuan yi fu	13
转入转出	zhuan ru zhuan chu	4
转发器	zhuan fa qi	21
转向语句	zhuan xiang yu ju	8
转场动画	zhuan chang dong hua	2
转屏	zhuan ping	10
转换为主机名	zhuan huan wei zhu ji ming	6
转换函数	zhuan huan han shu	10
转换方法	zhuan huan fang fa	4
转换框架	zhuan huan kuang jia	6
转换流	zhuan huan liu	12
转接板	zhuan jie ban	5
转接线	zhuan jie xian	18
转移指令	zhuan yi zhi ling	1
转移目标地址	zhuan yi mu biao di zhi	5
转移预测	zhuan yi yu ce	1
转置	zhuan zhi	34
转载类	zhuan zai lei	5
轮廓提取	lun kuo ti qu	9
轮廓检测	lun kuo jian ce	10
轮廓生成	lun kuo sheng cheng	5
轮廓线	lun kuo xian	13
轮廓识别	lun kuo shi bie	5
轮廓跟踪	lun kuo gen zong	7
轮廓预测	lun kuo yu ce	5
轮播图	lun bo tu	11
轮转法调度	lun zhuan fa diao du	7
软中断	ruan zhong duan	1
软中断信号	ruan zhong duan xin hao	9
软中断机制	ruan zhong duan ji zhi	8
软件下载	ruan jian xia zai	35
软件中断	ruan jian zhong duan	1
软件主体	ruan jian zhu ti	5
软件产品	ruan jian chan pin	35
软件体系结构	ruan jian ti xi jie gou	10
软件作品	ruan jian zuo pin	8
软件使用	ruan jian shi yong	25
软件使用教程	ruan jian shi yong jiao cheng	1
软件保护	ruan jian bao hu	3
软件分享	ruan jian fen xiang	6
软件创业	ruan jian chuang ye	7
软件加密	ruan jian jia mi	3
软件区	ruan jian qu	6
软件单元	ruan jian dan yuan	8
软件发布	ruan jian fa bu	7
软件可移植性	ruan jian ke yi zhi xing	6
软件可维护性	ruan jian ke wei hu xing	7
软件可靠性	ruan jian ke kao xing	1
软件基础	ruan jian ji chu	10
软件复用	ruan jian fu yong	4
软件外包	ruan jian wai bao	11
软件失效	ruan jian shi xiao	1
软件安全	ruan jian an quan	2
软件安全性	ruan jian an quan xing	8
软件安装	ruan jian an zhuang	17
软件安装配置	ruan jian an zhuang pei zhi	6
软件定义网络	ruan jian ding yi wang luo	5
软件工具	ruan jian gong ju	13
软件工程思想	ruan jian gong cheng si xiang	8
软件工程环境	ruan jian gong cheng huan jing	6
软件工程类	ruan jian gong cheng lei	2
软件常识	ruan jian chang shi	5
软件平台	ruan jian ping tai	24
软件应用	ruan jian ying yong	11
软件开发周期	ruan jian kai fa zhou qi	10
软件开发培训	ruan jian kai fa pei xun	6
软件开发工具	ruan jian kai fa gong ju	33
软件开发库	ruan jian kai fa ku	4
软件开发手册	ruan jian kai fa shou ce	5
软件开发方法	ruan jian kai fa fang fa	2
软件开发模型	ruan jian kai fa mo xing	1
软件开发流程	ruan jian kai fa liu cheng	10
软件开发环境	ruan jian kai fa huan jing	4
软件开发管理	ruan jian kai fa guan li	9
软件开发类	ruan jian kai fa lei	7
软件开发计划	ruan jian kai fa ji hua	7
软件开发过程	ruan jian kai fa guo cheng	9
软件思想	ruan jian si xiang	7
软件性能	ruan jian xing neng	1
软件总线	ruan jian zong xian	7
软件打包	ruan jian da bao	3
软件推荐	ruan jian tui jian	17
软件操作	ruan jian cao zuo	1
软件故障	ruan jian gu zhang	4
软件教程	ruan jian jiao cheng	1
软件数据库	ruan jian shu ju ku	7
软件文档	ruan jian wen dang	12
软件方法学	ruan jian fang fa xue	1
软件构件	ruan jian gou jian	3
软件构建	ruan jian gou jian	4
软件构架	ruan jian gou jia	9
软件架构	ruan jian jia gou	13
软件架构师	ruan jian jia gou shi	3
软件架构设计	ruan jian jia gou she ji	1
软件框架	ruan jian kuang jia	9
软件水平考试	ruan jian shui ping kao shi	5
软件测试	ruan jian ce shi	25
软件测试工具	ruan jian ce shi gong ju	8
软件测试理论	ruan jian ce shi li lun	7
软件测试管理	ruan jian ce shi guan li	8
软件源	ruan jian yuan	7
软件版本	ruan jian ban ben	21
软件版权	ruan jian ban quan	8
软件环境配置	ruan jian huan jing pei zhi	5
软件生产率	ruan jian sheng chan lv	8
软件生存周期	ruan jian sheng cun zhou qi	9
软件研发	ruan jian yan fa	2
软件研发过程	ruan jian yan fa guo cheng	8
软件破解	ruan jian po jie	4
软件管理	ruan jian guan li	3
软件类	ruan jian lei	2
软件系统	ruan jian xi tong	44
软件结构	ruan jian jie gou	11
软件维护	ruan jian wei hu	2
软件编程	ruan jian bian cheng	4
软件缺陷	ruan jian que xian	6
软件获取	ruan jian huo qu	2
软件训练营	ruan jian xun lian ying	4
软件设置	ruan jian she zhi	5
软件设计	ruan jian she ji	27
软件设计师	ruan jian she ji shi	5
软件设计模式	ruan jian she ji mo shi	4
软件评测	ruan jian ping ce	1
软件质量	ruan jian zhi liang	13
软件质量保证	ruan jian zhi liang bao zheng	1
软件资源	ruan jian zi yuan	2
软件过程	ruan jian guo cheng	11
软件逆向	ruan jian ni xiang	7
软件配置	ruan jian pei zhi	1
软件配置管理	ruan jian pei zhi guan li	10
软件错误	ruan jian cuo wu	4
软件陷阱	ruan jian xian jing	5
软件项目管理	ruan jian xiang mu guan li	11
软件风险	ruan jian feng xian	6
软件验收	ruan jian yan shou	7
软工	ruan gong	8
软工学习	ruan gong xue xi	5
软工文档	ruan gong wen dang	8
软引用	ruan yin yong	2
软技能	ruan ji neng	3
软故障	ruan gu zhang	6
软盘驱动器	ruan pan qu dong qi	13
软计算	ruan ji suan	3
软连接	ruan lian jie	13
软链接	ruan lian jie	14
软键盘	ruan jian pan	2
轻开平台	qing kai ping tai	9
轻量级应用	qing liang ji ying yong	2
载入图片	zai ru tu pian	10
载入材质	zai ru cai zhi	6
载波侦听	zai bo zhen ting	3
辅助任务	fu zhu ren wu	15
辅助函数	fu zhu han shu	9
辅助副本	fu zhu fu ben	6
辅助存储器	fu zhu cun chu qi	8
辅助开发工具	fu zhu kai fa gong ju	8
辅助段	fu zhu duan	1
辅助知识	fu zhu zhi shi	6
辅助索引	fu zhu suo yin	10
辅助集	fu zhu ji	6
辐射度方法	fu she du fang fa	5
输入优先级	shu ru you xian ji	5
输入依赖	shu ru yi lai	1
输入子系统	shu ru zi xi tong	10
输入带	shu ru dai	9
输入文本类型	shu ru wen ben lei xing	6
输入校验	shu ru jiao yan	10
输入框	shu ru kuang	29
输入模式	shu ru mo shi	6
输入流	shu ru liu	5
输入特性	shu ru te xing	1
输入符号	shu ru fu hao	6
输入缓冲区	shu ru huan chong qu	2
输入脉冲	shu ru mai chong	3
输入规模	shu ru gui mo	1
输入设备	shu ru she bei	16
输入输出函数	shu ru shu chu han shu	1
输入输出接口	shu ru shu chu jie kou	9
输入输出流	shu ru shu chu liu	13
输入输出管理	shu ru shu chu guan li	7
输入输出训练	shu ru shu chu xun lian	5
输入输出设备	shu ru shu chu she bei	11
输入输出队列	shu ru shu chu dui lie	7
输入进程	shu ru jin cheng	9
输入速率	shu ru su lv	7
输入阻抗	shu ru zu kang	3
输入验证	shu ru yan zheng	2
输出优先级	shu chu you xian ji	11
输出依赖	shu chu yi lai	8
输出带	shu chu dai	10
输出提交	shu chu ti jiao	6
输出断言	shu chu duan yan	5
输出格式	shu chu ge shi	13
输出模式	shu chu mo shi	5
输出流	shu chu liu	6
输出特性	shu chu te xing	3
输出脉冲	shu chu mai chong	2
输出设备	shu chu she bei	13
输出进程	shu chu jin cheng	10
输出重定向	shu chu chong ding xiang	2
输出阻抗	shu chu zu kang	5
辗转相除	zhan zhuan xiang chu	1
辗转相除法	zhan zhuan xiang chu fa	3
边写边读	bian xie bian du	5
边双连通分量	bian shuang lian tong fen liang	9
边沿触发	bian yan chu fa	11
边界像素	bian jie xiang su	9
边界宽度	bian jie kuan du	1
边界扫描	bian jie sao miao	7
边界检测	bian jie jian ce	1
边界细节	bian jie xi jie	6
边界网关	bian jie wang guan	5
边界网关协议	bian jie wang guan xie yi	8
边界表示	bian jie biao shi	7
边界跟踪	bian jie gen zong	6
边界路由器	bian jie lu you qi	9
边界错误	bian jie cuo wu	7
边缘像素	bian yuan xiang su	10
边缘分割	bian yuan fen ge	6
边缘匹配	bian yuan pi pei	6
边缘图像	bian yuan tu xiang	10
边缘增强	bian yuan zeng qiang	9
边缘提取	bian yuan ti qu	10
边缘检测	bian yuan jian ce	7
边缘测试	bian yuan ce shi	5
边缘算子	bian yuan suan zi	8
边缘调整	bian yuan tiao zheng	7
边缘连接	bian yuan lian jie	6
边覆盖	bian fu gai	1
边距	bian ju	13
迁移学习	qian yi xue xi	9
过冲	guo chong	9
过拟合	guo ni he	26
过期数据	guo qi shu ju	11
过河问题	guo he wen ti	9
过渡动画	guo du dong hua	6
过渡效果	guo du xiao guo	2
过滤特殊字符	guo lv te shu zi fu	9
过程分享	guo cheng fen xiang	1
过程分析	guo cheng fen xi	7
过程同步	guo cheng tong bu	7
过程改进	guo cheng gai jin	6
过程数据	guo cheng shu ju	9
过程模型	guo cheng mo xing	1
过程语义	guo cheng yu yi	5
过程语言	guo cheng yu yan	10
过程逻辑	guo cheng luo ji	1
运动估计	yun dong gu ji	11
运动分析	yun dong fen xi	2
运动向量	yun dong xiang liang	1
运动图像	yun dong tu xiang	1
运动图像压缩	yun dong tu xiang ya suo	7
运动捕捉	yun dong bu zhuo	2
运动控制器	yun dong kong zhi qi	9
运动检测	yun dong jian ce	7
运动目标检测	yun dong mu biao jian ce	9
运动补偿	yun dong bu chang	8
运动跟踪	yun dong gen zong	3
运动重建	yun dong chong jian	6
运动预测	yun dong yu ce	1
运放	yun fang	4
运算器	yun suan qi	11
运算寄存器	yun suan ji cun qi	5
运算放大器	yun suan fang da qi	36
运算符优先级	yun suan fu you xian ji	1
运算符重载	yun suan fu chong zai	5
运算速度	yun suan su du	24
运维基础	yun wei ji chu	6
运维工具	yun wei gong ju	9
运维工程	yun wei gong cheng	5
运维技术	yun wei ji shu	8
运维架构	yun wei jia gou	6
运维监控	yun wei jian kong	9
运维管理	yun wei guan li	10
运维经验	yun wei jing yan	9
运维自动化	yun wei zi dong hua	1
运行剖面	yun xing pou mian	4
运行可行性	yun xing ke xing xing	4
运行可靠性	yun xing ke kao xing	3
运行多态	yun xing duo tai	6
运行库	yun xing ku	5
运行循环	yun xing xun huan	1
运行报错	yun xing bao cuo	11
运行方式	yun xing fang shi	27
运行日志	yun xing ri zhi	11
运行时库	yun xing shi ku	7
运行时异常	yun xing shi yi chang	13
运行时机制	yun xing shi ji zhi	10
运行时权限	yun xing shi quan xian	11
运行时诊断	yun xing shi zhen duan	5
运行时错误	yun xing shi cuo wu	1
运行机制	yun xing ji zhi	23
运行模式	yun xing mo shi	33
运行测试	yun xing ce shi	13
运行环境	yun xing huan jing	22
运行级别	yun xing ji bie	7
运行错误	yun xing cuo wu	2
运行问题	yun xing wen ti	10
运输层	yun shu ceng	12
近似匹配	jin si pi pei	2
近似算法	jin si suan fa	7
近线	jin xian	8
返回函数	fan hui han shu	1
返回恢复	fan hui hui fu	5
返回按钮	fan hui an niu	13
返回结果	fan hui jie guo	13
返回路径	fan hui lu jing	2
返回键监听	fan hui jian jian ting	7
返回顶部	fan hui ding bu	4
进制转化	jin zhi zhuan hua	9
进制转换	jin zhi zhuan huan	1
进制问题	jin zhi wen ti	7
进化优化	jin hua you hua	1
进化发展	jin hua fa zhan	4
进化机制	jin hua ji zhi	4
进化程序	jin hua cheng xu	6
进化策略	jin hua ce lve	2
进化计算	jin hua ji suan	9
进栈	jin zhan	14
进程上下文	jin cheng shang xia wen	4
进程互斥	jin cheng hu chi	10
进程优先级	jin cheng you xian ji	1
进程保护	jin cheng bao hu	1
进程保活	jin cheng bao huo	7
进程关系	jin cheng guan xi	1
进程内存	jin cheng nei cun	12
进程创建	jin cheng chuang jian	1
进程句柄	jin cheng ju bing	10
进程同步	jin cheng tong bu	1
进程名	jin cheng ming	2
进程地址空间	jin cheng di zhi kong jian	2
进程控制	jin cheng kong zhi	13
进程池	jin cheng chi	11
进程注入	jin cheng zhu ru	9
进程状态	jin cheng zhuang tai	1
进程管理	jin cheng guan li	1
进程线程	jin cheng xian cheng	10
进程组	jin cheng zu	2
进程调度	jin cheng diao du	2
进程调度算法	jin cheng diao du suan fa	1
进程迁移	jin cheng qian yi	1
进程退出	jin cheng tui chu	13
进程通信	jin cheng tong xin	13
进程通讯	jin cheng tong xun	1
进程间通信	jin cheng jian tong xin	13
进程间通讯	jin cheng jian tong xun	12
进销存	jin xiao cun	1
进销存系统	jin xiao cun xi tong	8
远程仓库	yuan cheng cang ku	14
远程会议	yuan cheng hui yi	1
远程作业	yuan cheng zuo ye	1
远程作业输入	yuan cheng zuo ye shu ru	5
远程分支	yuan cheng fen zhi	13
远程办公	yuan cheng ban gong	10
远程处理	yuan cheng chu li	2
远程库	yuan cheng ku	12
远程控制软件	yuan cheng kong zhi ruan jian	9
远程推送	yuan cheng tui song	1
远程教学	yuan cheng jiao xue	27
远程方法调用	yuan cheng fang fa diao yong	1
远程服务	yuan cheng fu wu	2
远程服务器	yuan cheng fu wu qi	12
远程查询	yuan cheng cha xun	8
远程桌面	yuan cheng zhuo mian	20
远程桌面连接	yuan cheng zhuo mian lian jie	6
远程登录	yuan cheng deng lu	4
远程登录协议	yuan cheng deng lu xie yi	8
远程监控	yuan cheng jian kong	17
远程终端	yuan cheng zhong duan	31
远程访问	yuan cheng fang wen	13
远程诊断	yuan cheng zhen duan	3
远程调用	yuan cheng diao yong	14
远程调试	yuan cheng tiao shi	3
远程过程调用	yuan cheng guo cheng diao yong	10
远程进程调用	yuan cheng jin cheng diao yong	7
远程连接	yuan cheng lian jie	5
远程通信	yuan cheng tong xin	9
远程通知	yuan cheng tong zhi	10
远程部署	yuan cheng bu shu	9
连接单元接口	lian jie dan yuan jie kou	5
连接原语	lian jie yuan yu	5
连接埠	lian jie bu	31
连接失败	lian jie shi bai	10
连接字符串	lian jie zi fu chuan	14
连接建立	lian jie jian li	6
连接数	lian jie shu	9
连接数据库	lian jie shu ju ku	15
连接时间	lian jie shi jian	11
连接机	lian jie ji	5
连接机制	lian jie ji zhi	1
连接查询	lian jie cha xun	12
连接池	lian jie chi	14
连接点	lian jie dian	38
连接端点	lian jie duan dian	1
连接编辑程序	lian jie bian ji cheng xu	5
连接超时	lian jie chao shi	5
连接释放	lian jie shi fang	11
连续控制	lian xu kong zhi	5
连续文本	lian xu wen ben	2
连续语音识别	lian xu yu yin shi bie	7
连续赋值	lian xu fu zhi	2
连表查询	lian biao cha xun	9
连通分支	lian tong fen zhi	5
连通分量	lian tong fen liang	8
连通区域标记	lian tong qu yu biao ji	6
连通图	lian tong tu	23
连通块	lian tong kuai	12
连通域	lian tong yu	10
连通度	lian tong du	17
连通性	lian tong xing	21
连通性问题	lian tong xing wen ti	8
迪米特法则	di mi te fa ze	12
迭代加深	die dai jia shen	9
迭代加深搜索	die dai jia shen sou suo	9
迭代器	die dai qi	38
迭代器失效	die dai qi shi xiao	11
迭代器模式	die dai qi mo shi	12
迭代搜索	die dai sou suo	8
迭代改进	die dai gai jin	6
迭代法	die dai fa	12
迹线	ji xian	6
追踪程序	zhui zong cheng xu	8
退出应用	tui chu ying yong	3
退出程序	tui chu cheng xu	5
适应层	shi ying ceng	6
适应性维护	shi ying xing wei hu	1
适配器模式	shi pei qi mo shi	1
适配层	shi pei ceng	10
适配移动端	shi pei yi dong duan	7
逆向分析	ni xiang fen xi	1
逆向思维	ni xiang si wei	38
逆向破解	ni xiang po jie	8
逆序	ni xu	23
逆序对	ni xu dui	12
逆序数	ni xu shu	12
逆序数对	ni xu shu dui	8
逆序输出	ni xu shu chu	12
逆波兰	ni bo lan	2
逆波兰式	ni bo lan shi	9
逆波兰表达式	ni bo lan biao da shi	10
逆矩阵	ni ju zhen	33
选择器	xuan ze qi	47
选择图片	xuan ze tu pian	12
选择密文攻击	xuan ze mi wen gong ji	2
选择排序	xuan ze pai xu	2
选择排序法	xuan ze pai xu fa	10
选择明文攻击	xuan ze ming wen gong ji	4
选择符	xuan ze fu	19
选择算法	xuan ze suan fa	8
选择结构	xuan ze jie gou	12
选择网络	xuan ze wang luo	11
选择通道	xuan ze tong dao	3
选词标准	xuan ci biao zhun	6
选通信号	xuan tong xin hao	8
选项卡	xuan xiang ka	21
选项菜单	xuan xiang cai dan	2
透明传送	tou ming chuan song	8
透明桥接	tou ming qiao jie	5
透明状态栏	tou ming zhuang tai lan	1
透明窗口	tou ming chuang kou	4
透明网关	tou ming wang guan	7
透明背景	tou ming bei jing	2
透视变换	tou shi bian huan	10
透视投影	tou shi tou ying	8
逐帧动画	zhu zhen dong hua	11
逐步求精	zhu bu qiu jing	10
逐行分析代码	zhu hang fen xi dai ma	5
逐行扫描	zhu hang sao miao	8
递增子序列	di zeng zi xu lie	11
递归估计	di gui gu ji	5
递归例程	di gui li cheng	5
递归函数	di gui han shu	13
递归分治	di gui fen zhi	8
递归定理	di gui ding li	5
递归实现	di gui shi xian	2
递归方法	di gui fang fa	12
递归查询	di gui cha xun	11
递归算法	di gui suan fa	9
递归计算	di gui ji suan	6
递归调用	di gui diao yong	9
递归遍历	di gui bian li	12
递推	di tui	7
递推公式	di tui gong shi	1
递推关系	di tui guan xi	10
递推求解	di tui qiu jie	10
递推算法	di tui suan fa	9
递推问题	di tui wen ti	7
逗号表达式	dou hao biao da shi	11
逗号运算符	dou hao yun suan fu	15
通信仿真	tong xin fang zhen	5
通信协议	tong xin xie yi	25
通信原理	tong xin yuan li	13
通信基础	tong xin ji chu	9
通信基础知识	tong xin ji chu zhi shi	5
通信处理机	tong xin chu li ji	5
通信子网	tong xin zi wang	10
通信安全	tong xin an quan	10
通信接口	tong xin jie kou	11
通信控制器	tong xin kong zhi qi	1
通信故障	tong xin gu zhang	3
通信机制	tong xin ji zhi	13
通信框架	tong xin kuang jia	2
通信模型	tong xin mo xing	1
通信测试	tong xin ce shi	7
通信类	tong xin lei	4
通信编程	tong xin bian cheng	9
通信软件	tong xin ruan jian	5
通信连接	tong xin lian jie	2
通信适配器	tong xin shi pei qi	5
通用串行总线	tong yong chuan xing zong xian	3
通用代码	tong yong dai ma	1
通用信息模型	tong yong xin xi mo xing	3
通用图灵机	tong yong tu ling ji	3
通用寄存器	tong yong ji cun qi	7
通用工具	tong yong gong ju	1
通用应用	tong yong ying yong	7
通用操作系统	tong yong cao zuo xi tong	1
通用方法	tong yong fang fa	6
通用模板	tong yong mu ban	1
通用类型系统	tong yong lei xing xi tong	8
通用类库	tong yong lei ku	8
通用编程语言	tong yong bian cheng yu yan	1
通用视图	tong yong shi tu	8
通用计算机	tong yong ji suan ji	9
通用词	tong yong ci	1
通用键盘	tong yong jian pan	1
通知中心	tong zhi zhong xin	36
通知传值	tong zhi chuan zhi	7
通知机制	tong zhi ji zhi	12
通讯协议	tong xun xie yi	7
通过延迟	tong guo yan chi	3
通过量	tong guo liang	13
通道命令	tong dao ming ling	7
通道接口	tong dao jie kou	7
通道控制器	tong dao kong zhi qi	1
通道模式	tong dao mo shi	10
通道适配器	tong dao shi pei qi	1
速度传感器	su du chuan gan qi	7
速率控制	su lv kong zhi	4
造轮子	zao lun zi	3
逻辑与	luo ji yu	40
逻辑值	luo ji zhi	4
逻辑分析	luo ji fen xi	18
逻辑分页	luo ji fen ye	6
逻辑划分	luo ji hua fen	10
逻辑判断	luo ji pan duan	12
逻辑卷	luo ji juan	5
逻辑地址	luo ji di zhi	6
逻辑坐标	luo ji zuo biao	10
逻辑工作单元	luo ji gong zuo dan yuan	10
逻辑布局	luo ji bu ju	7
逻辑库	luo ji ku	8
逻辑控制	luo ji kong zhi	30
逻辑故障	luo ji gu zhang	5
逻辑数据模型	luo ji shu ju mo xing	3
逻辑文件	luo ji wen jian	9
逻辑斯蒂回归	luo ji si di hui gui	8
逻辑格式化	luo ji ge shi hua	5
逻辑模拟	luo ji mo ni	4
逻辑测试	luo ji ce shi	1
逻辑演算	luo ji yan suan	3
逻辑炸弹	luo ji zha dan	5
逻辑环	luo ji huan	5
逻辑电路	luo ji dian lu	22
逻辑移位	luo ji yi wei	10
逻辑程序	luo ji cheng xu	8
逻辑程序设计	luo ji cheng xu she ji	6
逻辑系统	luo ji xi tong	9
逻辑结构	luo ji jie gou	11
逻辑综合	luo ji zong he	29
逻辑编程语言	luo ji bian cheng yu yan	3
逻辑缺陷	luo ji que xian	1
逻辑蕴涵	luo ji yun han	4
逻辑表达式	luo ji biao da shi	12
逻辑记录	luo ji ji lu	9
逻辑设备	luo ji she bei	3
逻辑设备名	luo ji she bei ming	7
逻辑设备表	luo ji she bei biao	6
逻辑语法	luo ji yu fa	7
逻辑运算	luo ji yun suan	9
逻辑运算符	luo ji yun suan fu	3
逻辑部件	luo ji bu jian	8
逻辑链路控制	luo ji lian lu kong zhi	10
逻辑页	luo ji ye	8
逻辑驱动器	luo ji qu dong qi	1
遍历二叉树	bian li er cha shu	1
遍历数组	bian li shu zu	1
遍历文件	bian li wen jian	11
遍历文件夹	bian li wen jian jia	10
遍历目录	bian li mu lu	11
道密度	dao mi du	5
遗传操作	yi chuan cao zuo	8
遗传算法	yi chuan suan fa	14
遗忘因子	yi wang yin zi	5
遗留类	yi liu lei	7
遥感图像	yao gan tu xiang	9
遥感图像处理	yao gan tu xiang chu li	7
遮罩层	zhe zhao ceng	1
避免死锁	bi mian si suo	13
避免错误	bi mian cuo wu	10
邓白氏编码	deng bai shi bian ma	9
邮件中继	you jian zhong ji	1
邮件发送	you jian fa song	5
邮件服务器	you jian fu wu qi	14
邮件管理员	you jian guan li yuan	5
邮件系统	you jian xi tong	10
邮件群发	you jian qun fa	8
邮件营销	you jian ying xiao	1
邮局协议	you ju xie yi	2
邮箱验证	you xiang yan zheng	7
邻域运算	lin yu yun suan	6
邻接关系	lin jie guan xi	10
邻接矩阵	lin jie ju zhen	33
邻接表	lin jie biao	13
邻接表结构	lin jie biao jie gou	8
邻近搜索	lin jin sou suo	6
邻近查找	lin jin cha zhao	7
部件连接	bu jian lian jie	2
部分函数依赖	bu fen han shu yi lai	9
部署图	bu shu tu	3
部署清单	bu shu qing dan	5
部署环境	bu shu huan jing	1
部署项目	bu shu xiang mu	12
部门管理	bu men guan li	44
配线架	pei xian jia	4
配置使用	pei zhi shi yong	3
配置信息	pei zhi xin xi	3
配置参数	pei zhi can shu	8
配置安装	pei zhi an zhuang	12
配置审核	pei zhi shen he	6
配置控制	pei zhi kong zhi	10
配置文件属性	pei zhi wen jian shu xing	8
配置文档	pei zhi wen dang	12
配置标识	pei zhi biao zhi	7
配置状态	pei zhi zhuang tai	2
配置状态报告	pei zhi zhuang tai bao gao	5
配置环境	pei zhi huan jing	2
配置环境变量	pei zhi huan jing bian liang	15
配置管理	pei zhi guan li	17
配置管理工具	pei zhi guan li gong ju	10
配置详解	pei zhi xiang jie	11
配置问题	pei zhi wen ti	7
配置项	pei zhi xiang	15
酷壳	ku ke	11
酷我音乐盒	ku wo yin yue he	2
采样分布	cai yang fen bu	6
采样周期	cai yang zhou qi	1
采样器	cai yang qi	13
采样控制	cai yang kong zhi	5
采样方式	cai yang fang shi	3
采样率	cai yang lv	28
采样系统	cai yang xi tong	6
采样误差	cai yang wu cha	5
采样速率	cai yang su lv	9
采样频率	cai yang pin lv	7
采集卡	cai ji ka	7
释放资源	shi fang zi yuan	6
里氏代换原则	li shi dai huan yuan ze	12
里氏替换	li shi ti huan	9
里氏替换原则	li shi ti huan yuan ze	1
重传	chong chuan	21
重做日志	chong zuo ri zhi	1
重入锁	chong ru suo	10
重写规则	chong xie gui ze	1
重力感应	zhong li gan ying	30
重叠处理	chong die chu li	1
重启动	chong qi dong	11
重复元素	chong fu yuan su	3
重复提交	chong fu ti jiao	5
重复数据	chong fu shu ju	25
重复覆盖	chong fu fu gai	2
重定义	chong ding yi	10
重定义数组	chong ding yi shu zu	5
重定位	chong ding wei	16
重定向操作符	chong ding xiang cao zuo fu	8
重定向符号	chong ding xiang fu hao	10
重定时	chong ding shi	6
重尾分布	zhong wei fen bu	5
重建二叉树	chong jian er cha shu	10
重排序	chong pai xu	9
重放攻击	zhong fang gong ji	10
重数	chong shu	13
重新查询	chong xin cha xun	1
重新编译	chong xin bian yi	11
重新起航	chong xin qi hang	4
重新运行	chong xin yun xing	7
重构二叉树	chong gou er cha shu	7
重用性	zhong yong xing	4
重用机制	zhong yong ji zhi	11
重码	zhong ma	4
重签名	chong qian ming	9
重绘	zhong hui	31
重置密码	chong zhi mi ma	15
重置文件	chong zhi wen jian	8
重装系统	chong zhuang xi tong	1
重言式	zhong yan shi	1
重试	chong shi	39
重载函数	zhong zai han shu	9
重载运算符	zhong zai yun suan fu	1
重配置	chong pei zhi	3
重采样	chong cai yang	14
野指针	ye zhi zhen	1
量化交易	liang hua jiao yi	7
量子密码	liang zi mi ma	5
量子恒道	liang zi heng dao	3
量子计算	liang zi ji suan	44
金字塔结构	jin zi ta jie gou	12
金山快盘	jin shan kuai pan	1
金税接口	jin shui jie kou	6
金融分析	jin rong fen xi	4
金融安全	jin rong an quan	6
金融计算	jin rong ji suan	7
金阳光测试	jin yang guang ce shi	7
鉴别信息	jian bie xin xi	8
鉴别数据	jian bie shu ju	5
钓鱼网站	diao yu wang zhan	12
钥匙串	yao shi chuan	10
钩子函数	gou zi han shu	2
银联支付	yin lian zhi fu	1
银行卡识别	yin hang ka shi bie	7
银行家算法	yin hang jia suan fa	10
银行系统	yin hang xi tong	27
链剖	lian pou	10
