# 青简领域词库：成语，由 qingjian-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
不见棺材不掉泪	bu jian guan cai bu diao lei	12
不见棺材不落泪	bu jian guan cai bu luo lei	17
不言不语	bu yan bu yu	29
不识大体	bu shi da ti	7
不识好歹	bu shi hao dai	14
不识庐山真面目	bu shi lu shan zhen mian mu	21
不谋其政	bu mou qi zheng	2
不贪为宝	bu tan wei bao	6
不越雷池	bu yue lei chi	1
不足为外人道	bu zu wei wai ren dao	3
不足为据	bu zu wei ju	7
不足为虑	bu zu wei lv	4
不足为道	bu zu wei dao	2
不辞劳苦	bu ci lao ku	10
不辨真伪	bu bian zhen wei	7
不进则退	bu jin ze tui	28
不远万里	bu yuan wan li	5
不违农时	bu wei nong shi	6
不避艰险	bu bi jian xian	2
不问青红皂白	bu wen qing hong zao bai	5
不露声色	bu lu sheng se	2
不露锋芒	bu lu feng mang	1
不顾大局	bu gu da ju	6
不顾死活	bu gu si huo	1
不预则废	bu yu ze fei	2
与人方便	yu ren fang bian	14
与人方便自己方便	yu ren fang bian zi ji fang bian	6
与时偕行	yu shi xie xing	1
与民更始	yu min geng shi	1
丑态毕露	chou tai bi lu	3
专门利人	zhuan men li ren	3
世代书香	shi dai shu xiang	4
世态人情	shi tai ren qing	3
世道人心	shi dao ren xin	7
业精于勤荒于嬉	ye jing yu qin huang yu xi	5
丛山峻岭	cong shan jun ling	2
东奔西跑	dong ben xi pao	42
东征西讨	dong zheng xi tao	4
东成西就	dong cheng xi jiu	28
东扯西拉	dong che xi la	1
东挪西凑	dong nuo xi cou	9
东摇西摆	dong yao xi bai	6
东方不亮西方亮	dong fang bu liang xi fang liang	6
东歪西倒	dong wai xi dao	2
东游西荡	dong you xi dang	2
东游西逛	dong you xi guang	2
东藏西躲	dong cang xi duo	6
东躲西藏	dong duo xi cang	7
东风压倒西风	dong feng ya dao xi feng	3
东风浩荡	dong feng hao dang	3
丝竹管弦	si zhu guan xian	6
丢盔卸甲	diu kui xie jia	7
两手空空	liang shou kong kong	46
两虎相争	liang hu xiang zheng	1
两面夹攻	liang mian jia gong	6
严于律已	yan yu lv yi	1
严刑峻法	yan xing jun fa	10
个中三昧	ge zhong san mei	2
个中滋味	ge zhong zi wei	29
中外合璧	zhong wai he bi	1
丰姿绰约	feng zi chuo yue	6
串亲访友	chuan qin fang you	6
临事而惧	lin shi er ju	6
临别赠言	lin bie zeng yan	7
临危授命	lin wei shou ming	1
临机处置	lin ji chu zhi	8
临机应变	lin ji ying bian	7
临深履薄	lin shen lv bo	6
临阵磨枪	lin zhen mo qiang	42
临阵退缩	lin zhen tui suo	6
丹书铁券	dan shu tie quan	3
丹凤朝阳	dan feng chao yang	24
丹心碧血	dan xin bi xue	6
丹青妙手	dan qing miao shou	6
为五斗米折腰	wei wu dou mi zhe yao	13
为善最乐	wei shan zui le	1
为国为民	wei guo wei min	23
为渊驱鱼	wei yuan qu yu	1
为非作恶	wei fei zuo e	11
举世皆知	ju shi jie zhi	8
举国一致	ju guo yi zhi	8
举措失当	ju cuo shi dang	3
举止大方	ju zhi da fang	3
举止言谈	ju zhi yan tan	4
举步艰难	ju bu jian nan	7
举贤任能	ju xian ren neng	6
举重若轻	ju zhong ruo qing	16
久旱逢甘雨	jiu han feng gan yu	5
久经风霜	jiu jing feng shuang	3
久闻大名	jiu wen da ming	19
义结金兰	yi jie jin lan	25
义薄云天	yi bo yun tian	22
乐业安居	le ye an ju	6
乐以忘忧	le yi wang you	6
乐而不淫	le er bu yin	2
乔装打扮	qiao zhuang da ban	27
乔装改扮	qiao zhuang gai ban	8
乘兴而来	cheng xing er lai	2
乘兴而来败兴而归	cheng xing er lai bai xing er gui	3
乘其不备	cheng qi bu bei	8
乘机而入	cheng ji er ru	1
乘热打铁	cheng re da tie	2
乘隙而入	cheng xi er ru	6
九五之尊	jiu wu zhi zun	5
九天揽月	jiu tian lan yue	32
九死不悔	jiu si bu hui	6
九泉之下	jiu quan zhi xia	4
习焉不察	xi yan bu cha	8
习非成是	xi fei cheng shi	1
书声琅琅	shu sheng lang lang	2
书香世家	shu xiang shi jia	34
书香人家	shu xiang ren jia	1
买卖公平	mai mai gong ping	3
乱世英雄	luan shi ying xiong	5
了然于胸	liao ran yu xiong	15
