# 青简领域词库：成语，由 qingjian-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
毛将焉附	mao jiang yan fu	1
毫不介意	hao bu jie yi	15
毫不利己	hao bu li ji	4
毫不利己专门利人	hao bu li ji zhuan men li ren	2
毫不动摇	hao bu dong yao	14
毫不讳言	hao bu hui yan	1
毫无所知	hao wu suo zhi	6
毫无逊色	hao wu xun se	6
民不畏死	min bu wei si	7
民为邦本	min wei bang ben	1
民办公助	min ban gong zhu	10
民富国强	min fu guo qiang	2
民怨沸腾	min yuan fei teng	14
民生凋敝	min sheng diao bi	5
民生在勤	min sheng zai qin	6
民胞物与	min bao wu yu	3
民膏民脂	min gao min zhi	6
民贵君轻	min gui jun qing	1
气喘吁吁	qi chuan xu xu	1
气喘如牛	qi chuan ru niu	6
气定神闲	qi ding shen xian	2
气数已尽	qi shu yi jin	12
气焰嚣张	qi yan xiao zhang	11
水光山色	shui guang shan se	1
水可载舟	shui ke zai zhou	4
水可载舟亦可覆舟	shui ke zai zhou yi ke fu zhou	6
水天一色	shui tian yi se	2
水月观音	shui yue guan yin	4
水月镜花	shui yue jing hua	3
水木清华	shui mu qing hua	8
水来土掩	shui lai tu yan	15
水漫金山	shui man jin shan	4
水火不相容	shui huo bu xiang rong	3
水火之中	shui huo zhi zhong	17
水碧山青	shui bi shan qing	6
水能载舟	shui neng zai zhou	28
水能载舟亦能覆舟	shui neng zai zhou yi neng fu zhou	8
水至清则无鱼	shui zhi qing ze wu yu	30
水调歌头	shui diao ge tou	17
水过地皮湿	shui guo di pi shi	7
永不磨灭	yong bu mo mie	25
永垂青史	yong chui qing shi	3
永无宁日	yong wu ning ri	2
永矢弗谖	yong shi fu xuan	1
求人不如求己	qiu ren bu ru qiu ji	26
求仁得仁	qiu ren de ren	28
求其友声	qiu qi you sheng	6
求大同存小异	qiu da tong cun xiao yi	2
求才若渴	qiu cai ruo ke	7
求生不得	qiu sheng bu de	1
求知若渴	qiu zhi ruo ke	7
求神问卜	qiu shen wen bu	3
求贤如渴	qiu xian ru ke	6
求过于供	qiu guo yu gong	2
汉贼不两立	han zei bu liang li	2
汗流满面	han liu man mian	9
江东父老	jiang dong fu lao	33
江天一色	jiang tian yi se	1
江山如画	jiang shan ru hua	5
江山易改	jiang shan yi gai	1
江山易改本性难移	jiang shan yi gai ben xing nan yi	6
江汉朝宗	jiang han chao zong	6
江河行地	jiang he xing di	6
汪洋大海	wang yang da hai	9
汪洋恣肆	wang yang zi si	1
沃野千里	wo ye qian li	2
沉心静气	chen xin jing qi	3
沉思默想	chen si mo xiang	6
沉渣泛起	chen zha fan qi	1
沉滓泛起	chen zi fan qi	6
沉郁顿挫	chen yu dun cuo	1
沐猴而冠	mu hou er guan	7
没头没脸	mei tou mei lian	6
没有不透风的墙	mei you bu tou feng de qiang	10
没齿难忘	mo chi nan wang	11
沦落风尘	lun luo feng chen	5
沧海遗珠	cang hai yi zhu	11
河东狮吼	he dong shi hou	27
河海不择细流	he hai bu ze xi liu	6
油光可鉴	you guang ke jian	3
治丝益棼	zhi si yi fen	2
治国安民	zhi guo an min	1
泄露天机	xie lu tian ji	27
法不阿贵	fa bu e gui	7
泛泛之交	fan fan zhi jiao	24
泛泛之谈	fan fan zhi tan	1
泛滥成灾	fan lan cheng zai	49
波光粼粼	bo guang lin lin	33
波平浪静	bo ping lang jing	7
波澜起伏	bo lan qi fu	39
波谲云诡	bo jue yun gui	5
泥古不化	ni gu bu hua	6
泪如雨下	lei ru yu xia	38
泪眼汪汪	lei yan wang wang	24
泰山不让土壤	tai shan bu rang tu rang	6
泰山压顶不弯腰	tai shan ya ding bu wan yao	7
泼妇骂街	po fu ma jie	49
泽被后世	ze bei hou shi	1
洁白无瑕	jie bai wu xia	20
洁身自爱	jie shen zi ai	22
洒扫应对	sa sao ying dui	6
洞察秋毫	dong cha qiu hao	1
洪福齐天	hong fu qi tian	28
洪钟大吕	hong zhong da lv	6
活色生香	huo se sheng xiang	6
活龙活现	huo long huo xian	6
流年不利	liu nian bu li	49
流年似水	liu nian si shui	13
流水不腐	liu shui bu fu	3
流水无情	liu shui wu qing	22
流水行云	liu shui xing yun	1
流离颠沛	liu li dian pei	4
流芳千古	liu fang qian gu	4
流芳百世	liu fang bai shi	22
流落他乡	liu luo ta xiang	3
流言止于智者	liu yan zhi yu zhi zhe	18
流言飞语	liu yan fei yu	1
浅斟低唱	qian zhen di chang	1
济世安民	ji shi an min	1
济世安邦	ji shi an bang	6
济世救人	ji shi jiu ren	9
济困扶危	ji kun fu wei	2
浑然不觉	hun ran bu jue	31
浓妆淡抹	nong zhuang dan mo	14
浓荫蔽日	nong yin bi ri	1
浩气长存	hao qi chang cun	27
浩浩汤汤	hao hao shang shang	1
浩然之气	hao ran zhi qi	3
浩若烟海	hao ruo yan hai	6
浮生若梦	fu sheng ruo meng	42
浴火凤凰	yu huo feng huang	9
海不扬波	hai bu yang bo	4
海底捞针	hai di lao zhen	3
海晏河清	hai yan he qing	4
海纳百川	hai na bai chuan	13
海角天涯	hai jiao tian ya	25
海阔天高	hai kuo tian gao	1
涂炭生灵	tu tan sheng ling	3
消极怠工	xiao ji dai gong	32
涕泗横流	ti si heng liu	25
涕泪交加	ti lei jiao jia	2
涕泪交流	ti lei jiao liu	6
涸泽而渔	he ze er yu	1
淡泊以明志	dan bo yi ming zhi	1
淡泊明志	dan bo ming zhi	8
淡然处之	dan ran chu zhi	40
深入骨髓	shen ru gu sui	4
深山密林	shen shan mi lin	1
深山幽谷	shen shan you gu	6
深得人心	shen de ren xin	25
深恶痛疾	shen wu tong ji	5
混淆是非	hun xiao shi fei	17
混淆黑白	hun xiao hei bai	4
混混沌沌	hun hun dun dun	2
清华东门	qing hua dong men	1
清官难断家务事	qing guan nan duan jia wu shi	22
清廉正直	qing lian zheng zhi	11
清新俊逸	qing xin jun yi	3
清闲自在	qing xian zi zai	7
清静无为	qing jing wu wei	4
清风两袖	qing feng liang xiu	1
清风明月	qing feng ming yue	41
清风朗月	qing feng lang yue	5
渔翁之利	yu weng zhi li	16
渔翁得利	yu weng de li	24
温文儒雅	wen wen ru ya	34
温柔敦厚	wen rou dun hou	8
温良恭俭让	wen liang gong jian rang	3
游必有方	you bi you fang	41
游目骋怀	you mu cheng huai	2
游移不定	you yi bu ding	3
渺无音讯	miao wu yin xun	2
湖光山色	hu guang shan se	15
湮没无闻	yan mo wu wen	6
溃于蚁穴	kui yu yi xue	9
源头活水	yuan tou huo shui	2
源源不绝	yuan yuan bu jue	40
源源而来	yuan yuan er lai	7
溘然长逝	ke ran chang shi	11
溢美之辞	yi mei zhi ci	1
滂沱大雨	pang tuo da yu	21
滑天下之大稽	hua tian xia zhi da ji	14
滔天大罪	tao tian da zui	2
滔天罪行	tao tian zui xing	10
满口答应	man kou da ying	5
满园春色	man yuan chun se	5
满坑满谷	man keng man gu	4
满天星斗	man tian xing dou	6
满山满谷	man shan man gu	6
满盘皆输	man pan jie shu	11
满目琳琅	man mu lin lang	1
满目青山	man mu qing shan	2
满脸堆笑	man lian dui xiao	3
满脸春风	man lian chun feng	6
满腔热忱	man qiang re chen	5
满腹牢骚	man fu lao sao	1
满腹狐疑	man fu hu yi	3
满面笑容	man mian xiao rong	2
满面红光	man mian hong guang	8
滴水成河	di shui cheng he	1
漫天叫价	man tian jiao jia	1
漫天开价	man tian kai jia	7
漫天要价	man tian yao jia	3
漫天遍野	man tian bian ye	6
漫无止境	man wu zhi jing	1
激昂慷慨	ji ang kang kai	1
火上加油	huo shang jia you	33
火上添油	huo shang tian you	7
火光冲天	huo guang chong tian	4
火力集中	huo li ji zhong	10
灭绝人性	mie jue ren xing	6
灯火辉煌	deng huo hui huang	4
灿烂辉煌	can lan hui huang	5
灿若繁星	can ruo fan xing	4
炮火连天	pao huo lian tian	22
点头称是	dian tou cheng shi	4
点铁成金	dian tie cheng jin	2
炼石补天	lian shi bu tian	5
烂熟于心	lan shu yu xin	11
烂醉如泥	lan zui ru ni	9
烈士暮年	lie shi mu nian	8
烈火烹油	lie huo peng you	1
烈火见真金	lie huo jian zhen jin	7
烫手山芋	tang shou shan yu	14
热锅上的蚂蚁	re guo shang de ma yi	11
热锅上蚂蚁	re guo shang ma yi	1
烽火四起	feng huo si qi	1
烽火连天	feng huo lian tian	2
焉得虎子	yan de hu zi	3
焕发青春	huan fa qing chun	10
焚林而猎	fen lin er lie	6
焚琴煮鹤	fen qin zhu he	7
焚膏继晷	fen gao ji gui	1
焦灼不安	jiao zhuo bu an	8
焦躁不安	jiao zao bu an	35
照章办事	zhao zhang ban shi	6
熔于一炉	rong yu yi lu	1
熬更守夜	ao geng shou ye	5
燎原之火	liao yuan zhi huo	3
燕瘦环肥	yan shou huan fei	5
爬山涉水	pa shan she shui	33
爱惜羽毛	ai xi yu mao	12
爱民如子	ai min ru zi	15
爱钱如命	ai qian ru ming	5
父为子隐	fu wei zi yin	7
父债子还	fu zhai zi huan	1
父慈子孝	fu ci zi xiao	5
父母之邦	fu mu zhi bang	2
爽心悦目	shuang xin yue mu	6
片瓦不留	pian wa bu liu	6
片瓦无存	pian wa wu cun	6
片言只字	pian yan zhi zi	2
牛之一毛	niu zhi yi mao	6
牛高马大	niu gao ma da	10
牢骚太盛防肠断	lao sao tai sheng fang chang duan	6
牢骚满腹	lao sao man fu	4
物华天宝	wu hua tian bao	12
物归原主	wu gui yuan zhu	42
物竞天择	wu jing tian ze	44
牵一发而动全身	qian yi fa er dong quan shen	16
牵牛织女	qian niu zhi nv	5
犀牛望月	xi niu wang yue	6
犁庭扫穴	li ting sao xue	6
狂涛巨浪	kuang tao ju lang	7
狂涛骇浪	kuang tao hai lang	6
狂风怒号	kuang feng nu hao	2
狂风恶浪	kuang feng e lang	7
狂风骤雨	kuang feng zhou yu	40
狗咬吕洞宾	gou yao lv dong bin	22
狗屁不通	gou pi bu tong	1
狗拿耗子	gou na hao zi	22
独往独来	du wang du lai	2
独排众议	du pai zhong yi	3
独揽大权	du lan da quan	25
独断独行	du duan du xing	9
独木不成林	du mu bu cheng lin	3
独此一家	du ci yi jia	11
独步天下	du bu tian xia	45
独运匠心	du yun jiang xin	1
独霸一方	du ba yi fang	10
狭路相逢勇者胜	xia lu xiang feng yong zhe sheng	21
狰狞面目	zheng ning mian mu	9
狼烟四起	lang yan si qi	3
狼狈逃窜	lang bei tao cuan	2
猖獗一时	chang jue yi shi	1
猜拳行令	cai quan xing ling	1
率先垂范	shuai xian chui fan	14
率土之滨	shuai tu zhi bin	1
玉不琢不成器	yu bu zhuo bu cheng qi	4
玉树琼枝	yu shu qiong zhi	1
玉汝于成	yu ru yu cheng	5
玉液琼浆	yu ye qiong jiang	1
王侯将相	wang hou jiang xiang	21
王祥卧冰	wang xiang wo bing	6
王顾左右而言他	wang gu zuo you er yan ta	8
玫瑰人生	mei gui ren sheng	21
环肥燕瘦	huan fei yan shou	8
现世现报	xian shi xian bao	2
玲珑小巧	ling long xiao qiao	2
珍馐美馔	zhen xiu mei zhuan	3
班师回朝	ban shi hui chao	33
琴心剑胆	qin xin jian dan	6
琴瑟和谐	qin se he xie	5
琼浆玉液	qiong jiang yu ye	8
璀璨夺目	cui can duo mu	45
瓜分豆剖	gua fen dou pou	7
瓜瓞绵绵	gua die mian mian	3
瓦釜雷鸣	wa fu lei ming	6
甘之若饴	gan zhi ruo yi	7
甘居人后	gan ju ren hou	6
甘心情愿	gan xin qing yuan	10
甘苦与共	gan ku yu gong	4
甚于防川	shen yu fang chuan	1
甜酸苦辣	tian suan ku la	11
生于忧患死于安乐	sheng yu you huan si yu an le	6
生拉硬扯	sheng la ying che	2
生死不渝	sheng si bu yu	7
生死相依	sheng si xiang yi	4
生生死死	sheng sheng si si	1
生米做成熟饭	sheng mi zuo cheng shu fan	3
生米煮成熟饭	sheng mi zhu cheng shu fan	38
生而知之	sheng er zhi zhi	3
生财之道	sheng cai zhi dao	26
用之不竭	yong zhi bu jie	8
用兵如神	yong bing ru shen	1
用其所长	yong qi suo chang	1
用尽心机	yong jin xin ji	9
田连阡陌	tian lian qian mo	6
由浅入深	you qian ru shen	7
由近及远	you jin ji yuan	9
电光石火	dian guang shi huo	9
男儿有泪不轻弹	nan er you lei bu qing tan	46
男儿膝下有黄金	nan er xi xia you huang jin	12
男大当婚	nan da dang hun	11
男大当婚女大当嫁	nan da dang hun nv da dang jia	10
男女老幼	nan nv lao you	35
男婚女嫁	nan hun nv jia	16
男欢女爱	nan huan nv ai	24
男耕女织	nan geng nv zhi	13
画中有诗	hua zhong you shi	4
画栋雕梁	hua dong diao liang	6
画虎不成反类犬	hua hu bu cheng fan lei quan	10
畅行无阻	chang xing wu zu	11
畏罪潜逃	wei zui qian tao	13
留得青山在	liu de qing shan zai	28
留恋不舍	liu lian bu she	3
留有余地	liu you yu di	4
略窥一斑	lve kui yi ban	6
略高一筹	lve gao yi chou	7
畸形发展	ji xing fa zhan	2
畸重畸轻	ji zhong ji qing	1
疏而不漏	shu er bu lou	3
疲乏不堪	pi fa bu kan	6
疾风暴雨	ji feng bao yu	1
疾风知劲草	ji feng zhi jing cao	1
病从口入	bing cong kou ru	1
病急乱投医	bing ji luan tou yi	23
病来如山倒	bing lai ru shan dao	49
病魔缠身	bing mo chan shen	16
痛入骨髓	tong ru gu sui	2
痴男怨女	chi nan yuan nv	20
瘦死的骆驼比马大	shou si de luo tuo bi ma da	9
瘦骨如柴	shou gu ru chai	8
癞蛤蟆想吃天鹅肉	lai ha ma xiang chi tian e rou	7
登高望远	deng gao wang yuan	41
白云苍狗	bai yun cang gou	24
白刀子进红刀子出	bai dao zi jin hong dao zi chu	2
白发人送黑发人	bai fa ren song hei fa ren	23
白山黑水	bai shan hei shui	11
白手兴家	bai shou xing jia	5
白沙在涅	bai sha zai nie	6
白浪滔天	bai lang tao tian	1
白衣秀士	bai yi xiu shi	6
白费力气	bai fei li qi	27
白首偕老	bai shou xie lao	8
白首方悔读书迟	bai shou fang hui du shu chi	3
百万雄兵	bai wan xiong bing	4
百业萧条	bai ye xiao tiao	5
百媚千娇	bai mei qian jiao	6
百密一疏	bai mi yi shu	18
百尺竿头更进一步	bai chi gan tou geng jin yi bu	4
百岁之后	bai sui zhi hou	6
百川归海	bai chuan gui hai	1
百年之后	bai nian zhi hou	42
百年之好	bai nian zhi hao	4
百年大业	bai nian da ye	8
百年树人	bai nian shu ren	7
百废俱兴	bai fei ju xing	1
百废待举	bai fei dai ju	7
百弊丛生	bai bi cong sheng	6
百折不屈	bai zhe bu qu	6
百折千回	bai zhe qian hui	6
百无一用	bai wu yi yong	27
百无一用是书生	bai wu yi yong shi shu sheng	11
百病丛生	bai bing cong sheng	1
百端待举	bai duan dai ju	6
百般刁难	bai ban diao nan	14
百般折磨	bai ban zhe mo	5
百花争妍	bai hua zheng yan	1
百花争艳	bai hua zheng yan	2
百花凋零	bai hua diao ling	6
百花生日	bai hua sheng ri	7
百花盛开	bai hua sheng kai	4
百花齐放百家争鸣	bai hua qi fang bai jia zheng ming	6
百读不厌	bai du bu yan	3
百足之虫	bai zu zhi chong	2
百足之虫死而不僵	bai zu zhi chong si er bu jiang	6
皇天不负苦心人	huang tian bu fu ku xin ren	5
皓首穷经	hao shou qiong jing	8
皮之不存	pi zhi bu cun	1
皮之不存毛将焉附	pi zhi bu cun mao jiang yan fu	2
益寿延年	yi shou yan nian	6
盖棺定论	gai guan ding lun	19
盗亦有道	dao yi you dao	37
盘古开天地	pan gu kai tian di	1
盛况空前	sheng kuang kong qian	19
盛名之下	sheng ming zhi xia	5
盛名之下其实难副	sheng ming zhi xia qi shi nan fu	1
目不忍视	mu bu ren shi	12
目不暇给	mu bu xia ji	4
目光炯炯	mu guang jiong jiong	6
目无尊长	mu wu zun zhang	13
目迷五色	mu mi wu se	6
盲人骑瞎马	mang ren qi xia ma	2
直上直下	zhi shang zhi xia	13
直抒己见	zhi shu ji jian	2
直抒胸臆	zhi shu xiong yi	25
直捣黄龙	zhi dao huang long	14
直认不讳	zhi ren bu hui	2
相对无言	xiang dui wu yan	13
相形失色	xiang xing shi se	5
相忍为国	xiang ren wei guo	6
相时而动	xiang shi er dong	1
相机而动	xiang ji er dong	7
相沿成习	xiang yan cheng xi	7
相煎何急	xiang jian he ji	7
相煎太急	xiang jian tai ji	6
相见时难别亦难	xiang jian shi nan bie yi nan	34
相视而笑	xiang shi er xiao	21
相貌堂堂	xiang mao tang tang	18
相逢恨晚	xiang feng hen wan	13
眉头一皱	mei tou yi zhou	29
眉毛胡子一把抓	mei mao hu zi yi ba zhua	1
眉目传情	mei mu chuan qing	23
看家本事	kan jia ben shi	1
看家本领	kan jia ben ling	12
看菜吃饭	kan cai chi fan	1
真人不露相	zhen ren bu lou xiang	35
真伪莫辨	zhen wei mo bian	7
真刀真枪	zhen dao zhen qiang	12
真心诚意	zhen xin cheng yi	47
真情实意	zhen qing shi yi	31
真枪实弹	zhen qiang shi dan	31
真金不怕火炼	zhen jin bu pa huo lian	9
眼中钉肉中刺	yan zhong ding rou zhong ci	6
眼尖手快	yan jian shou kuai	6
眼明心亮	yan ming xin liang	3
眼观六路	yan guan liu lu	12
眼观六路耳听八方	yan guan liu lu er ting ba fang	10
眼观四路	yan guan si lu	2
睁一眼闭一眼	zheng yi yan bi yi yan	7
睚眦必报	ya zi bi bao	26
睥睨一切	pi ni yi qie	6
瞄准射击	miao zhun she ji	27
瞎子摸鱼	xia zi mo yu	7
瞒上欺下	man shang qi xia	6
瞠乎其后	cheng hu qi hou	6
瞬息之间	shun xi zhi jian	5
矢口否认	shi kou fou ren	33
矢志不移	shi zhi bu yi	4
知其不可而为之	zhi qi bu ke er wei zhi	7
知命之年	zhi ming zhi nian	1
知子莫若父	zhi zi mo ruo fu	5
知彼知己	zhi bi zhi ji	1
知恩报恩	zhi en bao en	2
知情不举	zhi qing bu ju	1
知我罪我	zhi wo zui wo	8
知无不言	zhi wu bu yan	36
知无不言言无不尽	zhi wu bu yan yan wu bu jin	9
知易行难	zhi yi xing nan	24
知止不殆	zhi zhi bu dai	1
知足不辱	zhi zu bu ru	1
知足知止	zhi zu zhi zhi	6
短小精干	duan xiao jing gan	5
短斤少两	duan jin shao liang	2
砍瓜切菜	kan gua qie cai	3
砥柱中流	di zhu zhong liu	2
破旧不堪	po jiu bu kan	26
破旧立新	po jiu li xin	7
破格录用	po ge lu yong	6
破烂不堪	po lan bu kan	9
破玩意儿	po wan yi er	33
破竹之势	po zhu zhi shi	4
破门而出	po men er chu	4
破除迷信	po chu mi xin	14
础润而雨	chu run er yu	6
硕大无比	shuo da wu bi	1
确有其事	que you qi shi	31
碎尸万段	sui shi wan duan	21
碧水青山	bi shui qing shan	2
碧空万里	bi kong wan li	2
碧空如洗	bi kong ru xi	7
磨刀不误砍柴工	mo dao bu wu kan chai gong	11
磨嘴皮子	mo zui pi zi	7
礼义廉耻	li yi lian chi	36
礼仪之邦	li yi zhi bang	14
礼崩乐坏	li beng yue huai	3
祛病延年	qu bing yan nian	7
神乎其技	shen hu qi ji	13
神完气足	shen wan qi zu	6
神工鬼斧	shen gong gui fu	6
神思恍惚	shen si huang hu	7
神情恍惚	shen qing huang hu	20
神情自若	shen qing zi ruo	7
神气十足	shen qi shi zu	9
神清气和	shen qing qi he	6
神色自若	shen se zi ruo	16
神采飞扬	shen cai fei yang	44
神闲气定	shen xian qi ding	1
祸福相依	huo fu xiang yi	13
福地洞天	fu di dong tian	2
福寿双全	fu shou shuang quan	9
福寿康宁	fu shou kang ning	4
福星高照	fu xing gao zhao	43
福禄寿喜	fu lu shou xi	7
离乡别井	li xiang bie jing	9
离合悲欢	li he bei huan	2
离奇古怪	li qi gu guai	4
离情别绪	li qing bie xu	6
离题万里	li ti wan li	8
秀才不出门	xiu cai bu chu men	2
秀才造反	xiu cai zao fan	6
私相授受	si xiang shou shou	6
秉公办理	bing gong ban li	5
秉笔直书	bing bi zhi shu	4
秋收冬藏	qiu shou dong cang	23
秋月春风	qiu yue chun feng	4
秋毫无犯	qiu hao wu fan	11
秋水伊人	qiu shui yi ren	3
秋风落叶	qiu feng luo ye	8
种瓜得瓜	zhong gua de gua	14
种瓜得瓜种豆得豆	zhong gua de gua zhong dou de dou	12
种豆得豆	zhong dou de dou	10
积习难改	ji xi nan gai	2
积善之家必有余庆	ji shan zhi jia bi you yu qing	6
积善成德	ji shan cheng de	6
积土成山	ji tu cheng shan	9
积小成大	ji xiao cheng da	7
积毁销骨	ji hui xiao gu	3
积水成渊	ji shui cheng yuan	1
积沙成塔	ji sha cheng ta	5
积谷防饥	ji gu fang ji	1
积非成是	ji fei cheng shi	2
称心满意	chen xin man yi	2
称王称霸	cheng wang cheng ba	16
移山填海	yi shan tian hai	4
稀世之宝	xi shi zhi bao	1
程门立雪	cheng men li xue	2
稍胜一筹	shao sheng yi chou	2
稍逊一筹	shao xun yi chou	5
稳操胜算	wen cao sheng suan	1
穷且益坚	qiong qie yi jian	2
穷则独善其身	qiong ze du shan qi shen	25
穷奢极侈	qiong she ji chi	3
穷家富路	qiong jia fu lu	7
穷寇莫追	qiong kou mo zhui	5
穷山僻壤	qiong shan pi rang	14
穷形尽相	qiong xing jin xiang	6
穷愁潦倒	qiong chou liao dao	1
空口说白话	kong kou shuo bai hua	10
空空道人	kong kong dao ren	2
空话连篇	kong hua lian pian	7
空谷幽兰	kong gu you lan	27
穿红着绿	chuan hong zhuo lv	1
窒碍难行	zhi ai nan xing	8
窥见一斑	kui jian yi ban	1
窥豹一斑	kui bao yi ban	6
立业成家	li ye cheng jia	11
立于不败	li yu bu bai	7
立于不败之地	li yu bu bai zhi di	16
立德立言	li de li yan	3
立身行事	li shen xing shi	2
竖子成名	shu zi cheng ming	1
竭尽心力	jie jin xin li	5
竭忠尽智	jie zhong jin zhi	6
竹报平安	zhu bao ping an	20
竹篮打水	zhu lan da shui	7
竹篱茅舍	zhu li mao she	6
笑而不答	xiao er bu da	8
笔下生花	bi xia sheng hua	5
笔酣墨饱	bi han mo bao	6
笨嘴拙舌	ben zui zhuo she	2
笼中之鸟	long zhong zhi niao	1
笼络人心	long luo ren xin	11
等因奉此	deng yin feng ci	6
等闲之辈	deng xian zhi bei	18
筋疲力竭	jin pi li jie	34
简明扼要	jian ming e yao	37
管鲍之交	guan bao zhi jiao	6
箭在弦上不得不发	jian zai xian shang bu de bu fa	3
箭无虚发	jian wu xu fa	5
篡党夺权	cuan dang duo quan	16
粉妆玉琢	fen zhuang yu zhuo	6
粉妆玉砌	fen zhuang yu qi	6
粉饰太平	fen shi tai ping	7
粗通文墨	cu tong wen mo	1
粥少僧多	zhou shao seng duo	1
粮草先行	liang cao xian xing	9
精力过人	jing li guo ren	1
精妙绝伦	jing miao jue lun	8
精明能干	jing ming neng gan	20
精确瞄准	jing que miao zhun	6
精神恍惚	jing shen huang hu	7
精神焕发	jing shen huan fa	5
精神百倍	jing shen bai bei	4
精神矍铄	jing shen jue shuo	15
精美绝伦	jing mei jue lun	11
精诚团结	jing cheng tuan jie	2
精诚所至	jing cheng suo zhi	9
精诚所至金石为开	jing cheng suo zhi jin shi wei kai	12
精锐之师	jing rui zhi shi	3
糟糠之妻	zao kang zhi qi	44
糟糠之妻不下堂	zao kang zhi qi bu xia tang	1
索然寡味	suo ran gua wei	6
紫气东来	zi qi dong lai	29
繁荣兴旺	fan rong xing wang	3
繁荣富强	fan rong fu qiang	5
纡尊降贵	yu zun jiang gui	5
红袖添香	hong xiu tian xiang	7
纤尘不染	xian chen bu ran	6
纯属骗局	chun shu pian ju	7
纲纪废弛	gang ji fei chi	6
纵横天下	zong heng tian xia	30
纷纷攘攘	fen fen rang rang	1
纸上得来终觉浅	zhi shang de lai zhong jue qian	15
纸里包不住火	zhi li bao bu zhu huo	8
细微末节	xi wei mo jie	5
终南捷径	zhong nan jie jing	1
终成泡影	zhong cheng pao ying	6
经久不息	jing jiu bu xi	16
经天纬地	jing tian wei di	2
经纬万端	jing wei wan duan	6
经营惨淡	jing ying can dan	1
绕道而行	rao dao er xing	28
绝世佳人	jue shi jia ren	6
绝代佳人	jue dai jia ren	6
绝口不谈	jue kou bu tan	1
绝路逢生	jue lu feng sheng	2
绝顶聪明	jue ding cong ming	22
绳锯木断	sheng ju mu duan	1
绵延不断	mian yan bu duan	6
绵绵不断	mian mian bu duan	10
绵绵不绝	mian mian bu jue	13
绿叶成荫	lv ye cheng yin	1
绿林好汉	lv lin hao han	13
绿水青山	lv shui qing shan	47
绿肥红瘦	lv fei hong shou	10
绿草如茵	lv cao ru yin	2
缄口不言	jian kou bu yan	6
缓不济急	huan bu ji ji	12
缩衣节食	suo yi jie shi	5
缺吃少穿	que chi shao chuan	1
缺衣少食	que yi shao shi	4
罚不当罪	fa bu dang zui	6
罢黜百家	ba chu bai jia	7
罪加一等	zui jia yi deng	2
罪孽深重	zui nie shen zhong	8
罪恶深重	zui e shen zhong	4
罪恶滔天	zui e tao tian	1
罪责难逃	zui ze nan tao	1
置之不顾	zhi zhi bu gu	4
置之死地	zhi zhi si di	3
置之死地而后快	zhi zhi si di er hou kuai	7
置之死地而后生	zhi zhi si di er hou sheng	2
羊续悬鱼	yang xu xuan yu	6
羊肠小径	yang chang xiao jing	1
美人迟暮	mei ren chi mu	12
羚羊挂角	ling yang gua jiao	1
群而不党	qun er bu dang	1
群英荟萃	qun ying hui cui	21
群起效尤	qun qi xiao you	6
群起而攻之	qun qi er gong zhi	22
群雄逐鹿	qun xiong zhu lu	8
羽毛丰满	yu mao feng man	1
翩翩公子	pian pian gong zi	11
翩翩少年	pian pian shao nian	25
翩翩风度	pian pian feng du	1
翩若惊鸿	pian ruo jing hong	7
翻手为云	fan shou wei yun	6
翻手为云覆手为雨	fan shou wei yun fu shou wei yu	8
翻箱倒箧	fan xiang dao qie	5
老之将至	lao zhi jiang zhi	7
老僧入定	lao seng ru ding	2
老子英雄儿好汉	lao zi ying xiong er hao han	2
老无所依	lao wu suo yi	35
老有所终	lao you suo zhong	2
老王卖瓜	lao wang mai gua	6
老鼠过街	lao shu guo jie	3
老鼠过街人人喊打	lao shu guo jie ren ren han da	4
耐人咀嚼	nai ren ju jue	6
耳听八方	er ting ba fang	14
耳朵起茧	er duo qi jian	10
耳根清净	er gen qing jing	9
耳顺之年	er shun zhi nian	2
耸入云霄	song ru yun xiao	6
耿耿忠心	geng geng zhong xin	6
聊备一格	liao bei yi ge	2
聚众滋事	ju zhong zi shi	6
聚少成多	ju shao cheng duo	7
聪明一世	cong ming yi shi	9
聪明反被聪明误	cong ming fan bei cong ming wu	31
聪明智慧	cong ming zhi hui	12
聪明睿智	cong ming rui zhi	8
聪明能干	cong ming neng gan	6
聪明过人	cong ming guo ren	15
聪颖过人	cong ying guo ren	12
肆意妄为	si yi wang wei	43
肆意横行	si yi heng xing	4
肆虐横行	si nve heng xing	3
肉眼凡胎	rou yan fan tai	3
肉食者鄙	rou shi zhe bi	2
股掌之上	gu zhang zhi shang	1
肤如凝脂	fu ru ning zhi	22
胜不骄败不馁	sheng bu jiao bai bu nei	3
胜券在握	sheng quan zai wo	16
胜友如云	sheng you ru yun	6
胜读十年书	sheng du shi nian shu	43
胜败乃兵家常事	sheng bai nai bing jia chang shi	17
胯下之辱	kua xia zhi ru	8
胸中块垒	xiong zhong kuai lei	1
胸中有数	xiong zhong you shu	8
胸怀大志	xiong huai da zhi	44
胸有丘壑	xiong you qiu he	5
能者为师	neng zhe wei shi	2
脉络分明	mai luo fen ming	1
脉脉含情	mo mo han qing	5
脍不厌细	kuai bu yan xi	7
脚不沾地	jiao bu zhan di	14
脚不点地	jiao bu dian di	6
脱缰之马	tuo jiang zhi ma	1
脸红耳热	lian hong er re	6
脸红耳赤	lian hong er chi	7
腹心之疾	fu xin zhi ji	6
