# 青简领域词库：历史人物，由 qingjian-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
谢兰生	xie lan sheng	1
谢军	xie jun	7
谢冠生	xie guan sheng	13
谢卓森	xie zhuo sen	2
谢向荣	xie xiang rong	4
谢君豪	xie jun hao	21
谢和弦	xie he xian	45
谢园	xie yuan	12
谢国文	xie guo wen	5
谢国桢	xie guo zhen	6
谢堂	xie tang	12
谢娟	xie juan	9
谢子长	xie zi chang	19
谢寿康	xie shou kang	2
谢小双	xie xiao shuang	6
谢岿	xie kui	5
谢希德	xie xi de	13
谢平	xie ping	3
谢庄	xie zhuang	12
谢应芳	xie ying fang	3
谢思明	xie si ming	1
谢振华	xie zhen hua	18
谢振定	xie zhen ding	5
谢旌	xie jing	2
谢时臣	xie shi chen	4
谢晋	xie jin	25
谢晋元	xie jin yuan	36
谢晓亮	xie xiao liang	7
谢有顺	xie you shun	2
谢枋得	xie fang de	4
谢榛	xie zhen	4
谢欣颖	xie xin ying	22
谢武	xie wu	28
谢洪赉	xie hong lai	2
谢济世	xie ji shi	3
谢添	xie tian	9
谢玄	xie xuan	28
谢玉琼	xie yu qiong	3
谢石	xie shi	16
谢石钦	xie shi qin	3
谢硕文	xie shuo wen	4
谢缙	xie jin	3
谢翱	xie ao	3
谢良	xie liang	16
谢芳	xie fang	10
谢观	xie guan	3
谢觉哉	xie jue zai	48
谢贯一	xie guan yi	7
谢迁	xie qian	4
谢远定	xie yuan ding	2
谢鑫	xie xin	9
谢铁骊	xie tie li	8
谢雄	xie xiong	3
谢雨欣	xie yu xin	5
谢靖	xie jing	11
谢颖颖	xie ying ying	8
谢飞	xie fei	29
谦妃	qian fei	2
谭一平	tan yi ping	3
谭中军	tan zhong jun	4
谭人凤	tan ren feng	12
谭元春	tan yuan chun	2
谭其骧	tan qi xiang	36
谭勇	tan yong	3
谭善	tan shan	3
谭嗣同	tan si tong	47
谭处端	tan chu duan	1
谭泽闿	tan ze kai	3
谭炎午	tan yan wu	2
谭献	tan xian	4
谭盾	tan dun	11
谭莹	tan ying	4
谭迁	tan qian	4
谭邦林	tan bang lin	3
谭鑫培	tan xin pei	20
谭雄	tan xiong	5
谭颖	tan ying	5
谭飞	tan fei	1
谯周	qiao zhou	4
谯纵	qiao zong	17
谷利	gu li	2
谷原章介	gu yuan zhang jie	12
谷口治郎	gu kou zhi lang	1
谷景生	gu jing sheng	12
谷村新司	gu cun xin si	7
谷村美月	gu cun mei yue	11
谷正伦	gu zheng lun	43
谷正文	gu zheng wen	11
谷清	gu qing	22
豫章王萧栋	yu zhang wang xiao dong	1
貂禅	diao chan	1
贝克汉姆	bei ke han mu	39
贝卢斯科尼	bei lu si ke ni	47
贝尔戈米	bei er ge mi	4
贝弗里奇	bei fu li qi	37
贝肯鲍尔	bei ken bao er	39
贝贝托	bei bei tuo	6
贝阿尔佐特	bei a er zuo te	4
贝隆	bei long	37
贝青乔	bei qing qiao	2
贞妃	zhen fei	20
贡云峰	gong yun feng	2
贫穷贵公子	pin qiong gui gong zi	8
贯云石	guan yun shi	2
贯地谷诗穗梨	guan di gu shi sui li	3
贵姬	gui ji	2
贵由	gui you	3
费丹旭	fei dan xu	1
费伯雄	fei bo xiong	3
费俊	fei jun	2
费公直	fei gong zhi	3
费夫尔	fei fu er	5
费孝通	fei xiao tong	41
费宏	fei hong	6
费希特	fei xi te	29
费恩曼	fei en man	1
费祎	fei yi	17
费穆	fei mu	8
费翔	fei xiang	23
费观	fei guan	1
费誓	fei shi	3
费雷罗	fei lei luo	29
贺军翔	he jun xiang	25
贺卫方	he wei fang	13
贺均	he jun	1
贺子珍	he zi zhen	17
贺宽	he kuan	2
贺拉斯	he la si	35
贺敬之	he jing zhi	9
贺晋年	he jin nian	10
贺熙龄	he xi ling	1
贺知章	he zhi zhang	24
贺绿汀	he lv ting	23
贺若弼	he ruo bi	18
贺衷寒	he zhong han	10
贺金声	he jin sheng	2
贺钦	he qin	1
贺钧	he jun	1
贺铸	he zhu	2
贺长龄	he chang ling	2
贺齐	he qi	13
贾一平	jia yi ping	6
贾三近	jia san jin	11
贾丹	jia dan	8
贾似道	jia si dao	38
贾作光	jia zuo guang	2
贾华	jia hua	19
贾卧龙	jia wo long	6
贾可	jia ke	17
贾培之	jia pei zhi	2
贾妮	jia ni	9
贾妮妮	jia ni ni	3
贾宪	jia xian	1
贾岛	jia dao	29
贾思勰	jia si xie	2
贾昊	jia hao	6
贾景德	jia jing de	13
贾植芳	jia zhi fang	7
贾正	jia zheng	8
贾汉复	jia han fu	2
贾洪林	jia hong lin	3
贾知若	jia zhi ruo	7
贾诩	jia xu	30
贾谊	jia yi	26
贾逵	jia kui	34
贾铭	jia ming	5
贾鲁	jia lu	9
贾鹏雷	jia peng lei	5
赖传湘	lai chuan xiang	4
赖佳微	lai jia wei	2
赖先	lai xian	3
赖名汤	lai ming tang	7
赖恭	lai gong	11
赖文光	lai wen guang	1
赖际熙	lai ji xi	7
赖雅妍	lai ya yan	14
赛金花	sai jin hua	16
赢驷	ying si	2
赤名莉香	chi ming li xiang	2
赤松健	chi song jian	9
赤西仁	chi xi ren	10
赫奕	he yi	10
赫尔岑	he er cen	23
赫尔巴特	he er ba te	6
赫拉克利特	he la ke li te	12
赫施巴赫	he shi ba he	2
赫连勃勃	he lian bo bo	32
赫连定	he lian ding	20
赫连昌	he lian chang	23
赫里斯托	he li si tuo	17
赭白	zhe bai	3
赵一曼	zhao yi man	8
赵一荻	zhao yi di	6
赵万里	zhao wan li	21
赵世炎	zhao shi yan	48
赵丙	zhao bing	4
赵丰邦	zhao feng bang	3
赵丹	zhao dan	39
赵丽宏	zhao li hong	4
赵乃抟	zhao nai tuan	4
赵之琛	zhao zhi chen	4
赵之谦	zhao zhi qian	5
赵九章	zhao jiu zhang	7
赵亮	zhao liang	31
赵令畴	zhao ling chou	3
赵以文	zhao yi wen	3
赵以炯	zhao yi jiong	2
赵伟	zhao wei	25
赵传	zhao chuan	41
赵佑	zhao you	2
赵佶	zhao ji	36
赵信	zhao xin	11
赵倩	zhao qian	10
赵元任	zhao yuan ren	29
赵充国	zhao chong guo	17
赵光喜	zhao guang xi	3
赵冠芳	zhao guan fang	5
赵凤仪	zhao feng yi	1
赵凤翔	zhao feng xiang	3
赵剑	zhao jian	17
赵勇刚	zhao yong gang	6
赵匡义	zhao kuang yi	5
赵半山	zhao ban shan	4
赵半狄	zhao ban di	7
赵南哲	zhao nan zhe	3
赵原	zhao yuan	3
赵又新	zhao you xin	7
赵吉士	zhao ji shi	3
赵启霖	zhao qi lin	3
赵咨	zhao zi	18
赵善津	zhao shan jin	7
赵国荣	zhao guo rong	1
赵基	zhao ji	36
赵士祯	zhao shi zhen	2
赵士麟	zhao shi lin	2
赵声	zhao sheng	26
赵备	zhao bei	2
赵大晋	zhao da jin	2
赵大贤	zhao da xian	1
赵天卫	zhao tian wei	3
赵奕	zhao yi	43
赵奢	zhao she	6
赵姝	zhao shu	4
赵婷婷	zhao ting ting	7
赵媛媛	zhao yuan yuan	9
赵孝成王	zhao xiao cheng wang	7
赵安平	zhao an ping	1
赵完璧	zhao wan bi	9
赵宏	zhao hong	27
赵宝刚	zhao bao gang	13
赵家骧	zhao jia xiang	4
赵宽	zhao kuan	5
赵小兰	zhao xiao lan	6
赵尚志	zhao shang zhi	37
赵岐	zhao qi	20
赵岑	zhao cen	4
赵师秀	zhao shi xiu	3
赵干	zhao gan	9
赵广	zhao guang	14
赵庆阁	zhao qing ge	3
赵廞	zhao xin	2
赵弘	zhao hong	41
赵弼	zhao bi	3
赵忠	zhao zhong	35
赵忠尧	zhao zhong yao	11
赵忠祥	zhao zhong xiang	23
赵怀业	zhao huai ye	4
赵怀玉	zhao huai yu	8
赵思敬	zhao si jing	2
赵恒	zhao heng	40
赵悼襄王	zhao dao xiang wang	10
赵惇	zhao dun	9
赵惠文王	zhao hui wen wang	12
赵懿	zhao yi	2
赵成穆	zhao cheng mu	2
赵戴文	zhao dai wen	19
赵执信	zhao zhi xin	5
赵扩	zhao kuo	7
赵承佑	zhao cheng you	3
赵括	zhao kuo	15
赵敬	zhao jing	25
赵文卓	zhao wen zhuo	36
赵文哲	zhao wen zhe	3
赵新宇	zhao xin yu	7
赵时春	zhao shi chun	3
赵昀	zhao yun	9
赵昂	zhao ang	1
赵昉	zhao fang	5
赵明诚	zhao ming cheng	11
赵明阳	zhao ming yang	6
赵昚	zhao shen	2
赵昭	zhao zhao	7
赵昰	zhao shi	8
赵昱	zhao yu	8
赵昺	zhao bing	13
赵显	zhao xian	22
赵显宏	zhao xian hong	2
赵晓明	zhao xiao ming	5
赵晖	zhao hui	18
赵普	zhao pu	32
赵景深	zhao jing shen	9
赵智凤	zhao zhi feng	1
赵曙	zhao shu	11
赵曾	zhao zeng	23
赵月	zhao yue	7
赵本山	zhao ben shan	21
赵树理	zhao shu li	10
赵桐珊	zhao tong shan	2
赵桓	zhao huan	23
赵梦朱	zhao meng zhu	3
赵武灵王	zhao wu ling wang	39
赵汉	zhao han	31
赵汉乘	zhao han cheng	9
赵汝适	zhao ru kuo	5
赵沨	zhao feng	3
赵治勋	zhao zhi xun	6
赵泰来	zhao tai lai	6
赵济羹	zhao ji geng	2
赵浚	zhao jun	16
赵浩	zhao hao	9
赵浩生	zhao hao sheng	1
赵海川	zhao hai chuan	3
赵渭滨	zhao wei bin	2
赵灿	zhao can	4
赵炳麟	zhao bing lin	10
赵烈文	zhao lie wen	14
赵煦	zhao xu	4
赵牧	zhao mu	1
赵玉芬	zhao yu fen	2
赵琛	zhao chen	27
赵琳	zhao lin	10
赵璧	zhao bi	34
赵畇	zhao yun	2
赵登禹	zhao deng yu	36
赵祯	zhao zhen	10
赵禥	zhao qi	5
赵秉冲	zhao bing chong	2
赵秉忠	zhao bing zhong	5
赵秉钧	zhao bing jun	7
赵立凡	zhao li fan	6
赵素	zhao su	26
赵统	zhao tong	1
赵维德	zhao wei de	2
赵翼	zhao yi	30
赵舒翘	zhao shu qiao	3
赵良璋	zhao liang zhang	2
赵艳	zhao yan	10
赵苍璧	zhao cang bi	8
赵范	zhao fan	4
赵莲	zhao lian	3
赵萌	zhao meng	3
赵藩	zhao fan	4
赵虹	zhao hong	5
赵融	zhao rong	2
赵观涛	zhao guan tao	11
赵贞吉	zhao zhen ji	1
赵赵	zhao zhao	7
赵起	zhao qi	6
赵超构	zhao chao gou	2
赵越	zhao yue	9
赵连芳	zhao lian fang	5
赵野	zhao ye	6
赵鑫珊	zhao xin shan	6
赵鑫鑫	zhao xin xin	5
赵铨	zhao quan	1
赵锡田	zhao xi tian	5
赵陀	zhao tuo	2
赵雅芝	zhao ya zhi	45
赵雪	zhao xue	15
赵震	zhao zhen	28
赵青	zhao qing	16
赵音奇	zhao yin qi	4
赵顼	zhao xu	10
赵颜	zhao yan	4
赵飞燕	zhao fei yan	16
赵高	zhao gao	42
赵魏	zhao wei	15
赵龙	zhao long	37
赵龙文	zhao long wen	3
越影	yue ying	1
越王勾践	yue wang gou jian	43
足利义政	zu li yi zheng	19
路嘉怡	lu jia yi	2
路大荒	lu da huang	2
路振飞	lu zhen fei	11
蹇硕	jian shuo	13
蹋顿	ta dun	14
车万育	che wan yu	3
车书	che shu	6
车令	che ling	9
车太铉	che tai xuan	14
车尔尼雪夫斯基	che er ni xue fu si ji	31
车径行	che jing xing	1
车正	che zheng	11
车泽武	che ze wu	4
车田正美	che tian zheng mei	6
车胄	che zhou	1
载沣	zai feng	35
载淳	zai chun	7
载湉	zai tian	4
载澜	zai lan	2
辛全	xin quan	1
辛吉斯	xin ji si	47
辛宪英	xin xian ying	6
辛德拉尔	xin de la er	1
辛明	xin ming	9
辛晓琪	xin xiao qi	38
辛柏青	xin bai qing	12
辛毗	xin pi	14
辛逸	xin yi	1
辜严倬云	gu yan zhuo yun	4
辜显荣	gu xian rong	27
辟兵	bi bing	5
辨喜	bian xi	1
辰亦儒	chen yi ru	19
辰巳奈都子	chen si nai du zi	1
边伟	bian wei	3
边让	bian rang	8
边贡	bian gong	1
辽圣宗耶律隆绪	liao sheng zong ye lv long xu	20
辽太祖	liao tai zu	48
辽穆宗	liao mu zong	45
达娃	da wa	39
达曾	da zeng	4
达格利什	da ge li shi	3
达洪阿	da hong a	1
达海林	da hai lin	3
达礼	da li	43
达维登科	da wei deng ke	16
达萨耶夫	da sa ye fu	5
达贝妮	da bei ni	3
达赫迪	da he di	5
达鉴	da jian	2
迁陵	qian ling	20
迈斯纳	mai si na	22
迈特纳	mai te na	15
迈耶尔	mai ye er	6
近藤真彦	jin teng zhen yan	18
近野成美	jin ye cheng mei	1
远涌	yuan yong	2
远藤宪一	yuan teng xian yi	13
连横	lian heng	37
连歌	lian ge	25
连阔如	lian kuo ru	4
连震东	lian zhen dong	9
迟万春	chi wan chun	4
迟帅	chi shuai	13
迟福林	chi fu lin	4
迟重瑞	chi zhong rui	1
迪克牛仔	di ke niu zai	42
迮朗	ze lang	3
迷当	mi dang	12
通容	tong rong	1
通文	tong wen	5
速不台	su bu tai	21
速水重道	su shui zhong dao	1
逢泽	feng ze	16
逾辉	yu hui	2
遂城	sui cheng	21
遇晗	yu han	3
邓世昌	deng shi chang	47
邓义	deng yi	1
邓九云	deng jiu yun	4
邓予立	deng yu li	5
邓亚萍	deng ya ping	22
邓传安	deng chuan an	1
邓传密	deng chuan mi	3
邓凯	deng kai	23
邓加	deng jia	8
邓友梅	deng you mei	1
邓大林	deng da lin	3
邓婕	deng jie	9
邓子恢	deng zi hui	44
邓实	deng shi	4
邓家彦	deng jia yan	3
邓尼茨	deng ni ci	27
邓岳	deng yue	2
邓希贤	deng xi xian	2
邓廷桢	deng ting zhen	10
邓建国	deng jian guo	8
邓志谟	deng zhi mo	11
邓忠	deng zhong	13
邓怀农	deng huai nong	3
邓恩铭	deng en ming	11
邓惠芳	deng hui fang	3
邓拓	deng tuo	26
邓散木	deng san mu	9
邓文宪	deng wen xian	3
邓昌友	deng chang you	16
邓毅生	deng yi sheng	3
邓渭	deng wei	1
邓焘	deng tao	2
邓焜	deng kun	2
邓牧	deng mu	3
邓玮	deng wei	5
邓石如	deng shi ru	4
邓稼先	deng jia xian	9
邓良	deng liang	12
邓芝	deng zhi	16
邓茂	deng mao	7
邓萃英	deng cui ying	35
邓萃雯	deng cui wen	20
邓萍	deng ping	4
邓蕾	deng lei	1
邓贤	deng xian	31
邓邦述	deng bang shu	3
邓郁	deng yu	2
邓钟岳	deng zhong yue	2
邓颂宏	deng song hong	3
邓龙	deng long	34
邓龙光	deng long guang	10
邝露	kuang lu	3
邢侗	xing tong	11
邢傲伟	xing ao wei	1
邢其毅	xing qi yi	2
邢文军	xing wen jun	3
邢澍	xing shu	2
邢端	xing duan	2
那多	na duo	11
那威	na wei	6
那彦成	na yan cheng	11
邬彬	wu bin	4
邱冬	qiu dong	6
邱国栋	qiu guo dong	5
邱太三	qiu tai san	12
邱少云	qiu shao yun	21
邱岳峰	qiu yue feng	2
邱峻	qiu jun	2
邱心志	qiu xin zhi	8
邱昭良	qiu zhao liang	2
邱淑贞	qiu shu zhen	19
邱清泉	qiu qing quan	18
邱琦雯	qiu qi wen	5
邱立成	qiu li cheng	4
邱蔚六	qiu wei liu	1
邱震海	qiu zhen hai	8
邴原	bing yuan	5
邵一萍	shao yi ping	4
邵亦波	shao yi bo	5
邵伟刚	shao wei gang	2
邵兵	shao bing	10
邵友濂	shao you lian	18
邵周祥	shao zhou xiang	4
邵学	shao xue	6
邵宝	shao bao	9
邵小珊	shao xiao shan	4
邵弥	shao mi	2
邵晋涵	shao jin han	1
邵沛	shao pei	3
邵洵美	shao xun mei	21
邵源	shao yuan	2
邵炜刚	shao wei gang	1
邵美琪	shao mei qi	42
邵谊	shao yi	2
邵达	shao da	5
邵雨涵	shao yu han	1
邵震中	shao zhen zhong	4
邵飘萍	shao piao ping	9
邹一桂	zou yi gui	4
邹伯奇	zou bo qi	4
邹元标	zou yuan biao	22
邹声泉	zou sheng quan	2
邹守益	zou shou yi	14
邹安	zou an	2
邹容	zou rong	41
邹建锋	zou jian feng	4
邹弢	zou tao	3
邹德忠	zou de zhong	4
邹忠	zou zhong	6
邹智	zou zhi	2
邹泉	zou quan	6
邹涛	zou tao	1
邹澍	zou shu	2
邹益	zou yi	1
邹秉文	zou bing wen	1
邹穆公	zou mu gong	2
邹立武	zou li wu	2
邹绍孟	zou shao meng	1
邹缉	zou ji	3
邹蓝	zou lan	3
邹谦	zou qian	3
邹铉	zou xuan	2
邹靖	zou jing	8
邹韬奋	zou tao fen	41
邹骏	zou jun	9
邹鸣鹤	zou ming he	5
邺县	ye xian	25
邾隐公	zhu yin gong	3
郁文博	yu wen bo	2
郁琼	yu qiong	1
郁达夫	yu da fu	31
郎咸平	lang xian ping	6
郎平	lang ping	27
郎廷极	lang ting ji	2
郎简	lang jian	2
郎绍安	lang shao an	4
郎葆辰	lang bao chen	3
郎遂	lang sui	1
郑一泓	zheng yi hong	5
郑世豪	zheng shi hao	21
郑丽君	zheng li jun	39
郑乃东	zheng nai dong	3
郑之珍	zheng zhi zhen	3
郑介民	zheng jie min	25
郑仲夔	zheng zhong kui	1
郑伦	zheng lun	20
郑作民	zheng zuo min	2
郑佩佩	zheng pei pei	21
郑侠	zheng xia	9
郑侨	zheng qiao	7
郑克塽	zheng ke shuang	42
郑兰孙	zheng lan sun	2
郑凡	zheng fan	9
郑凤荣	zheng feng rong	2
郑勇	zheng yong	6
郑勋	zheng xun	2
郑厉公	zheng li gong	6
郑吉	zheng ji	8
郑君	zheng jun	32
郑君里	zheng jun li	37
郑善夫	zheng shan fu	3
郑培	zheng pei	1
郑士良	zheng shi liang	17
郑多彬	zheng duo bin	7
郑大海	zheng da hai	2
郑天翔	zheng tian xiang	9
郑奎飞	zheng kui fei	2
郑宁	zheng ning	7
郑宇成	zheng yu cheng	1
郑宝清	zheng bao qing	7
郑小毛	zheng xiao mao	3
郑小瑛	zheng xiao ying	7
郑岱	zheng dai	1
郑岳	zheng yue	4
郑希怡	zheng xi yi	18
郑广文	zheng guang wen	3
郑庄公	zheng zhuang gong	30
郑度	zheng du	4
郑廉	zheng lian	3
郑弘	zheng hong	28
郑律成	zheng lv cheng	7
郑思肖	zheng si xiao	4
郑振瑶	zheng zhen yao	1
郑振铎	zheng zhen duo	41
郑敦谨	zheng dun jin	2
郑文公	zheng wen gong	19
郑新年	zheng xin nian	3
郑新民	zheng xin min	6
郑昊	zheng hao	5
郑昶	zheng chang	4
郑晋	zheng jin	3
郑晓东	zheng xiao dong	3
郑晓龙	zheng xiao long	9
郑普	zheng pu	8
郑杭生	zheng hang sheng	2
郑板桥	zheng ban qiao	21
郑树	zheng shu	10
郑树森	zheng shu sen	22
郑桓公	zheng huan gong	5
郑梁	zheng liang	1
郑梅梅	zheng mei mei	3
郑樗	zheng chu	1
郑樵	zheng qiao	16
郑正秋	zheng zheng qiu	14
郑武公	zheng wu gong	4
郑沅	zheng yuan	3
郑泽	zheng ze	49
郑洁	zheng jie	42
郑洞国	zheng dong guo	25
郑浩	zheng hao	40
郑海麟	zheng hai lin	5
郑渊洁	zheng yuan jie	13
郑湘	zheng xiang	1
郑濂	zheng lian	5
郑灵公	zheng ling gong	3
郑燮	zheng xie	6
郑献甫	zheng xian fu	3
郑玄	zheng xuan	45
郑玮	zheng wei	6
郑环	zheng huan	2
郑珍	zheng zhen	5
郑璜	zheng huang	9
郑石桥	zheng shi qiao	1
郑穆公	zheng mu gong	11
郑简公	zheng jian gong	33
郑簠	zheng fu	4
郑纪	zheng ji	26
郑维山	zheng wei shan	14
郑若曾	zheng ruo ceng	7
郑虔	zheng qian	1
郑观应	zheng guan ying	12
郑运鹏	zheng yun peng	18
郑道光	zheng dao guang	4
郑鄤	zheng man	3
郑重光	zheng zhong guang	1
郑钧	zheng jun	32
郑铮	zheng zheng	8
郑阳	zheng yang	10
郑际唐	zheng ji tang	1
郑集	zheng ji	14
郑鸿	zheng hong	40
郕王	cheng wang	9
郗虑	xi lv	20
郝丽娜	hao li na	4
郝宇飞	hao yu fei	3
郝懿行	hao yi xing	5
郝昭	hao zhao	7
郝梦龄	hao meng ling	9
郝洪军	hao hong jun	6
郝浴	hao yu	2
郝海	hao hai	12
郝立新	hao li xin	6
郝莲	hao lian	2
郝菲尔	hao fei er	5
郝萌	hao meng	9
郦道元	li dao yuan	44
郭东	guo dong	35
郭云鹏	guo yun peng	2
郭任远	guo ren yuan	13
郭传林	guo chuan lin	3
郭佳	guo jia	36
郭全宝	guo quan bao	1
郭凡生	guo fan sheng	6
郭则沄	guo ze yun	5
郭利君	guo li jun	2
郭励弘	guo li hong	3
郭华	guo hua	22
郭印	guo yin	1
郭可盈	guo ke ying	6
郭品超	guo pin chao	44
郭图	guo tu	5
郭士强	guo shi qiang	1
郭大顺	guo da shun	5
郭奕	guo yi	25
郭子斌	guo zi bin	8
郭子章	guo zi zhang	4
郭守敬	guo shou jing	8
郭寄峤	guo ji qiao	7
郭小川	guo xiao chuan	7
郭小溪	guo xiao xi	2
郭尚先	guo shang xian	7
郭常	guo chang	3
郭应禄	guo ying lu	9
郭廷以	guo ting yi	9
郭开森	guo kai sen	2
郭强	guo qiang	11
郭徽	guo hui	9
郭忠	guo zhong	33
郭怀一	guo huai yi	4
郭思演	guo si yan	1
郭恩	guo en	14
郭成	guo cheng	22
郭文涛	guo wen tao	2
郭昂	guo ang	2
郭晋安	guo jin an	37
郭晓冬	guo xiao dong	3
郭晟	guo sheng	3
郭晶晶	guo jing jing	19
郭智博	guo zhi bo	3
郭智敏	guo zhi min	6
郭松民	guo song min	4
郭柏苍	guo bo cang	4
郭楠	guo nan	1
郭汉	guo han	10
郭汜	guo si	44
郭汝瑰	guo ru gui	5
郭汝霖	guo ru lin	2
郭汝龙	guo ru long	3
郭沔	guo mian	5
郭海峰	guo hai feng	1
郭涛	guo tao	27
郭淮	guo huai	35
郭添财	guo tian cai	1
郭澄	guo cheng	15
郭照	guo zhao	1
郭珍霓	guo zhen ni	8
郭瑞霞	guo rui xia	4
郭璞	guo pu	29
郭畀	guo bi	2
郭石	guo shi	9
郭碧婷	guo bi ting	32
郭磊	guo lei	3
郭立源	guo li yuan	2
郭策	guo ce	2
郭纯	guo chun	8
郭绚	guo xuan	14
郭翼	guo yi	3
郭胜	guo sheng	13
郭莉萍	guo li ping	4
郭菩萨	guo pu sa	3
郭衣洞	guo yi dong	3
郭襄	guo xiang	31
郭象	guo xiang	17
郭跃华	guo yue hua	4
郭郛	guo fu	2
郭金	guo jin	36
郭长顺	guo chang shun	3
郭雍	guo yong	2
郭颖	guo ying	11
郭风	guo feng	3
郭麟	guo lin	4
都任	du ren	7
都台	du tai	4
都德	du de	6
都锦生	du jin sheng	1
鄂尔奇	e er qi	2
鄢颇	yan po	2
酒井彩名	jiu jing cai ming	4
酒井忠次	jiu jing zhong ci	3
酒井忠胜	jiu jing zhong sheng	6
酒井法子	jiu jing fa zi	10
酒井美纪	jiu jing mei ji	11
酒圣	jiu sheng	7
采女	cai nv	27
里希特霍芬	li xi te huo fen	34
里杰卡尔德	li jie ka er de	4
里瓦尔多	li wa er duo	3
里维利诺	li wei li nuo	1
重泉	chong quan	4
重耳	chong er	35
重野秀一	zhong ye xiu yi	3
重鉴	chong jian	5
野岛健儿	ye dao jian er	14
野村万斋	ye cun wan zhai	9
野泽雅子	ye ze ya zi	9
野田惠	ye tian hui	2
野际阳子	ye ji yang zi	8
金一南	jin yi nan	17
金之俊	jin zhi jun	1
金乙东	jin yi dong	2
金仲华	jin zhong hua	6
金俊明	jin jun ming	3
金兆梓	jin zhao zi	2
金光悌	jin guang ti	1
金农	jin nong	12
金准	jin zhun	4
金凯平	jin kai ping	6
金剑啸	jin jian xiao	3
金原瞳	jin yuan tong	3
金可采	jin ke cai	3
金启	jin qi	4
金启昌	jin qi chang	1
金善宝	jin shan bao	3
金国栋	jin guo dong	5
金圣叹	jin sheng tan	8
金坡	jin po	2
金城武	jin cheng wu	39
金基范	jin ji fan	1
金士高	jin shi gao	3
金天德	jin tian de	1
金太祖	jin tai zu	46
金宏义	jin hong yi	3
金寅	jin yin	1
金尚	jin shang	33
金履祥	jin lv xiang	1
金崇印	jin chong yin	2
金巧巧	jin qiao qiao	10
金建华	jin jian hua	2
金式如	jin shi ru	3
金彤	jin tong	3
金德舆	jin de yu	2
金志勋	jin zhi xun	3
金成龙	jin cheng long	5
金承俊	jin cheng jun	3
金敞	jin chang	22
金旋	jin xuan	29
金日焕	jin ri huan	3
金昆	jin kun	7
金晓辛	jin xiao xin	2
金智秀	jin zhi xiu	8
金李	jin li	21
金来沅	jin lai yuan	20
金松	jin song	33
金梁	jin liang	10
金梓	jin zi	3
金檀	jin tan	1
金泽荣	jin ze rong	1
金海心	jin hai xin	24
金渊	jin yuan	10
金焜	jin kun	1
金焰	jin yan	34
金照	jin zhao	4
金理	jin li	5
金琮	jin cong	1
金璇	jin xuan	1
金璜	jin huang	3
金相庆	jin xiang qing	6
金磊	jin lei	5
金祎	jin yi	5
金秀路	jin xiu lu	11
金童	jin tong	45
金继	jin ji	7
金维	jin wei	25
金莉莉	jin li li	2
金蓉镜	jin rong jing	3
金豆	jin dou	40
金贵人	jin gui ren	5
金近	jin jin	5
金鉴	jin jian	37
金钟云	jin zhong yun	3
金铨	jin quan	14
金镕	jin rong	13
金镛	jin yong	27
金长勋	jin chang xun	3
金问	jin wen	5
鉴真	jian zhen	31
钉宫理惠	ding gong li hui	38
钟丽缇	zhong li ti	15
钟会	zhong hui	9
钟伟	zhong wei	43
钟兰	zhong lan	4
钟华	zhong hua	23
钟复	zhong fu	6
钟宁	zhong ning	7
钟嵘	zhong rong	8
钟师	zhong shi	3
钟彬	zhong bin	12
钟志	zhong zhi	38
钟惺	zhong xing	4
钟朋荣	zhong peng rong	6
钟树	zhong shu	3
钟楚红	zhong chu hong	15
钟欣怡	zhong xin yi	3
钟毅	zhong yi	9
钟毓	zhong yu	25
钟涛	zhong tao	7
钟理和	zhong li he	27
钟礼	zhong li	15
钟繇	zhong you	29
钟纪	zhong ji	3
钟缙	zhong jin	2
钟肇政	zhong zhao zheng	37
钟进	zhong jin	1
钟镇涛	zhong zhen tao	47
钟阿城	zhong a cheng	4
钟震	zhong zhen	2
钭江明	tou jiang ming	5
钮福保	niu fu bao	2
钱万里	qian wan li	3
钱三强	qian san qiang	24
钱东	qian dong	6
钱临	qian lin	3
钱乙	qian yi	1
钱以发	qian yi fa	2
钱仪吉	qian yi ji	24
钱伟长	qian wei chang	21
钱俶	qian chu	24
钱凤鸣	qian feng ming	2
钱北秋	qian bei qiu	3
钱厚	qian hou	5
钱名世	qian ming shi	3
钱基博	qian ji bo	7
钱壮飞	qian zhuang fei	5
钱大昕	qian da xin	35
钱宇平	qian yu ping	3
钱封	qian feng	4
钱崇澍	qian chong shu	2
钱廉	qian lian	2
钱式	qian shi	6
钱弘佐	qian hong zuo	10
钱德洪	qian de hong	5
钱志伟	qian zhi wei	4
钱思亮	qian si liang	9
钱成	qian cheng	9
钱捷	qian jie	4
钱敬忠	qian jing zhong	2
钱新之	qian xin zhi	10
钱旃	qian zhan	1
钱时	qian shi	13
钱昌照	qian chang zhao	19
钱曾	qian zeng	6
钱杜	qian du	4
钱松	qian song	6
钱林	qian lin	7
钱枚	qian mei	3
钱楷	qian kai	4
钱正英	qian zheng ying	17
钱沣	qian feng	11
钱泰吉	qian tai ji	2
钱泳	qian yong	13
钱渊	qian yuan	2
钱潮	qian chao	11
钱澄之	qian cheng zhi	2
钱熙	qian xi	1
钱玄同	qian xuan tong	17
钱理群	qian li qun	12
钱琦	qian qi	4
钱璞	qian pu	1
钱皮	qian pi	27
钱纳水	qian na shui	2
