# 日文词汇等级（JLPT）。来源：tanos.co.uk 的 JLPT 词表（Jonathan Waller，CC BY），
# 经 elzup/jlpt-word-list（MIT，https://github.com/elzup/jlpt-word-list）整理为 CSV。
# 由 tools/corpus/levels.py 生成。格式：词\t等级；`# levels` 行是等级从易到难的顺序。
# levels	N5	N4	N3	N2	N1
差し上げる	N4
市	N4
市民	N4
布団	N4
席	N4
帰り	N4
床屋	N4
店員	N4
建て	N4
建てる	N4
式	N4
引き出し	N4
引っ越す	N4
形	N4
役に立つ	N4
彼	N4
彼ら	N4
彼女	N4
御	N4
復習	N4
心	N4
心配	N4
必ず	N4
必要	N4
忘れ物	N4
怒る	N4
怖い	N4
思い出す	N4
思う	N4
急	N4
急ぐ	N4
急行	N4
恥ずかしい	N4
息子	N4
悲しい	N4
意見	N4
慣れる	N4
戦争	N4
戻る	N4
手伝う	N4
手袋	N4
打つ	N4
払う	N4
承知	N4
技術	N4
投げる	N4
折る	N4
折れる	N4
押し入れ	N4
招待	N4
拝見	N4
拾う	N4
指	N4
指輪	N4
捕まえる	N4
捨てる	N4
探す	N4
揺れる	N4
支度	N4
放送	N4
政治	N4
故障	N4
教会	N4
教育	N4
数学	N4
文化	N4
文学	N4
文法	N4
新聞社	N4
旅館	N4
日記	N4
昔	N4
星	N4
是非	N4
昼休み	N4
昼間	N4
時代	N4
普通	N4
景色	N4
暖房	N4
暮れる	N4
最も	N4
最初	N4
最後	N4
最近	N4
木綿	N4
林	N4
枝	N4
柔らかい	N4
柔道	N4
校長	N4
案内	N4
棚	N4
森	N4
植える	N4
楽しみ	N4
楽む	N4
様	N4
機会	N4
止む	N4
止める	N4
正しい	N4
正月	N4
歯医者	N4
歴史	N4
残る	N4
残念	N4
比べる	N4
毛	N4
気	N4
気分	N4
気持ち	N4
水泳	N4
水道	N4
汚れる	N4
決して	N4
決まる	N4
決める	N4
汽車	N4
沸かす	N4
沸く	N4
治る	N4
泊まる	N4
法律	N4
泣く	N4
泥棒	N4
注射	N4
注意	N4
浅い	N4
海岸	N4
消しゴム	N4
深い	N4
済む	N4
港	N4
湖	N4
湯	N4
準備	N4
滑る	N4
漫画	N4
漬ける	N4
濡れる	N4
火	N4
火事	N4
点	N4
点く	N4
為	N4
無くなる	N4
無理	N4
焼く	N4
焼ける	N4
熱	N4
熱心	N4
片付ける	N4
特に	N4
特別	N4
特急	N4
珍しい	N4
理由	N4
生きる	N4
生活	N4
生産	N4
産業	N4
用	N4
用事	N4
用意	N4
田舎	N4
申し上げる	N4
申す	N4
男性	N4
留守	N4
番組	N4
畳	N4
痩せる	N4
発音	N4
皆	N4
盗む	N4
盛ん	N4
直す	N4
直る	N4
相談	N4
看護婦	N4
真中	N4
真面目	N4
眠い	N4
眠る	N4
着物	N4
知らせる	N4
石	N4
砂	N4
研究	N4
研究室	N4
硬	N4
確か	N4
社会	N4
社長	N4
祈る	N4
祖母	N4
祖父	N4
神社	N4
科学	N4
移る	N4
程	N4
空く	N4
空気	N4
空港	N4
立てる	N4
競争	N4
笑う	N4
答	N4
簡単	N4
米	N4
糸	N4
約束	N4
素晴らしい	N4
細かい	N4
紹介	N4
終わり	N4
経済	N4
経験	N4
絹	N4
続く	N4
続ける	N4
線	N4
美しい	N4
美術館	N4
習慣	N4
翻訳	N4
考える	N4
聞こえる	N4
育てる	N4
背中	N4
腕	N4
自由	N4
致す	N4
興味	N4
舟	N4
花見	N4
苦い	N4
草	N4
落す	N4
落る	N4
葉	N4
虫	N4
血	N4
行う	N4
表	N4
裏	N4
製	N4
複雑	N4
褒める	N4
西洋	N4
見える	N4
見つかる	N4
見つける	N4
見物	N4
規則	N4
親	N4
親切	N4
触る	N4
計画	N4
訪ねる	N4
訳	N4
試合	N4
試験	N4
説明	N4
課長	N4
調べる	N4
講堂	N4
講義	N4
謝る	N4
警察	N4
負ける	N4
貿易	N4
贈り物	N4
赤ちゃん	N4
赤ん坊	N4
起こす	N4
趣味	N4
足す	N4
足りる	N4
踊り	N4
踊る	N4
踏む	N4
軒	N4
輸入	N4
輸出	N4
辞典	N4
込む	N4
迎える	N4
近所	N4
返事	N4
退院	N4
送る	N4
逃げる	N4
途中	N4
通う	N4
通り	N4
通る	N4
連れる	N4
連絡	N4
進む	N4
遅れる	N4
遊び	N4
運ぶ	N4
運動	N4
運転	N4
運転手	N4
過ぎる	N4
道具	N4
遠く	N4
